assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,was_home,yellow_cards
0,0,0,2,0,90,17,0,0,0,0,1,0,2,True,0
0,0,0,1,0,79,8,0,0,0,0,2,0,2,False,0
1,0,1,0,0,90,20,0,0,0,0,3,0,5,True,0
0,0,1,0,0,90,16,0,0,0,0,4,0,2,False,0
0,0,0,1,0,85,15,0,0,0,0,5,0,2,True,0
0,0,0,1,0,90,3,0,0,0,0,6,0,2,False,0
0,0,0,1,0,90,10,0,0,0,0,7,0,1,True,1
0,2,0,1,1,62,14,0,0,0,0,8,0,8,False,0
0,0,1,0,0,65,6,0,0,0,0,9,0,2,True,0
0,0,0,1,0,75,4,0,0,0,0,10,0,2,False,0
0,0,0,1,0,22,2,0,0,0,0,11,0,1,True,0
0,0,0,0,0,0,12,0,0,0,0,12,0,0,False,0
0,0,0,0,0,13,18,0,0,0,0,13,0,1,True,0
0,0,0,2,0,90,19,0,0,0,0,14,0,2,False,0
0,0,0,2,0,61,5,0,0,0,0,15,0,2,False,0
0,0,0,1,0,19,9,1,0,0,0,16,0,-1,True,0
0,0,0,0,0,4,7,0,0,0,0,17,0,1,True,0
0,0,0,1,0,90,1,0,0,0,0,18,0,2,False,0
0,0,0,0,0,14,20,0,0,0,0,19,0,1,False,0
0,0,0,0,0,0,11,0,0,0,0,20,0,0,True,0
0,0,0,0,0,18,3,0,0,0,0,21,0,1,True,0
0,3,1,0,1,89,15,0,0,0,0,22,0,9,False,0
1,0,0,1,0,90,16,0,0,0,0,23,0,5,True,0
0,0,0,1,0,26,11,0,0,0,0,24,0,1,False,0
0,0,0,1,0,84,4,0,0,0,0,25,0,2,True,0
1,0,0,1,0,79,6,0,0,0,0,26,0,5,False,0
0,0,1,0,0,90,12,0,0,0,0,27,0,2,True,0
1,0,0,2,0,90,2,0,0,0,0,28,0,4,False,1
0,0,0,0,0,6,10,0,0,0,0,29,0,1,False,0
0,0,1,0,0,90,14,0,0,0,0,30,0,2,True,0
0,1,1,0,1,90,8,0,0,0,0,32,0,7,True,0
1,3,0,1,1,90,9,0,0,0,0,33,0,12,False,0
1,3,0,1,1,78,1,0,0,0,0,34,0,12,True,0
0,0,0,1,0,90,7,0,0,0,0,35,0,2,False,0
0,0,0,1,0,77,19,0,0,0,0,36,0,2,True,0
0,0,0,2,1,90,18,0,0,0,0,37,0,5,False,1
0,0,0,1,0,90,17,0,0,0,0,37,0,2,False,0
0,3,1,0,2,90,5,0,0,0,0,38,0,13,True,0
0,0,0,2,0,80,17,0,0,0,0,1,0,2,True,0
0,0,1,0,0,64,5,0,0,0,0,2,0,2,False,0
0,0,0,2,0,17,6,0,0,0,0,3,0,1,True,0
0,0,0,2,0,90,13,0,0,0,0,4,0,2,False,0
0,0,0,2,0,90,1,0,0,0,0,5,0,2,True,0
0,0,1,0,0,80,7,0,0,0,0,6,0,2,False,0
0,0,0,1,0,68,11,0,0,0,0,7,0,2,True,0
1,0,0,2,0,87,14,0,0,0,0,8,0,5,False,0
0,0,0,1,0,90,3,0,0,0,0,9,0,2,True,0
0,0,1,0,0,68,16,0,0,0,0,10,0,2,False,0
0,3,0,0,1,45,18,0,0,0,0,11,0,8,True,0
0,0,0,1,0,90,2,0,0,0,0,12,0,2,True,0
0,0,0,1,0,90,4,0,0,0,0,13,0,2,False,0
0,0,0,2,0,77,19,0,0,0,0,14,0,2,True,0
0,0,0,0,0,26,8,0,0,0,0,15,0,1,False,0
0,3,0,2,1,90,20,0,0,0,0,16,0,9,True,0
0,0,1,0,0,90,10,0,0,0,0,17,0,2,False,0
0,0,1,0,0,90,9,0,0,0,0,18,0,2,True,0
0,0,0,0,0,0,12,0,0,0,0,19,0,0,False,0
0,0,0,1,0,90,18,0,0,0,0,20,0,2,False,0
0,0,0,1,0,68,14,0,0,0,0,21,0,2,True,0
0,0,0,2,0,81,6,0,0,0,0,22,0,2,False,0
0,1,1,0,1,90,5,0,0,0,0,23,0,7,True,0
0,0,0,1,0,90,13,0,0,0,0,24,0,1,True,1
0,0,0,1,0,90,17,0,0,0,0,25,0,2,False,0
0,0,1,0,0,90,20,0,0,0,0,26,0,2,False,0
0,0,1,0,1,90,10,0,0,0,0,27,0,6,True,0
0,0,1,0,0,86,4,0,0,0,0,28,0,2,True,0
0,0,0,2,0,90,19,0,0,0,0,29,0,2,False,0
1,3,0,2,2,90,8,0,0,0,0,30,0,16,True,0
0,0,0,1,0,71,2,0,0,0,0,31,0,1,False,1
0,0,0,1,0,76,1,0,0,0,0,32,0,2,False,0
0,0,0,1,0,90,7,0,0,0,0,33,0,2,True,0
0,3,1,0,1,90,11,0,0,0,0,34,0,9,False,0
0,3,0,1,3,90,16,0,0,0,0,35,0,17,True,0
0,2,0,0,1,32,3,0,0,0,0,36,0,7,False,0
0,0,0,3,0,90,12,0,0,0,0,37,0,2,True,0
0,1,1,0,1,90,9,0,0,0,0,38,0,7,False,0
0,0,1,0,0,75,20,0,0,0,0,1,0,3,True,0
0,0,0,1,0,79,6,0,0,0,0,2,0,2,False,0
0,0,0,1,0,77,15,0,0,0,0,3,0,2,False,0
0,0,0,0,0,0,3,0,0,0,0,4,0,0,True,0
0,0,0,0,0,33,12,0,0,0,0,5,0,1,False,0
0,0,0,1,0,66,17,0,0,0,0,6,0,2,True,0
1,0,1,0,0,83,13,0,0,0,0,7,0,6,True,0
1,0,0,1,0,17,10,0,0,0,0,8,0,4,False,0
0,0,0,1,0,66,5,0,0,0,0,9,0,2,True,0
0,2,1,0,3,73,16,0,0,0,0,10,0,20,False,0
0,0,1,0,0,73,7,0,0,0,0,11,0,3,False,0
0,0,0,0,0,59,1,0,0,0,0,12,0,1,True,0
0,0,1,0,1,69,4,0,0,0,0,13,0,8,False,0
0,0,0,1,0,61,8,0,0,0,0,14,0,2,True,0
0,0,0,0,0,45,18,0,0,0,0,15,0,1,True,0
0,0,0,0,0,0,2,0,0,0,0,16,0,0,False,0
0,0,0,0,0,0,14,0,0,0,0,17,0,0,True,0
0,0,0,2,0,67,11,0,0,0,0,18,0,2,False,0
0,0,0,2,0,18,10,0,0,0,0,19,0,1,True,0
2,2,0,1,0,63,19,0,0,0,0,20,0,10,False,0
1,2,1,0,1,90,13,0,0,0,0,21,0,13,False,0
0,0,0,1,0,66,16,0,0,0,0,22,0,2,True,0
0,0,0,1,0,73,5,0,0,0,0,23,0,2,False,0
0,3,0,1,2,90,19,0,0,0,0,24,0,15,True,0
0,0,0,2,0,90,6,0,0,0,0,25,0,2,True,0
0,0,1,0,0,67,20,0,0,0,0,26,0,3,False,0
0,0,0,0,0,1,11,0,0,0,0,27,0,1,True,0
0,0,0,1,0,77,14,0,0,0,0,28,0,2,False,0
0,0,0,0,0,0,2,0,0,0,0,29,0,0,True,0
