assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,was_home,yellow_cards
0,0,0,1,0,90,18,0,0,0,0,1,0,2,True,0
0,0,0,2,0,90,11,0,0,0,0,2,3,2,False,0
0,0,0,1,0,90,15,0,0,0,0,3,1,2,True,0
0,0,0,2,0,90,1,0,0,0,0,4,0,0,False,1
0,0,1,0,0,90,16,0,0,0,0,5,3,7,True,0
0,0,1,0,0,90,20,0,0,0,0,6,0,6,False,0
0,0,1,0,0,90,8,0,0,0,0,7,1,6,False,0
0,0,0,1,0,90,3,0,0,0,0,8,0,2,True,0
0,0,0,1,0,90,10,0,0,0,0,9,2,1,False,1
0,0,0,2,0,90,4,0,0,0,0,10,5,2,True,0
0,0,0,2,0,90,7,0,0,0,0,11,0,1,False,0
0,0,1,0,0,90,9,0,0,0,0,12,2,6,True,0
0,0,1,0,0,90,6,0,0,0,0,13,1,6,True,0
0,0,0,3,0,90,5,0,0,0,0,14,1,1,False,0
0,0,1,0,0,90,12,0,0,0,0,15,1,6,True,0
0,0,1,0,0,90,14,0,0,0,0,16,3,7,False,0
0,0,0,1,0,90,2,0,0,0,0,17,4,3,False,0
0,0,0,4,0,90,17,0,0,0,0,18,1,0,True,0
0,0,0,2,0,90,19,0,0,0,0,19,1,1,True,0
0,0,0,3,0,90,6,0,0,0,0,20,3,2,False,0
0,0,0,1,0,90,3,0,0,0,0,21,2,2,False,0
0,1,1,0,0,90,8,0,0,0,0,22,2,7,True,0
0,0,0,2,0,90,16,0,0,0,0,23,3,2,False,0
0,0,0,3,0,90,20,0,0,0,0,24,1,1,True,0
0,0,1,0,0,90,15,0,0,0,0,25,1,6,False,0
0,0,0,3,0,90,18,0,0,0,0,27,1,1,False,0
0,0,0,2,0,90,17,0,0,0,0,29,4,2,False,0
0,0,1,0,0,90,2,0,0,0,0,30,2,6,True,0
0,0,0,1,0,90,5,0,0,0,0,31,2,2,True,0
0,0,1,0,0,90,19,0,0,0,0,32,6,7,False,1
0,0,0,3,0,90,10,0,0,0,0,33,2,1,True,0
0,0,0,4,0,90,4,0,0,0,0,34,3,1,False,0
0,0,1,0,0,90,7,0,0,0,0,35,1,6,True,0
0,3,1,0,0,90,9,0,0,1,0,36,8,16,False,0
0,0,0,2,0,90,1,0,0,0,0,36,2,1,True,0
