assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,was_home,yellow_cards
0,0,0,0,0,0,6,0,0,0,0,21,0,0,False,0
0,0,0,0,0,9,17,0,0,0,0,22,0,1,True,0
1,3,1,0,1,90,20,0,0,0,0,23,0,11,False,1
0,3,0,1,2,90,16,0,0,0,0,24,0,13,True,0
0,0,0,0,0,14,2,0,0,0,0,25,0,1,False,0
0,0,0,0,0,0,15,0,0,0,0,27,0,0,False,0
0,0,0,0,0,0,14,0,0,0,0,27,0,0,True,0
0,0,0,0,0,0,9,0,0,0,0,29,0,0,True,0
0,0,0,0,0,0,1,0,0,0,0,30,0,0,False,0
0,0,0,0,0,0,4,0,0,0,0,31,0,0,False,0
0,0,0,0,0,0,7,0,0,0,0,32,0,0,True,0
0,0,0,0,0,0,13,0,0,0,0,33,0,0,False,0
0,0,0,0,0,5,11,0,0,0,0,34,0,0,True,1
0,0,0,2,1,90,12,0,0,0,0,35,0,6,False,0
1,0,1,0,0,83,5,0,0,0,0,36,0,5,True,0
0,2,0,1,1,90,8,0,0,0,0,37,0,8,True,0
1,2,0,1,1,90,19,0,0,0,0,37,0,11,True,0
1,2,1,0,1,90,18,0,0,0,0,38,0,11,False,0
0,0,1,0,0,77,3,0,0,0,0,1,0,1,False,1
0,0,0,1,0,45,7,0,0,0,0,2,0,1,True,0
0,3,0,1,1,81,2,0,0,0,0,3,0,9,False,0
0,3,0,0,2,56,10,0,0,0,0,4,0,12,True,0
0,0,1,0,1,64,18,0,0,0,0,5,0,6,False,0
0,0,0,0,0,0,6,0,0,0,0,6,0,0,True,0
1,0,1,0,0,90,5,0,0,0,0,7,0,5,False,0
0,3,0,2,2,62,15,0,0,0,0,8,0,13,True,0
0,0,0,0,0,14,4,0,0,0,0,9,0,1,True,0
0,0,0,1,0,81,19,0,0,0,0,10,0,1,False,1
0,0,0,1,1,28,1,0,0,0,0,11,0,5,True,0
0,2,1,0,1,90,9,0,0,0,0,12,0,8,False,0
1,0,0,0,0,10,8,0,0,0,0,13,0,4,False,0
1,0,1,0,0,73,14,0,0,0,0,14,0,5,True,0
1,0,0,0,0,45,20,0,0,0,0,15,0,3,True,1
0,0,0,1,0,58,12,0,0,0,0,16,0,1,False,0
0,0,0,0,0,0,16,0,0,0,0,17,0,0,False,0
0,0,0,1,0,32,17,0,1,0,0,18,0,-1,True,0
0,0,0,0,0,0,2,0,0,0,0,19,0,0,True,0
0,0,1,0,0,79,13,0,0,0,0,20,0,2,False,0
0,0,0,0,0,22,6,0,0,0,0,21,0,1,False,0
0,0,0,0,0,0,18,0,0,0,0,22,0,0,True,0
0,0,0,0,0,0,10,0,0,0,0,23,0,0,False,0
0,0,0,0,0,0,13,0,0,0,0,24,0,0,True,0
0,0,0,0,0,0,19,0,0,0,0,25,0,0,True,0
0,0,0,0,0,0,4,0,0,0,0,26,0,0,False,0
0,0,0,0,0,0,9,0,0,0,0,27,0,0,True,0
0,0,0,0,0,3,1,0,0,0,0,28,0,1,False,0
0,0,0,0,0,5,5,0,0,0,0,29,0,1,True,0
1,0,1,0,0,90,15,0,0,0,0,30,0,5,False,0
0,2,0,1,1,90,7,0,0,0,0,32,0,8,False,0
0,0,0,0,0,18,12,0,0,0,0,33,0,0,True,1
1,1,0,1,1,75,17,0,0,0,0,34,0,9,False,1
