assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,was_home,yellow_cards
0,0,0,1,0,90,15,0,0,0,0,1,0,2,True,0
1,0,0,1,0,87,14,0,0,0,0,2,0,4,False,1
1,1,0,1,0,90,20,0,0,0,0,3,0,6,True,0
1,3,0,1,1,89,11,0,0,0,0,4,0,13,False,0
1,3,1,0,1,74,2,0,0,0,0,5,0,14,True,0
2,2,0,1,0,80,16,0,0,0,0,6,0,10,False,0
0,0,0,0,0,0,17,0,0,0,0,7,0,0,False,0
0,0,0,1,0,90,6,0,1,0,0,8,0,0,True,0
0,0,0,1,0,45,13,0,0,0,0,9,0,1,True,0
1,0,0,0,0,23,19,0,0,0,0,10,0,4,False,0
1,3,0,1,0,90,12,0,0,0,0,11,0,8,True,0
1,2,0,1,0,90,5,0,0,0,0,12,0,7,False,0
0,0,0,0,0,13,3,0,0,0,0,13,0,1,False,0
0,0,0,3,0,90,4,0,0,0,0,14,0,2,True,0
0,0,0,4,0,90,8,0,0,0,0,15,0,2,False,0
1,0,1,0,0,88,18,0,0,0,0,16,0,6,True,0
1,3,0,1,0,83,1,0,0,0,0,17,0,7,True,1
0,0,1,0,0,90,7,0,0,0,0,18,0,3,False,0
0,0,0,1,0,90,9,0,0,0,0,19,0,2,False,0
0,0,0,1,0,90,3,0,0,0,0,20,0,2,True,0
0,0,0,4,0,90,6,0,0,0,0,21,0,2,False,0
1,3,0,2,1,90,17,0,0,0,0,22,0,13,True,0
0,1,1,0,1,66,20,0,0,0,0,23,0,8,False,1
0,0,1,0,0,77,16,0,0,0,0,24,0,2,True,1
0,0,1,0,0,90,2,0,0,0,0,25,0,3,False,0
0,0,0,0,0,13,15,0,0,0,0,27,0,1,False,0
0,0,1,0,0,90,14,0,0,0,0,27,0,3,True,0
1,3,0,1,0,90,9,0,0,0,0,29,0,8,True,0
1,0,0,2,0,90,1,0,0,0,0,30,0,5,False,0
0,0,0,2,0,78,4,0,0,0,0,31,0,2,False,0
0,0,0,0,0,0,7,0,0,0,0,32,0,0,True,0
2,3,1,0,0,90,13,0,0,0,0,33,0,12,False,0
0,0,1,0,0,90,11,0,0,0,0,34,0,3,True,0
0,0,0,2,0,90,12,0,0,0,0,35,0,2,False,0
2,3,1,0,1,90,5,0,0,0,0,36,0,17,True,0
0,0,0,1,0,81,8,0,0,0,0,37,0,2,True,0
1,3,0,1,1,90,19,0,0,0,0,37,0,13,True,0
2,0,1,0,0,90,18,0,0,0,0,38,0,9,False,0
0,0,1,0,0,90,3,0,0,0,0,1,0,3,False,0
0,0,0,1,0,90,7,0,0,0,0,2,0,2,True,0
0,1,0,1,0,90,2,0,0,0,0,3,0,3,False,0
2,0,1,0,0,90,10,0,0,0,0,4,0,9,True,0
1,0,1,0,0,65,18,0,0,0,0,5,0,6,False,0
0,0,1,0,0,90,6,0,0,0,0,6,0,3,True,0
0,3,1,0,1,90,5,0,0,0,0,7,0,11,False,0
2,1,0,2,0,65,15,0,0,0,0,8,0,9,True,0
1,0,1,0,0,79,4,0,0,0,0,9,0,6,True,0
0,0,0,2,0,90,19,0,0,0,0,10,0,2,False,0
0,3,0,1,1,90,1,0,0,0,0,11,0,10,True,0
0,0,1,0,1,88,9,0,0,0,0,12,0,8,False,0
0,0,0,1,0,90,8,0,0,0,0,13,0,2,False,0
1,3,0,1,1,90,14,0,0,0,0,14,0,13,True,0
1,0,0,1,0,90,20,0,0,0,0,15,0,4,True,1
0,0,0,1,0,90,12,0,0,0,0,16,0,2,False,0
0,2,1,0,1,76,16,0,0,0,0,17,0,10,False,0
0,3,0,1,1,90,17,0,0,0,0,18,0,10,True,0
0,0,1,0,0,73,2,0,0,0,0,19,0,3,True,0
1,0,1,0,0,90,13,0,0,0,0,20,0,6,False,0
0,0,1,0,0,90,6,0,0,0,0,21,0,3,False,0
2,3,1,0,0,78,18,0,0,0,0,22,0,12,True,0
0,0,0,4,0,90,10,0,0,0,0,23,0,2,False,0
1,1,0,1,0,90,13,0,0,0,0,24,0,6,True,0
1,3,1,0,1,77,19,0,0,0,0,25,0,14,True,0
0,0,0,1,0,90,4,0,0,0,0,26,0,2,False,0
3,2,0,1,0,90,9,0,0,0,0,27,0,13,True,0
0,0,1,0,0,90,1,0,0,0,0,28,0,3,False,0
0,0,1,0,0,90,5,0,0,0,0,29,0,3,True,0
0,0,1,0,0,90,15,0,0,0,0,30,0,3,False,0
1,0,0,1,0,76,7,0,0,0,0,32,0,5,False,0
0,0,0,0,0,18,12,0,0,0,0,33,0,1,True,0
0,0,0,1,0,88,17,0,0,0,0,34,0,1,False,1
0,0,1,0,1,64,16,0,0,0,0,35,0,8,True,0
0,0,0,1,0,90,20,0,0,0,0,36,0,2,False,0
0,0,1,0,0,66,8,0,0,0,0,37,0,3,True,0
0,0,0,0,0,0,3,0,0,0,0,37,0,0,True,0
1,0,1,0,0,90,14,0,0,0,0,38,0,6,False,0
0,0,0,0,0,30,1,0,0,0,0,1,0,0,False,1
0,0,0,0,0,0,10,0,0,0,0,2,0,0,True,0
0,0,0,0,0,0,20,0,0,0,0,3,0,0,False,0
0,0,0,0,0,0,15,0,0,0,0,4,0,0,True,0
0,0,0,0,0,0,9,0,0,0,0,5,0,0,True,0
0,0,0,0,0,0,5,0,0,0,0,6,0,0,False,0
0,0,0,0,0,0,3,0,0,0,0,7,0,0,True,0
0,0,0,0,0,0,12,0,0,0,0,8,0,0,False,0
0,0,0,0,0,32,4,0,0,0,0,9,0,1,True,0
0,0,0,0,0,19,17,0,0,0,0,10,0,1,False,0
0,0,0,0,0,0,16,0,0,0,0,11,0,0,True,0
0,0,0,0,0,0,14,0,0,0,0,12,0,0,True,0
0,0,0,0,0,0,19,0,0,0,0,13,0,0,False,0
0,0,0,0,0,0,2,0,0,0,0,14,0,0,True,0
0,0,0,0,0,0,18,0,0,0,0,15,0,0,False,0
0,0,0,0,0,0,6,0,0,0,0,16,0,0,False,0
0,0,0,0,0,15,8,0,0,0,0,17,0,1,True,0
0,2,0,0,1,28,7,0,0,0,0,18,0,8,True,0
0,0,0,1,0,69,11,0,0,0,0,19,0,2,False,0
0,0,0,0,0,0,16,0,0,0,0,20,0,0,False,0
0,0,0,0,0,0,12,0,0,0,0,21,0,0,True,0
1,0,0,0,0,28,20,0,0,0,0,22,0,4,True,0
0,0,1,0,0,90,10,0,0,0,0,23,0,3,False,0
0,0,1,0,0,64,15,0,0,0,0,24,0,2,False,1
0,0,0,1,0,87,1,0,0,0,0,25,0,2,True,0
0,0,0,0,0,1,8,0,0,0,0,25,0,1,False,0
0,0,1,0,0,67,6,0,0,0,0,26,0,3,True,0
0,0,1,0,0,90,19,0,0,0,0,28,0,3,True,0
0,0,0,0,0,45,2,0,0,0,0,29,0,1,False,0
0,0,0,0,0,0,18,0,0,0,0,30,0,0,True,0
0,0,1,0,0,74,9,0,0,0,0,32,0,3,False,0
0,3,1,0,1,90,5,0,0,0,0,32,0,11,True,0
2,3,0,1,0,90,7,0,0,0,0,34,0,11,False,0
0,0,0,0,0,37,17,0,0,0,0,35,0,1,True,0
0,0,0,0,0,0,14,0,0,0,0,35,0,0,False,0
0,0,0,0,0,0,4,0,0,0,0,36,0,0,False,0
0,0,0,0,0,0,11,0,0,0,0,37,0,0,True,0
0,0,0,0,0,12,3,0,0,0,0,38,0,1,False,0
1,1,1,0,0,78,19,0,0,0,0,1,0,7,False,0
2,3,0,2,0,90,17,0,0,0,0,2,0,11,True,0
1,0,0,1,0,90,3,0,0,0,0,3,0,5,False,0
1,2,1,0,1,68,4,0,0,0,0,4,0,13,True,0
0,0,0,0,0,33,14,0,0,0,0,5,0,1,False,0
2,3,1,0,1,90,18,0,0,0,0,6,0,17,True,0
2,1,0,1,0,79,8,0,0,0,0,7,0,9,False,0
0,0,0,0,0,0,20,0,0,0,0,8,0,0,True,0
0,0,1,0,0,90,7,0,0,0,0,9,0,3,False,0
1,0,1,0,0,75,2,0,0,0,0,10,0,6,True,0
0,0,0,1,0,90,16,0,0,0,0,11,0,2,True,0
0,0,0,3,0,90,10,0,0,0,0,12,0,2,False,0
0,0,0,1,1,90,6,0,0,0,0,13,0,7,True,0
0,3,0,2,1,90,13,0,0,0,0,14,0,10,False,0
0,0,1,0,0,79,5,0,0,0,0,15,0,3,False,0
0,0,0,2,0,90,12,0,0,0,0,16,0,1,True,1
1,3,1,0,2,90,1,0,0,0,0,17,0,19,False,0
