assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,was_home,yellow_cards
0,0,0,3,1,90,1,0,0,0,0,1,0,7,False,0
0,0,0,0,0,0,3,0,0,0,0,2,0,0,False,0
0,0,0,1,0,87,17,0,0,0,0,3,0,1,False,1
1,2,0,1,1,90,8,0,0,0,0,4,0,12,True,0
0,0,0,1,0,90,4,0,0,0,0,5,0,2,False,0
0,0,0,1,1,90,7,0,0,0,0,6,0,7,True,0
0,0,0,1,0,90,16,0,0,0,0,7,0,2,False,0
0,0,1,0,0,90,11,0,0,0,0,8,0,3,True,0
1,2,0,1,1,90,19,0,0,0,0,9,0,12,True,0
0,0,0,2,0,90,5,0,0,0,0,10,0,2,False,0
0,0,1,0,2,62,18,0,0,0,0,11,0,13,True,0
0,0,1,0,0,90,13,0,0,0,0,12,0,3,False,0
1,0,1,0,0,90,15,0,0,0,0,13,0,6,True,0
1,1,0,1,1,68,2,0,0,0,0,14,0,11,False,0
2,1,0,2,0,90,20,0,0,0,0,15,0,8,True,1
0,0,1,0,0,90,12,0,0,0,0,16,0,3,False,0
0,2,1,0,1,90,6,0,0,0,0,17,0,10,False,0
0,0,0,1,0,90,14,0,0,0,0,18,0,2,True,0
0,0,1,0,0,88,10,0,0,0,0,19,0,3,True,0
0,0,0,2,1,90,15,0,0,0,0,20,0,6,False,1
0,0,0,0,0,0,11,0,0,0,0,21,0,0,False,0
0,0,0,0,0,0,16,0,0,0,0,22,0,0,True,0
0,0,0,0,0,16,4,0,0,0,0,23,0,1,True,0
0,0,0,2,0,90,7,0,0,0,0,24,0,2,False,0
0,3,1,0,2,90,17,0,0,0,0,25,0,16,True,0
0,0,0,3,0,65,8,0,0,0,0,26,0,2,False,0
1,3,0,1,1,90,1,0,0,0,0,27,0,13,True,0
0,0,0,1,0,90,3,0,0,0,0,28,0,2,True,0
0,0,0,1,0,90,10,0,0,0,0,29,0,1,False,1
0,0,0,1,1,56,6,0,0,0,0,30,0,6,True,0
0,0,0,0,0,0,2,0,0,0,0,31,0,0,True,0
0,0,0,0,0,0,14,0,0,0,0,32,0,0,False,0
0,0,0,0,0,0,19,0,0,0,0,33,0,0,False,0
0,0,0,0,0,0,5,0,0,0,0,34,0,0,True,0
0,0,0,0,0,0,18,0,0,0,0,35,0,0,False,0
0,0,0,0,0,0,13,0,0,0,0,36,0,0,True,0
0,0,0,0,0,0,20,0,0,0,0,37,0,0,False,0
0,0,0,0,0,0,12,0,0,0,0,38,0,0,True,0
0,0,0,3,1,90,18,0,0,0,0,1,0,6,False,1
0,0,1,0,1,90,6,0,0,0,0,2,0,8,True,0
0,0,1,0,1,73,1,0,0,0,0,3,0,8,True,0
0,0,0,5,0,36,11,0,0,0,1,4,0,-2,False,0
0,0,0,0,0,0,4,0,0,0,0,5,0,0,True,0
0,0,0,0,0,0,9,0,0,0,0,6,0,0,False,0
0,0,0,1,0,73,13,0,0,0,0,7,0,2,False,0
0,0,0,0,0,0,12,0,0,0,0,8,0,0,True,0
0,0,0,0,0,0,17,0,0,0,0,9,0,0,False,0
0,0,0,0,0,0,8,0,0,0,0,10,0,0,True,0
2,2,0,1,0,76,20,0,0,0,0,11,0,10,False,0
0,0,1,0,0,73,14,0,0,0,0,12,0,3,True,0
0,0,0,0,0,1,5,0,0,0,0,13,0,1,True,0
1,3,1,0,1,88,15,0,0,0,0,14,0,13,False,1
0,0,0,0,0,0,3,0,0,0,0,15,0,0,False,0
0,0,0,1,0,90,7,0,0,0,0,16,0,2,True,0
0,0,1,0,0,75,19,0,0,0,0,17,0,3,True,0
0,0,0,0,0,0,2,0,0,0,0,18,0,0,False,0
0,0,0,3,0,79,1,0,0,0,0,19,0,2,False,0
0,0,0,0,0,0,16,0,0,0,0,20,0,0,True,0
1,1,0,1,0,71,9,0,0,0,0,21,0,6,True,0
0,0,1,0,1,71,4,0,0,0,0,22,0,8,False,0
0,0,0,3,1,90,11,0,0,0,0,23,0,7,True,0
0,0,0,1,0,90,16,0,0,0,0,24,0,2,False,0
1,0,1,0,0,90,8,0,0,0,0,25,0,6,False,0
0,0,1,0,0,64,17,0,0,0,0,26,0,3,True,0
0,0,1,0,0,90,14,0,0,0,0,27,0,3,False,0
0,0,0,1,1,86,20,0,0,0,0,28,0,7,True,0
0,0,1,0,1,73,13,0,0,0,0,29,0,8,True,0
1,2,0,2,0,90,12,0,0,0,0,30,0,7,False,0
2,0,1,0,0,90,18,0,0,0,0,31,0,9,True,0
0,0,0,1,1,63,6,0,0,0,0,32,0,6,False,1
0,0,1,0,0,73,7,0,0,0,0,33,0,3,False,0
0,0,1,0,1,76,2,0,0,0,0,34,0,8,True,0
0,0,1,0,0,65,19,0,0,0,0,35,0,3,False,0
0,0,0,0,0,0,15,0,0,0,0,36,0,0,True,0
0,0,0,1,0,90,5,0,0,0,0,37,0,2,False,0
0,0,1,0,0,73,3,0,0,0,0,38,0,3,True,0
0,3,1,0,2,81,19,0,0,0,0,1,0,16,True,0
0,2,1,0,1,90,7,0,0,0,0,2,0,10,False,0
0,0,1,0,0,79,3,0,0,0,0,3,0,3,True,0
0,3,0,1,1,90,11,0,0,0,0,4,0,10,False,0
0,0,0,1,0,90,17,0,0,0,0,5,0,2,False,0
0,0,1,0,0,90,16,0,0,0,0,6,0,3,True,0
0,0,0,1,0,90,6,0,0,0,0,7,0,1,False,1
0,0,1,0,0,90,13,0,0,0,0,8,0,3,True,0
0,0,0,0,0,0,10,0,0,0,0,9,0,0,False,0
0,3,0,1,2,90,5,0,0,0,0,10,0,15,True,0
0,0,0,1,0,90,1,0,0,0,0,11,0,2,False,0
0,0,1,0,0,90,9,0,0,0,0,12,0,3,True,0
2,0,1,0,0,90,18,0,0,0,0,13,0,9,False,0
0,0,1,0,0,90,8,0,0,0,0,14,0,3,True,0
0,0,0,0,0,0,4,0,0,0,0,15,0,0,False,0
0,0,0,0,0,25,2,0,0,0,0,16,0,1,False,0
0,2,0,1,1,83,14,0,0,0,0,17,0,9,True,0
0,0,1,0,0,86,20,0,0,0,0,18,0,3,False,0
0,0,1,0,0,90,15,0,0,0,0,19,0,3,True,0
0,0,0,1,1,61,1,0,0,0,0,20,0,7,True,0
0,0,0,2,0,76,13,0,0,0,0,21,0,2,False,0
0,0,1,0,0,89,3,0,0,0,0,22,0,3,False,0
0,0,0,3,1,90,7,0,0,0,0,23,0,7,True,0
0,2,0,1,1,90,11,0,0,0,0,24,0,9,True,0
0,1,0,1,1,90,19,0,0,0,0,25,0,8,False,0
0,0,1,0,1,86,2,0,0,0,0,26,0,8,True,0
0,0,1,0,0,90,14,0,0,0,0,27,0,3,False,0
0,0,1,0,2,77,18,0,0,0,0,28,0,13,True,0
0,0,1,0,0,83,8,0,0,0,0,29,0,3,False,0
0,2,0,2,2,90,4,0,0,0,0,30,0,14,True,0
1,3,0,1,1,90,9,0,0,0,0,31,0,13,False,0
0,0,0,1,0,90,17,0,0,0,0,32,0,2,True,0
0,0,0,1,0,90,16,0,0,0,0,33,0,1,False,1
0,1,1,0,1,90,6,0,0,0,0,34,0,9,True,0
0,0,1,0,0,90,5,0,0,0,0,35,0,3,False,0
0,0,1,0,2,90,10,0,0,0,0,36,0,13,True,0
0,0,0,2,0,90,15,0,0,0,0,37,0,2,False,0
0,2,1,0,2,90,20,0,0,0,0,38,0,15,True,0
0,0,0,0,0,16,14,0,0,0,0,1,0,1,True,0
1,3,0,1,1,90,16,0,0,0,0,2,0,13,False,0
0,0,1,0,0,76,1,0,0,0,0,3,0,3,True,0
0,0,1,0,1,84,5,0,0,0,0,4,0,8,False,0
0,3,0,1,2,90,13,0,0,0,0,5,0,15,True,0
0,0,0,1,0,70,6,0,0,0,0,6,0,2,False,0
0,0,1,0,0,90,15,0,0,0,0,7,0,3,False,0
1,2,0,1,1,90,9,0,0,0,0,8,0,12,True,0
0,0,0,1,0,90,12,0,0,0,0,9,0,2,False,0
1,0,0,1,0,90,17,0,0,0,0,10,0,5,True,0
1,3,0,1,1,90,2,0,0,0,0,11,0,12,False,1
0,0,0,1,1,90,11,0,0,0,0,12,0,7,True,0
0,2,0,1,1,90,7,0,0,0,0,13,0,9,False,0
0,0,0,1,0,90,4,0,0,0,0,14,0,2,True,0
2,2,0,2,1,90,8,0,0,0,0,15,0,15,True,0
0,0,0,0,0,0,3,0,0,0,0,16,0,0,False,0
1,0,1,0,0,90,18,0,0,0,0,17,0,6,True,0
1,0,1,0,0,90,9,0,0,0,0,19,0,6,False,0
0,3,1,0,1,90,20,0,0,0,0,20,0,11,True,0
0,0,1,0,1,77,15,0,0,0,0,21,0,8,True,0
0,0,1,0,0,80,17,0,0,0,0,22,0,3,False,0
0,0,1,0,0,82,12,0,0,0,0,23,0,3,True,0
0,0,0,0,0,32,20,0,0,0,0,24,0,1,False,0
0,0,0,0,0,0,19,0,0,0,0,24,0,0,False,0
0,0,0,0,0,0,16,0,0,0,0,25,0,0,True,0
0,0,0,0,1,30,14,0,0,0,0,26,0,5,False,1
0,1,0,2,1,90,19,0,0,0,0,27,0,8,True,0
0,0,0,3,0,90,18,0,0,0,0,28,0,2,False,0
1,3,0,1,1,90,3,0,0,0,0,29,0,13,True,0
