assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,was_home,yellow_cards
0,0,0,4,0,90,10,0,0,0,0,1,0,2,False,0
2,2,0,1,0,90,13,0,0,0,0,2,0,10,True,0
0,0,0,3,1,90,6,0,0,0,0,3,0,7,True,0
0,0,0,2,0,77,19,0,0,0,0,4,0,2,False,0
0,0,0,2,1,90,11,0,0,0,0,5,0,6,True,1
0,0,0,2,0,89,5,0,0,0,0,6,0,2,False,0
0,0,0,1,0,80,7,0,0,0,0,7,0,2,False,0
0,0,0,4,0,79,2,0,0,0,0,8,0,2,True,0
0,0,1,0,0,80,3,0,0,0,0,9,0,3,False,0
0,0,0,2,0,45,12,0,0,0,0,10,0,1,True,0
0,0,0,1,0,6,4,0,0,0,0,11,0,1,False,0
0,0,0,0,0,28,18,0,0,0,0,12,0,1,True,0
0,2,1,0,1,79,8,0,0,0,0,13,0,10,False,0
0,1,0,2,1,82,1,0,0,0,0,14,0,8,True,0
0,0,0,2,0,82,16,0,0,0,0,15,0,2,False,0
0,0,0,0,0,18,15,0,0,0,0,16,0,1,True,0
0,0,0,1,0,84,9,0,0,0,0,17,0,1,False,1
0,3,0,2,1,86,20,0,0,0,0,18,0,10,True,0
0,0,0,1,0,90,2,0,0,0,0,19,0,2,False,0
0,0,0,0,0,4,17,0,0,0,0,20,0,1,True,0
0,2,1,0,1,77,7,0,0,0,0,21,0,10,True,0
0,0,0,4,0,90,12,0,0,0,0,22,0,2,False,0
0,0,1,0,0,90,3,0,0,0,0,23,0,3,True,0
0,0,0,2,0,90,17,0,0,0,0,24,0,1,False,1
0,0,1,0,0,66,13,0,0,0,0,25,0,2,False,1
0,0,0,1,0,90,10,0,0,0,0,26,0,2,True,0
0,0,0,3,0,83,20,0,0,0,0,27,0,2,False,0
0,0,1,0,0,67,9,0,0,0,0,28,0,3,True,0
0,0,0,1,0,45,15,0,0,0,0,29,0,1,False,0
