assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,was_home,yellow_cards
0,0,0,1,0,79,20,0,0,0,0,1,0,2,True,0
0,0,0,0,0,0,18,0,0,0,0,2,0,0,False,0
0,3,1,0,1,76,3,0,0,0,0,3,0,11,True,0
0,0,0,2,0,76,16,0,0,0,0,4,0,2,False,0
0,0,0,2,0,83,9,0,0,0,0,5,0,1,True,1
0,0,0,3,0,69,1,0,0,0,0,6,0,2,False,0
0,2,1,0,1,88,7,0,0,0,0,7,0,10,False,0
0,0,0,0,0,0,8,0,0,0,0,8,0,0,True,0
0,0,0,0,0,13,11,0,0,0,0,9,0,1,True,0
0,0,0,0,0,13,13,0,0,0,0,10,0,1,False,0
0,0,0,0,0,0,6,0,0,0,0,11,0,0,True,0
0,0,0,0,0,0,12,0,0,0,0,12,0,0,False,0
0,0,0,0,0,14,17,0,0,0,0,13,0,0,True,1
0,0,0,0,1,41,10,0,0,0,0,14,0,6,False,0
0,0,0,0,0,28,19,0,0,0,0,15,0,1,True,0
1,0,1,0,0,88,15,0,0,0,0,16,0,6,False,0
0,0,1,0,0,63,5,0,0,0,0,17,0,3,False,0
0,0,1,0,0,82,2,0,0,0,0,18,0,3,True,0
0,3,0,2,2,83,14,0,0,0,0,19,0,15,True,0
0,0,0,0,0,26,17,0,0,0,0,20,0,1,False,0
1,0,1,0,0,83,8,0,0,0,0,21,0,6,False,0
0,0,0,0,0,20,7,0,0,0,0,22,0,1,True,0
0,0,0,1,0,82,9,0,0,0,0,23,0,1,False,1
0,0,0,1,0,7,1,0,0,0,0,24,0,1,True,0
0,0,0,0,0,19,3,0,0,0,0,25,0,1,False,0
0,0,0,0,0,6,16,0,0,0,0,26,0,1,True,0
0,0,0,1,0,16,20,0,0,0,0,27,0,1,False,0
0,3,0,1,1,87,14,0,0,0,0,29,0,10,False,0
0,0,0,0,0,32,5,0,0,0,0,30,0,1,True,0
0,0,0,0,0,10,10,0,0,0,0,31,0,1,True,0
0,0,0,0,0,3,2,0,0,0,0,32,0,1,False,0
0,0,0,0,0,25,11,0,0,0,0,33,0,1,False,0
0,0,0,1,0,1,13,0,0,0,0,34,0,1,True,0
0,0,0,0,1,6,6,0,0,0,0,35,0,6,False,0
0,0,0,0,0,19,12,0,0,0,0,36,0,1,True,0
0,0,0,0,0,16,19,0,0,0,0,37,0,1,False,0
1,2,0,3,0,90,18,0,0,0,0,37,0,7,True,0
0,0,0,1,1,90,15,0,0,0,0,38,0,7,True,0
1,1,0,3,0,90,4,0,0,0,0,1,0,6,True,0
0,0,1,0,0,77,17,0,0,0,0,2,0,3,False,0
0,0,1,0,0,90,7,0,0,0,0,3,0,3,True,0
0,0,0,0,0,27,9,0,0,0,0,4,0,1,False,0
0,0,1,0,0,69,1,0,0,0,0,5,0,3,True,0
0,0,1,0,0,71,15,0,0,0,0,6,0,3,False,0
0,0,0,1,0,55,11,0,0,0,0,7,0,1,True,0
0,0,0,2,0,64,6,0,0,0,0,8,0,2,False,0
1,0,0,0,0,22,18,0,0,0,0,9,0,4,True,0
0,0,0,0,0,5,2,0,0,0,0,10,0,1,False,0
0,0,0,0,0,3,12,0,0,0,0,11,0,1,True,0
