assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,50,False,0,3
0,0,3,0,0.1,1,0,0.1,1.2,7,4,0,0,0,0,0,0.0,1,50,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,49,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,48,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,48,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,48,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,47,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,47,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,47,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,47,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,46,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,46,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,46,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,46,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,46,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,46,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,46,True,0,3
0,0,10,0,5.3,4,0,2.7,3.6,90,17,0,0,0,0,0,18.0,2,46,True,0,3
0,0,8,0,14.7,2,0,4.4,4.6,90,14,0,0,0,0,0,25.0,1,46,False,1,3
0,0,9,1,15.8,0,0,5.0,5.4,90,12,0,0,0,0,0,29.0,3,46,True,0,3
0,0,17,0,1.5,2,0,0.4,0.0,87,2,0,0,0,0,0,3.0,2,46,False,0,3
0,0,7,0,0.5,0,0,0.7,6.6,28,1,0,0,0,0,0,0.0,1,46,False,0,3
0,0,5,0,2.1,1,0,0.7,5.2,26,3,0,0,0,0,0,0.0,1,46,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,46,False,0,3
0,0,0,0,1.8,1,0,2.4,0.6,37,20,0,0,0,0,0,22.0,0,46,True,1,3
0,0,21,0,0.0,0,1,6.6,33.0,2,13,0,0,0,0,0,33.0,6,46,True,0,3
0,0,8,0,12.4,1,0,3.2,8.6,45,5,0,0,0,0,0,11.0,1,46,False,0,3
0,0,13,1,13.1,0,0,4.8,7.6,90,15,0,0,0,0,0,27.0,3,46,True,0,3
0,0,16,1,12.1,0,0,2.4,11.8,90,19,0,0,0,0,0,0.0,3,46,True,0,3
0,0,2,0,12.4,4,0,2.1,0.6,58,17,0,0,0,0,0,8.0,0,46,False,1,3
0,0,16,1,12.5,0,0,3.9,17.0,90,16,0,0,0,0,0,9.0,3,46,True,0,3
0,0,15,0,2.1,2,0,1.1,8.4,72,7,0,0,0,0,0,0.0,2,46,False,0,3
0,0,17,0,11.6,1,0,3.0,10.6,90,9,0,0,0,0,0,8.0,2,46,True,0,3
0,0,18,0,36.9,3,0,5.4,16.6,90,8,0,0,0,0,0,0.0,2,46,False,0,3
0,0,22,0,19.3,1,0,6.4,17.8,90,6,0,0,0,0,0,27.0,2,46,False,0,3
0,0,11,0,3.1,4,0,2.2,19.0,90,4,0,0,0,0,0,0.0,2,46,False,0,3
0,0,8,0,0.9,5,0,3.6,1.2,90,10,0,0,0,0,0,34.0,1,46,True,1,3
