assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
1,2,33,0,33.7,3,1,14.2,51.2,75,1,0,0,0,0,0,57.0,11,70,False,1,3
0,0,16,0,29.9,2,0,15.6,17.2,77,3,0,0,0,0,0,109.0,2,70,False,0,3
0,0,11,0,26.8,1,0,5.6,9.6,90,17,0,0,0,0,0,20.0,2,71,False,0,3
0,1,29,0,13.5,1,1,8.6,43.8,90,8,0,0,0,0,0,29.0,8,71,True,0,3
0,0,14,0,8.1,1,0,3.0,12.0,90,4,0,0,0,0,0,10.0,2,71,False,0,3
2,2,55,0,31.3,1,1,14.8,75.4,68,7,0,0,0,0,0,41.0,15,71,True,0,3
0,0,2,0,1.1,1,0,0.2,0.0,22,16,0,0,0,0,0,3.0,1,72,False,0,3
0,0,0,0,3.4,0,0,0.8,1.6,31,11,0,0,0,0,0,3.0,1,71,True,0,3
0,0,8,1,9.5,0,0,2.6,6.4,78,19,0,0,0,0,0,10.0,3,71,True,0,3
0,0,11,0,3.9,2,0,2.6,9.2,75,5,0,0,0,0,0,13.0,2,71,False,0,3
2,3,50,1,61.6,0,0,12.2,52.6,70,18,0,0,0,0,0,8.0,12,71,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,72,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,71,True,0,3
0,0,2,0,6.8,3,0,0.7,0.0,22,2,0,0,0,0,0,1.0,1,70,False,0,3
0,0,25,0,39.5,2,1,11.8,43.2,90,20,0,0,0,0,0,35.0,7,70,True,0,3
1,3,66,1,18.6,0,2,17.8,95.0,81,12,0,0,0,0,0,64.0,19,71,False,0,3
0,0,11,1,8.6,0,0,2.1,8.4,81,6,0,0,0,0,0,4.0,3,73,False,0,3
0,2,31,0,15.8,1,1,13.0,40.8,68,14,0,0,0,0,0,73.0,9,74,True,0,3
1,0,15,1,40.3,0,0,6.6,25.8,90,10,0,0,0,0,0,0.0,6,75,True,0,3
0,0,12,0,39.3,2,0,8.9,15.0,90,15,0,0,0,0,0,35.0,1,76,False,1,3
0,0,14,0,4.6,1,0,6.0,16.6,90,11,0,0,0,0,0,39.0,2,77,False,0,3
0,0,10,0,17.3,3,0,4.4,4.6,90,16,0,0,0,0,0,22.0,2,77,True,0,3
0,0,3,0,5.8,1,0,1.8,2.6,89,4,0,0,0,0,0,10.0,2,75,True,0,3
0,0,17,0,31.1,1,0,6.8,10.4,82,7,0,0,0,0,0,26.0,2,74,False,0,3
0,0,5,1,23.8,0,0,5.6,10.0,90,17,0,0,0,0,0,22.0,3,71,True,0,3
0,0,17,0,22.8,3,0,8.3,19.6,65,8,0,0,0,0,0,41.0,2,71,False,0,3
0,0,17,0,19.7,1,0,3.9,8.8,90,1,0,0,0,0,0,10.0,2,71,True,0,3
0,0,7,0,10.4,1,0,2.1,2.4,90,3,0,0,0,0,0,8.0,1,70,True,1,3
0,0,7,0,25.3,1,0,6.6,14.0,90,10,0,0,0,0,0,27.0,2,70,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,69,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,69,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,68,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,68,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,68,True,0,3
0,0,9,1,18.5,0,0,2.9,3.6,74,18,0,0,0,0,0,7.0,3,67,False,0,3
0,0,4,0,15.2,0,0,3.4,10.0,22,13,0,0,0,0,0,9.0,1,67,True,0,3
0,0,12,1,45.7,0,0,10.8,18.0,88,20,0,0,0,0,0,44.0,3,67,False,0,3
0,1,30,1,61.1,0,1,15.8,51.6,90,12,0,0,0,0,0,45.0,9,67,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,75,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,75,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,74,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,74,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,74,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,74,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,74,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,73,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,73,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,73,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,73,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,73,True,0,3
0,0,2,0,1.3,0,0,0.2,0.2,1,5,0,0,0,0,0,0.0,1,73,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,73,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,73,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,73,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,73,True,0,3
0,0,1,0,25.3,0,0,3.3,2.0,19,2,0,0,0,0,0,6.0,0,73,False,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,73,False,0,3
0,0,3,0,3.6,0,0,2.8,1.2,21,16,0,0,0,0,0,23.0,1,73,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,73,True,0,3
0,0,14,1,48.9,0,0,10.4,14.4,85,4,0,0,0,0,0,41.0,3,73,False,0,3
0,0,1,0,0.0,1,0,0.0,0.2,2,11,0,0,0,0,0,0.0,1,73,True,0,3
0,0,4,0,15.4,0,0,5.8,5.0,22,16,0,0,0,0,0,38.0,1,73,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,73,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,73,True,0,3
0,0,-1,0,1.7,0,0,0.5,0.0,11,14,0,0,0,0,0,4.0,1,73,False,0,3
0,0,2,0,2.8,0,0,0.6,0.0,8,20,0,0,0,0,0,4.0,1,73,True,0,3
0,0,1,0,4.5,0,0,0.8,3.0,16,13,0,0,0,0,0,0.0,1,73,True,0,3
0,0,3,0,3.0,0,0,1.1,2.0,28,12,0,0,0,0,0,6.0,1,73,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,73,True,0,3
0,0,3,0,0.0,0,0,0.0,0.0,5,6,0,0,0,0,0,0.0,1,73,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,73,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,73,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,73,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,73,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,73,False,0,3
0,0,4,0,6.9,0,0,1.8,4.6,16,3,0,0,0,0,0,6.0,1,73,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,60,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,60,False,0,3
0,0,3,0,0.0,0,0,0.0,0.0,4,1,0,0,0,0,0,0.0,1,59,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,59,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,59,True,0,3
0,0,5,0,0.3,0,0,0.2,2.0,6,6,0,0,0,0,0,0.0,1,58,False,0,3
