assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,23,0,4.3,3,1,7.4,42.4,90,11,0,0,0,0,0,27.0,7,45,True,0,2
0,0,15,0,2.3,1,0,3.1,20.0,90,20,0,0,0,0,0,9.0,2,45,False,0,2
0,0,13,0,14.9,1,0,3.0,12.8,90,5,0,0,0,0,0,2.0,2,45,False,0,2
1,3,36,1,24.3,0,0,5.8,31.6,90,19,0,0,0,0,0,2.0,11,45,True,1,2
0,0,17,0,10.9,4,0,3.6,19.8,90,10,0,0,0,0,0,5.0,-1,46,False,1,2
0,0,28,1,3.2,0,0,1.7,14.0,90,6,0,0,0,0,0,0.0,6,46,True,0,2
0,0,24,0,26.0,2,0,6.1,29.0,90,18,0,0,0,0,0,6.0,0,46,False,1,2
1,0,25,0,14.2,1,0,4.0,23.4,90,7,0,0,0,0,0,2.0,5,46,True,0,2
0,0,24,1,2.0,0,0,1.9,16.6,90,17,0,0,0,0,0,0.0,6,47,True,0,2
0,0,18,0,19.1,2,0,7.6,11.8,90,12,0,0,0,0,0,45.0,0,48,False,1,2
1,0,23,0,24.1,2,0,5.6,26.2,90,15,0,0,0,0,0,6.0,3,48,True,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,48,False,0,2
0,0,5,0,19.0,3,0,3.1,5.2,90,1,0,0,0,0,0,7.0,1,48,False,0,2
0,0,8,0,6.5,3,0,1.5,8.4,90,9,0,0,0,0,0,0.0,1,48,True,0,2
0,0,4,0,17.5,3,0,3.5,2.4,90,3,0,0,0,0,0,15.0,1,48,False,0,2
0,0,28,1,36.8,0,0,5.1,8.2,90,8,0,0,0,0,0,6.0,6,48,True,0,2
0,0,10,0,15.6,3,0,2.7,5.2,90,13,0,0,0,0,0,6.0,1,48,True,0,2
0,0,12,0,12.3,3,0,2.3,0.6,90,4,0,0,0,0,0,10.0,1,48,False,0,2
0,0,5,0,0.2,0,0,0.5,5.2,18,16,0,0,0,0,0,0.0,1,48,False,0,2
0,0,2,0,11.5,3,0,1.9,5.2,23,1,0,0,0,0,0,2.0,0,47,True,0,2
0,0,9,0,4.8,3,0,2.1,14.2,90,7,0,0,0,0,0,2.0,0,47,False,1,2
1,2,26,0,16.1,2,0,5.4,33.6,90,18,0,0,0,0,0,4.0,6,47,True,0,2
0,0,18,0,26.9,2,0,3.9,9.6,90,5,0,0,0,0,0,2.0,1,47,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,46,False,0,2
0,0,16,0,4.1,2,0,1.4,10.2,90,10,0,0,0,0,0,0.0,1,46,True,0,2
0,0,14,0,32.2,2,0,5.7,18.0,90,19,0,0,0,0,0,7.0,1,45,False,0,2
0,0,5,0,0.6,1,0,0.8,7.8,90,11,0,0,0,0,0,0.0,2,45,False,0,2
0,0,20,0,18.7,2,0,6.2,13.4,90,20,0,0,0,0,0,30.0,1,45,True,0,2
0,1,29,1,16.0,0,0,4.4,16.6,90,16,0,0,0,0,0,11.0,7,45,True,0,2
0,1,28,1,4.7,0,0,1.3,6.4,90,13,0,0,0,0,0,2.0,7,45,False,0,2
