assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,was_home,yellow_cards
0,0,0,0,0,10,5,0,0,0,0,4,0,1,True,0
0,0,0,0,0,0,6,0,0,0,0,5,0,0,False,0
0,0,0,0,0,32,17,0,0,0,0,6,0,0,True,1
0,0,0,0,0,0,20,0,0,0,0,7,0,0,False,0
0,0,0,0,0,22,18,0,0,0,0,8,0,1,True,0
0,0,1,0,0,90,1,0,0,0,0,9,0,3,False,0
0,0,1,0,0,90,2,0,0,0,0,10,0,3,True,0
0,0,0,1,0,90,10,0,0,0,0,11,0,2,False,0
0,0,0,1,0,90,4,0,0,0,0,12,0,2,True,0
0,0,0,1,0,78,8,0,0,0,0,13,0,2,False,0
0,0,0,0,0,0,7,0,0,0,0,14,0,0,True,0
0,0,0,0,0,10,13,0,0,0,0,15,0,1,False,0
0,0,0,3,0,90,9,0,0,0,0,16,0,2,True,0
0,0,0,0,0,4,16,0,0,0,0,17,0,1,True,0
0,0,0,0,0,5,3,0,0,0,0,18,0,1,False,0
0,0,1,0,0,81,11,0,0,0,0,19,0,3,False,0
0,0,1,0,0,79,8,0,0,0,0,20,0,3,True,0
0,0,0,0,0,0,18,0,0,0,0,21,0,0,False,0
0,0,0,3,0,90,20,0,0,0,0,22,0,2,True,0
0,0,0,1,0,90,19,0,0,0,0,23,0,2,True,0
0,0,0,1,0,78,17,0,0,0,0,24,0,2,False,0
0,0,1,0,0,90,6,0,0,0,0,25,0,3,True,0
0,0,0,0,0,12,5,0,0,0,0,26,0,1,False,0
0,0,0,2,0,90,14,0,0,0,0,27,0,2,False,0
0,0,0,1,0,23,11,0,0,0,0,29,0,1,True,0
0,0,1,0,0,90,16,0,0,0,0,30,0,3,False,0
1,2,0,4,0,90,7,0,0,0,0,31,0,7,False,0
0,0,0,0,0,22,3,0,0,0,0,32,0,1,True,0
0,0,0,1,0,23,1,0,0,0,0,33,0,1,True,0
0,0,0,0,0,0,2,0,0,0,0,34,0,0,False,0
0,0,0,0,0,0,15,0,0,0,0,34,0,0,True,0
0,0,0,1,0,18,10,0,0,0,0,35,0,1,True,0
0,0,0,2,0,56,4,0,0,0,0,36,0,1,False,0
0,0,0,0,0,0,13,0,0,0,0,37,0,0,True,0
0,0,0,0,0,0,9,0,0,0,0,38,0,0,False,0
0,0,0,0,0,0,8,0,0,0,0,1,0,0,True,0
0,0,0,0,0,45,11,0,0,0,0,2,0,1,False,0
0,0,0,0,0,18,13,0,0,0,0,3,0,1,True,0
0,2,0,0,1,28,19,0,0,0,0,4,0,8,False,0
0,0,0,0,0,24,4,0,0,0,0,5,0,1,True,0
0,0,0,0,0,15,14,0,0,0,0,6,0,1,False,0
0,0,0,0,0,37,16,0,0,0,0,7,0,0,True,1
0,0,0,0,0,3,7,0,0,0,0,8,0,1,False,0
0,0,0,0,0,18,18,0,0,0,0,9,0,1,True,0
0,0,0,1,0,60,3,0,0,0,0,10,0,2,False,0
0,0,0,0,0,6,17,0,0,0,0,11,0,1,True,0
0,0,0,1,0,15,1,0,0,0,0,12,0,1,False,0
0,0,0,1,0,45,10,0,0,0,0,13,0,1,True,0
0,0,0,1,0,72,5,0,0,0,0,14,0,2,False,0
0,0,0,0,0,0,6,0,0,0,0,15,0,0,True,0
0,0,0,1,0,59,15,0,0,0,0,16,0,1,False,0
0,0,0,0,0,0,2,0,0,0,0,17,0,0,True,0
0,0,0,1,0,62,12,0,0,0,0,18,0,2,True,0
0,0,0,0,0,45,9,0,0,0,0,19,0,1,False,0
0,0,0,1,0,58,17,0,0,0,0,20,0,1,False,0
0,0,0,1,0,6,7,0,0,0,0,21,0,1,True,0
0,0,0,1,0,45,13,0,0,0,0,22,0,1,False,0
0,0,0,0,0,0,11,0,0,0,0,23,0,0,True,0
0,0,0,0,0,0,19,0,0,0,0,24,0,0,True,0
0,0,0,0,0,1,8,0,0,0,0,25,0,1,False,0
1,0,0,0,0,9,15,0,0,0,0,26,0,4,True,0
0,0,0,0,0,13,2,0,0,0,0,27,0,1,False,0
0,0,0,0,0,0,10,0,0,0,0,28,0,0,False,0
0,0,1,0,0,74,5,0,0,0,0,29,0,3,True,0
0,0,0,1,0,1,6,0,0,0,0,30,0,1,False,0
0,0,0,1,0,71,4,0,0,0,0,32,0,2,False,0
0,0,0,0,0,0,14,0,0,0,0,32,0,0,True,0
0,0,0,1,0,30,16,0,0,0,0,34,0,1,False,0
0,0,0,0,0,6,3,0,0,0,0,35,0,1,True,0
0,0,0,0,0,8,1,0,0,0,0,35,0,1,True,0
0,0,0,0,0,0,18,0,0,0,0,36,0,0,False,0
0,0,0,0,0,0,9,0,0,0,0,37,0,0,True,0
0,0,0,1,0,10,12,0,0,0,0,38,0,1,False,0
0,0,0,0,0,0,9,0,0,0,0,1,0,0,False,0
0,0,0,0,0,45,12,0,0,0,0,2,0,1,True,0
0,0,0,0,0,14,5,0,0,0,0,3,0,1,True,0
0,0,0,3,0,90,8,0,0,0,0,4,0,2,False,0
