assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,10,0,1.0,3,0,1.4,13.4,90,17,0,0,0,0,0,0.0,1,45,False,0,2
0,3,34,0,70.6,2,0,10.9,36.8,90,3,0,0,0,0,0,2.0,4,45,True,0,2
0,0,3,0,0.3,0,0,0.0,0.0,4,8,0,0,0,0,0,0.0,1,45,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,45,False,0,2
0,0,3,0,1.8,0,0,1.0,7.8,24,19,0,0,0,0,0,0.0,1,45,True,0,2
0,0,3,0,14.5,2,0,1.8,3.0,22,1,0,0,0,0,0,0.0,0,44,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,44,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,43,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,43,False,0,2
0,0,6,0,0.1,2,0,1.0,9.6,21,10,0,0,0,0,0,0.0,0,42,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,42,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,42,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,42,False,0,2
1,2,28,0,34.9,2,0,8.2,40.6,90,6,0,0,0,0,0,6.0,6,42,False,0,2
0,0,15,0,30.8,4,0,7.1,21.8,90,9,0,0,0,0,0,18.0,0,42,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,42,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,42,True,0,2
0,0,22,1,17.1,0,0,4.9,12.2,90,14,0,0,0,0,0,20.0,6,42,True,0,2
0,0,12,0,17.3,3,0,2.7,9.2,90,18,0,0,0,0,0,0.0,1,42,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,42,False,0,2
0,0,18,0,30.5,6,0,4.6,15.8,90,11,0,0,0,0,0,0.0,-1,42,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,42,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,42,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,42,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,42,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,42,False,0,2
0,0,4,0,0.7,2,0,0.5,4.2,62,9,0,0,0,0,0,0.0,1,42,False,0,2
0,0,3,0,0.5,0,0,0.5,4.6,14,15,0,0,0,0,0,0.0,1,41,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,41,True,0,2
0,1,16,0,5.4,0,1,5.8,35.6,13,13,0,0,0,0,0,17.0,8,41,False,0,2
0,0,3,0,1.6,1,0,0.3,1.8,30,20,0,0,0,0,0,0.0,1,41,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,41,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,41,True,0,2
0,1,28,1,40.3,0,0,6.2,17.4,90,7,0,0,0,0,0,4.0,7,41,True,0,2
