assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
1,0,12,0,17.5,3,0,3.4,16.6,58,9,0,0,0,0,0,0.0,3,60,True,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,60,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,59,False,0,3
0,0,5,0,11.7,0,0,1.6,3.8,16,13,0,0,0,0,0,0.0,1,58,True,0,3
2,2,40,1,48.4,0,0,19.4,51.0,76,7,0,0,0,0,0,95.0,11,58,False,0,3
0,0,11,1,20.4,0,0,2.8,5.6,68,4,0,0,0,0,0,2.0,3,58,True,0,3
0,0,12,1,19.8,0,0,3.8,2.8,70,3,0,0,0,0,0,15.0,3,58,False,0,3
0,0,15,0,16.4,2,0,5.2,8.4,67,16,0,0,0,0,0,27.0,2,58,True,0,3
0,0,8,1,37.3,0,0,5.2,5.0,66,12,0,0,0,0,0,10.0,3,58,True,0,3
0,0,10,0,9.4,1,0,1.7,0.0,68,15,0,0,0,0,0,8.0,2,58,False,0,3
0,0,8,0,13.3,1,0,3.8,7.4,69,17,0,0,0,0,0,17.0,2,58,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,58,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,58,True,0,3
0,0,3,0,0.8,0,0,0.2,1.4,3,20,0,0,0,0,0,0.0,1,58,False,0,3
0,0,23,0,5.7,0,1,5.9,36.4,22,14,0,0,0,0,0,17.0,6,58,True,0,3
0,0,0,0,2.8,1,0,2.7,2.2,20,6,0,0,0,0,0,22.0,1,58,False,0,3
0,0,12,0,6.4,1,0,1.8,7.6,64,10,0,0,0,0,0,4.0,2,58,False,0,3
0,0,15,1,44.2,0,0,11.0,13.0,70,19,0,0,0,0,0,53.0,3,58,True,0,3
0,3,37,1,62.2,0,1,19.6,55.6,76,5,0,0,0,0,0,78.0,11,58,True,0,3
0,0,7,0,19.2,3,0,3.3,1.4,62,2,0,0,0,0,0,12.0,2,58,False,0,3
2,1,33,1,24.3,0,0,9.3,6.6,90,16,0,0,0,0,0,62.0,10,58,False,0,3
0,0,14,1,37.2,0,0,8.6,11.2,68,3,0,0,0,0,0,38.0,3,59,True,0,3
0,2,32,0,21.6,2,1,11.0,44.4,90,18,0,0,0,0,0,44.0,9,59,True,0,3
0,0,13,0,8.4,3,0,2.5,8.4,90,4,0,0,0,0,0,8.0,2,59,False,0,3
0,0,11,1,7.8,0,0,1.9,1.4,81,7,0,0,0,0,0,10.0,3,59,True,0,3
0,0,15,0,16.3,3,0,3.1,13.0,90,9,0,0,0,0,0,2.0,2,58,False,0,3
0,0,3,0,2.0,0,0,0.5,0.6,13,19,0,0,0,0,0,2.0,1,57,False,0,3
0,0,6,0,0.5,0,0,1.2,7.4,14,10,0,0,0,0,0,4.0,1,56,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,56,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,55,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,54,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,54,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,53,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,53,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,53,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,53,False,0,3
0,0,5,0,13.3,0,0,4.8,9.6,22,15,0,0,0,0,0,25.0,1,53,True,0,3
0,0,2,0,0.9,0,0,4.4,5.6,23,6,0,0,0,0,0,37.0,1,53,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,55,True,0,3
0,0,5,0,3.2,0,0,0.7,4.2,11,15,0,0,0,0,0,0.0,1,54,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,53,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,52,True,0,3
0,0,15,1,41.8,0,0,4.8,6.6,79,5,0,0,0,0,0,0.0,3,52,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,51,True,0,3
0,1,34,1,31.3,0,1,13.7,50.2,70,3,0,0,0,0,0,55.0,9,51,True,0,3
0,0,13,0,35.1,2,0,7.6,13.4,90,18,0,0,0,0,0,27.0,2,51,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,51,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,51,True,0,3
0,0,9,0,3.8,3,0,1.8,4.4,77,11,0,0,0,0,0,10.0,2,51,False,0,3
0,0,4,0,14.3,0,0,3.6,2.2,6,17,0,0,0,0,0,19.0,1,51,True,0,3
0,0,15,1,18.8,0,0,4.8,7.2,66,4,0,0,0,0,0,22.0,3,51,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,51,True,0,3
0,0,21,0,40.7,1,0,15.7,15.6,75,12,0,0,0,0,0,101.0,2,51,True,0,3
