assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,23,0,6.5,1,1,6.5,39.4,32,9,0,0,0,0,0,19.0,6,60,True,0,3
0,0,11,1,15.0,0,0,5.1,8.8,77,8,0,0,0,0,0,27.0,3,60,False,0,3
0,0,12,0,17.2,1,0,2.6,4.0,69,18,0,0,0,0,0,5.0,2,60,False,0,3
0,0,5,0,7.1,1,0,4.0,4.4,61,13,0,0,0,0,0,28.0,2,60,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,60,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,60,True,0,3
0,0,3,0,2.9,0,0,2.9,1.6,20,3,0,0,0,0,0,24.0,1,59,False,0,3
0,0,11,0,20.5,0,0,2.9,6.4,9,16,0,0,0,0,0,2.0,1,59,True,0,3
0,0,10,0,4.8,0,0,1.1,4.6,17,12,0,0,0,0,0,2.0,1,58,True,0,3
1,0,25,0,33.5,1,0,11.0,27.2,76,15,0,0,0,0,0,49.0,5,58,False,0,3
0,0,1,0,10.3,0,0,1.4,2.0,20,17,0,0,0,0,0,2.0,1,58,True,0,3
1,0,18,0,14.5,0,0,3.6,21.4,8,11,0,0,0,0,0,0.0,4,58,False,0,3
0,0,7,0,15.9,1,0,5.6,3.8,74,2,0,0,0,0,0,36.0,2,58,True,0,3
1,2,50,0,44.9,1,1,17.4,68.6,90,20,0,0,0,0,0,60.0,12,58,False,0,3
1,0,22,0,31.0,1,0,7.4,22.0,68,14,0,0,0,0,0,21.0,5,58,True,0,3
0,0,7,0,20.3,1,0,2.9,8.4,70,6,0,0,0,0,0,0.0,2,58,False,0,3
0,0,2,0,0.3,1,0,0.0,0.0,13,10,0,0,0,0,0,0.0,1,58,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,58,True,0,3
0,0,7,0,10.9,0,0,4.2,8.4,14,5,0,0,0,0,0,23.0,1,58,True,0,3
0,0,14,0,45.8,1,0,6.5,15.6,63,2,0,0,0,0,0,4.0,2,58,False,0,3
0,0,4,0,11.2,0,0,2.3,3.8,31,16,0,0,0,0,0,8.0,1,58,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,58,True,0,3
0,0,13,1,15.8,0,0,5.2,11.8,71,18,0,0,0,0,0,24.0,3,58,True,0,3
0,0,24,0,26.4,3,0,5.7,30.4,90,4,0,0,0,0,0,0.0,2,58,False,0,3
0,0,16,1,15.8,0,0,2.7,7.8,81,7,0,0,0,0,0,3.0,3,58,True,0,3
0,0,14,0,28.9,3,0,4.6,16.8,90,9,0,0,0,0,0,0.0,2,58,False,0,3
0,0,16,0,21.1,3,0,3.7,13.6,90,19,0,0,0,0,0,2.0,2,58,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,58,True,0,3
1,0,15,0,13.5,0,0,3.4,20.6,10,20,0,0,0,0,0,0.0,4,58,True,0,3
0,0,5,0,12.8,0,0,1.7,2.8,22,5,0,0,0,0,0,1.0,1,58,False,0,3
0,0,13,0,16.3,1,0,7.9,19.4,90,12,0,0,0,0,0,43.0,1,58,False,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,58,True,0,3
0,0,10,0,9.5,2,0,1.4,4.0,90,17,0,0,0,0,0,0.0,2,58,False,0,3
2,1,28,1,30.8,0,0,8.8,46.4,83,11,0,0,0,0,0,11.0,10,58,True,0,3
0,0,7,0,16.4,0,0,5.0,11.4,35,13,0,0,0,0,0,22.0,1,58,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,58,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,58,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,58,True,0,3
0,0,26,0,29.3,3,0,10.9,35.8,90,9,0,0,0,0,0,44.0,2,60,True,0,3
0,0,27,0,46.6,1,0,10.4,38.2,90,15,0,0,0,0,0,19.0,2,60,False,0,3
0,0,13,0,2.3,3,0,1.5,6.2,61,10,0,0,0,0,0,6.0,2,60,False,0,3
0,0,5,0,0.4,4,0,0.4,3.8,45,11,0,0,0,0,0,0.0,1,60,False,0,3
0,0,3,0,1.6,0,0,0.5,1.8,11,4,0,0,0,0,0,2.0,1,60,True,0,3
0,0,2,0,22.0,0,0,2.9,1.0,11,9,0,0,0,0,0,6.0,1,59,False,0,3
0,0,-1,0,0.3,0,0,0.2,0.0,6,13,0,0,0,0,0,4.0,1,58,False,0,3
0,0,7,0,32.6,0,0,4.0,7.0,12,12,0,0,0,0,0,0.0,1,58,True,0,3
0,0,8,0,16.8,2,0,4.9,10.6,59,17,0,0,0,0,0,22.0,1,57,False,0,3
0,0,7,0,2.8,0,0,1.0,5.6,24,8,0,0,0,0,0,2.0,1,57,True,0,3
0,0,24,0,22.6,1,1,13.5,42.8,86,20,0,0,0,0,0,70.0,7,57,False,0,3
0,0,4,0,0.7,0,0,0.5,2.2,16,14,0,0,0,0,0,2.0,1,57,True,0,3
1,2,26,0,16.3,1,0,4.6,29.8,88,5,0,0,0,0,0,0.0,7,57,True,0,3
0,0,5,1,2.8,0,0,3.2,8.2,66,15,0,0,0,0,0,21.0,2,57,False,1,3
0,0,3,0,0.5,0,0,0.4,1.2,10,3,0,0,0,0,0,2.0,1,57,False,0,3
0,0,11,0,21.3,1,0,3.0,2.4,77,7,0,0,0,0,0,6.0,2,57,True,0,3
0,0,2,0,1.3,0,0,3.0,5.8,14,19,0,0,0,0,0,23.0,1,57,True,0,3
1,0,28,1,65.3,0,0,13.3,42.4,90,2,0,0,0,0,0,25.0,6,56,False,0,3
0,0,2,0,0.6,0,0,0.2,1.2,6,1,0,0,0,0,0,0.0,1,56,False,0,3
0,0,28,1,4.3,0,1,8.7,36.6,90,16,0,0,0,0,0,46.0,8,56,True,0,3
0,0,7,0,11.0,0,0,1.9,8.4,18,9,0,0,0,0,0,0.0,1,56,True,0,3
0,0,16,0,65.8,1,0,14.8,20.6,90,4,0,0,0,0,0,62.0,2,56,False,0,3
1,2,44,0,43.1,3,1,14.4,70.6,90,11,0,0,0,0,0,30.0,12,56,True,0,3
0,0,12,0,21.8,1,0,5.2,12.8,67,16,0,0,0,0,0,17.0,2,57,False,0,3
0,0,2,0,0.0,0,0,0.0,0.0,7,8,0,0,0,0,0,0.0,1,57,False,0,3
0,0,4,0,14.5,2,0,2.5,2.0,25,17,0,0,0,0,0,8.0,1,57,True,0,3
0,0,4,0,2.2,0,0,1.5,5.6,59,14,0,0,0,0,0,7.0,1,57,False,0,3
1,1,33,0,53.8,1,0,12.0,43.8,90,20,0,0,0,0,0,22.0,6,56,True,0,3
1,0,23,1,16.4,0,0,4.2,25.8,78,13,0,0,0,0,0,0.0,6,56,True,0,3
0,0,5,0,25.2,2,0,5.6,6.4,61,12,0,0,0,0,0,24.0,1,56,False,1,3
0,0,3,0,0.2,0,0,1.4,5.2,19,18,0,0,0,0,0,9.0,1,56,True,0,3
0,0,3,0,16.3,0,0,2.7,10.6,26,6,0,0,0,0,0,0.0,1,56,False,0,3
0,0,2,0,0.4,0,0,0.0,0.0,22,7,0,0,0,0,0,1.0,1,56,False,0,3
1,0,18,1,27.9,0,0,7.1,28.8,90,2,0,0,0,0,0,14.0,5,56,True,1,3
1,0,17,0,36.1,2,0,6.1,24.8,24,19,0,0,0,0,0,0.0,4,56,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,56,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,56,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,55,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,65,True,0,3
0,0,14,0,13.2,1,0,3.4,8.8,88,16,0,0,0,0,0,12.0,2,65,False,0,3
0,0,3,0,0.1,1,0,0.2,2.2,13,1,0,0,0,0,0,0.0,1,64,True,0,3
0,0,5,0,1.3,0,0,1.7,8.2,19,5,0,0,0,0,0,7.0,1,64,False,0,3
0,0,15,0,20.3,1,0,5.7,13.8,74,13,0,0,0,0,0,23.0,2,63,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,63,False,0,3
0,0,3,0,0.0,0,0,0.1,1.0,1,15,0,0,0,0,0,0.0,1,63,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,63,True,0,3
0,0,2,0,2.6,0,0,1.1,0.0,30,12,0,0,0,0,0,9.0,1,62,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,62,True,0,3
0,0,2,0,14.9,0,0,9.3,6.0,25,2,0,0,0,0,0,72.0,1,62,False,0,3
0,0,3,0,0.3,0,0,0.2,2.0,11,11,0,0,0,0,0,0.0,1,62,True,0,3
0,0,2,1,2.2,0,0,1.7,2.6,63,7,0,0,0,0,0,12.0,3,62,False,0,3
0,0,7,1,13.8,0,0,7.5,14.8,77,4,0,0,0,0,0,46.0,3,62,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,62,True,0,3
0,0,26,1,8.9,0,1,8.0,34.0,86,3,0,0,0,0,0,37.0,8,62,False,0,3
0,0,1,0,0.8,0,0,0.1,0.6,20,18,0,0,0,0,0,0.0,1,62,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,62,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,62,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,62,True,0,3
0,0,4,1,15.2,0,0,1.9,0.0,60,17,0,0,0,0,0,5.0,2,62,False,1,3
0,0,9,1,6.6,0,0,3.8,16.8,65,12,0,0,0,0,0,15.0,3,62,True,0,3
0,0,7,0,2.3,1,0,0.9,6.2,69,20,0,0,0,0,0,0.0,2,62,False,0,3
0,2,33,1,15.4,0,1,7.5,41.8,84,19,0,0,0,0,0,18.0,10,62,False,0,3
0,0,25,1,13.6,0,1,7.0,40.0,72,16,0,0,0,0,0,16.0,8,62,True,0,3
0,0,10,0,28.1,0,0,4.4,8.6,59,14,0,0,0,0,0,7.0,1,62,False,0,3
0,0,7,0,30.6,0,0,4.3,9.8,33,19,0,0,0,0,0,3.0,1,62,True,0,3
0,0,8,0,25.6,2,0,4.1,5.2,64,18,0,0,0,0,0,10.0,2,62,False,0,3
0,0,9,0,19.4,1,0,4.3,6.8,83,3,0,0,0,0,0,17.0,2,62,True,0,3
0,0,4,0,5.1,0,0,1.3,5.6,45,8,0,0,0,0,0,2.0,1,62,False,0,3
0,0,7,0,3.7,0,0,1.1,1.6,26,7,0,0,0,0,0,6.0,1,62,True,0,3
0,0,-4,0,1.3,1,0,1.9,0.0,45,11,1,0,0,0,0,22.0,-1,62,False,0,3
0,0,7,1,3.1,0,0,0.3,0.2,60,2,0,0,0,0,0,0.0,3,61,True,0,3
0,0,9,0,15.8,1,0,4.6,0.4,60,4,0,0,0,0,0,30.0,2,61,False,0,3
0,0,4,0,10.9,0,0,1.4,2.6,9,5,0,0,0,0,0,0.0,1,61,True,0,3
0,0,9,0,4.0,2,0,3.1,7.6,60,1,0,0,0,0,0,19.0,2,61,False,0,3
0,0,23,0,0.1,0,1,5.2,35.0,11,6,0,0,0,0,0,17.0,6,61,True,0,3
1,0,14,0,19.0,1,0,3.8,17.8,63,13,0,0,0,0,0,1.0,5,61,False,0,3
