assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,55,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,55,True,0,3
0,0,3,0,0.8,0,0,0.9,0.6,10,20,0,0,0,0,0,8.0,1,55,False,0,3
0,0,5,0,0.5,0,0,0.3,2.2,1,1,0,0,0,0,0,0.0,1,55,True,0,3
0,0,4,0,0.4,0,0,1.4,1.2,57,9,0,0,0,0,0,12.0,1,55,False,0,3
0,0,8,0,47.3,3,0,8.1,9.6,80,12,0,0,0,0,0,24.0,2,55,True,0,3
0,0,3,0,0.6,0,0,0.5,4.2,11,14,0,0,0,0,0,0.0,1,55,False,0,3
0,0,5,0,11.3,2,0,1.9,7.2,70,10,0,0,0,0,0,0.0,2,55,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,55,True,0,3
0,0,5,0,0.3,0,0,0.1,1.0,14,16,0,0,0,0,0,0.0,1,55,False,0,3
0,0,2,0,1.6,0,0,0.3,1.4,32,13,0,0,0,0,0,0.0,1,54,True,0,3
0,0,0,0,11.0,1,0,3.4,1.0,73,5,0,0,0,0,0,22.0,2,54,False,0,3
