assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,15.3,4,0,3.5,5.4,90,9,0,0,0,0,0,14.0,2,110,True,0,3
0,0,9,1,42.3,0,0,8.8,9.2,90,8,0,0,0,0,0,36.0,3,110,False,0,3
2,3,46,0,28.1,1,1,14.8,58.6,90,18,0,0,0,0,0,61.0,16,109,False,0,3
0,0,3,0,21.2,0,0,5.2,2.4,29,13,0,0,0,0,0,28.0,1,110,True,0,3
0,0,34,0,48.0,1,2,23.1,77.2,90,7,0,1,0,0,0,106.0,10,110,False,0,3
1,3,43,1,31.3,0,1,13.8,53.8,78,4,0,0,0,0,0,53.0,14,110,True,0,3
0,0,22,1,107.7,0,0,20.6,33.0,90,3,0,0,0,0,0,65.0,3,112,False,0,3
1,0,16,0,28.2,2,0,7.5,23.6,81,16,0,0,0,0,0,23.0,5,113,True,0,3
0,0,-2,1,10.5,0,0,6.2,11.0,90,12,0,0,0,0,0,40.0,3,113,True,0,3
0,2,40,0,25.1,1,2,15.4,71.4,90,15,0,0,0,0,0,57.0,13,113,False,1,3
0,0,9,0,55.8,1,0,8.8,11.6,90,17,0,0,0,0,0,21.0,2,114,True,0,3
0,0,4,0,14.4,1,0,3.7,6.4,90,11,0,0,0,0,0,16.0,1,113,False,1,3
0,3,47,0,66.9,1,2,24.1,80.0,90,2,0,0,0,0,0,94.0,14,113,True,1,3
1,3,76,0,58.0,1,3,25.3,129.6,90,20,0,0,0,0,0,65.0,23,114,False,0,3
1,0,23,0,59.0,1,0,11.6,29.4,77,14,0,0,0,0,0,28.0,5,117,True,0,3
0,0,20,0,46.3,2,1,12.0,39.6,90,6,0,0,0,0,0,34.0,7,117,False,0,3
1,0,18,0,12.5,2,0,3.6,21.4,90,10,0,0,0,0,0,2.0,5,118,False,0,3
0,0,5,1,38.3,0,0,19.3,20.6,90,19,0,0,0,0,0,134.0,3,119,True,0,3
1,0,17,1,77.1,0,0,22.0,41.4,90,5,0,0,0,0,0,101.0,6,119,True,0,3
0,0,31,0,47.8,3,1,15.2,44.4,90,2,0,0,0,0,0,60.0,7,119,False,0,3
0,3,34,1,34.2,0,1,15.9,50.4,78,16,0,0,0,0,0,74.0,11,119,False,0,3
0,1,29,0,51.4,1,1,16.8,51.6,90,3,0,0,0,0,0,65.0,8,119,True,0,3
1,0,10,0,18.0,2,0,8.3,23.4,90,18,0,0,0,0,0,42.0,4,119,True,1,3
0,0,11,0,6.2,3,0,2.3,12.4,90,4,0,0,0,0,0,4.0,2,119,False,0,3
0,3,41,1,36.6,0,2,25.2,81.2,90,7,0,0,0,0,0,134.0,15,118,True,1,3
1,0,13,0,16.3,1,0,5.4,17.4,45,9,0,0,0,0,0,20.0,4,116,False,0,3
0,2,32,0,25.5,3,1,10.3,44.0,77,19,0,0,0,0,0,33.0,9,115,False,0,3
0,0,8,0,25.1,2,0,4.3,14.8,90,10,0,0,0,0,0,3.0,2,116,True,0,3
0,0,10,1,42.3,0,0,8.1,5.2,90,20,0,0,0,0,0,33.0,3,117,True,0,3
0,0,5,0,18.3,3,0,10.1,11.6,90,5,0,0,0,0,0,71.0,2,117,False,0,3
0,0,20,0,27.3,1,1,10.8,42.8,89,12,0,0,0,0,0,38.0,7,116,False,0,3
0,0,-2,1,12.5,0,0,2.6,0.0,90,8,0,0,0,0,0,16.0,2,115,True,1,3
0,0,12,0,32.1,2,0,10.4,19.2,90,17,0,0,0,0,0,53.0,2,115,False,0,3
0,0,9,1,26.8,0,0,6.8,5.4,90,11,0,0,0,0,0,36.0,3,115,True,0,3
0,3,35,1,4.7,0,1,9.2,44.4,90,13,0,0,0,0,0,43.0,11,115,False,0,3
1,2,41,0,23.8,1,1,10.6,57.4,76,14,0,0,0,0,0,25.0,12,116,False,0,3
0,2,35,1,8.3,0,2,19.5,60.6,90,15,0,0,0,0,0,126.0,15,116,True,0,3
0,2,30,0,35.1,1,1,12.3,46.0,67,6,0,0,0,0,0,42.0,9,117,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,120,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,120,False,0,3
0,0,10,0,13.8,3,0,3.3,6.8,61,10,0,0,0,0,0,12.0,2,119,False,0,3
0,0,6,0,14.0,0,0,4.7,5.6,15,2,0,0,0,0,0,27.0,1,119,True,0,3
0,0,3,0,13.9,0,0,1.9,2.8,24,5,0,0,0,0,0,2.0,1,119,False,0,3
1,0,21,1,39.4,0,0,7.2,12.2,82,19,0,0,0,0,0,20.0,5,119,True,1,3
1,0,18,1,73.7,0,0,17.8,36.6,90,3,0,0,0,0,0,68.0,6,119,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,119,False,0,3
1,2,38,0,56.1,2,1,23.5,70.0,90,7,0,0,0,0,0,109.0,12,118,False,0,3
0,0,9,0,49.7,1,0,9.1,12.6,90,16,0,0,0,0,0,29.0,2,118,True,0,3
0,0,-4,0,26.7,3,0,3.5,5.0,90,11,0,0,0,0,0,3.0,1,118,False,1,3
0,0,13,1,40.3,0,1,20.4,54.8,90,17,0,0,0,0,0,109.0,7,118,True,1,3
0,3,33,1,52.6,0,1,13.1,48.6,90,4,0,0,0,0,0,30.0,11,118,False,0,3
0,0,22,1,16.3,0,1,9.5,34.0,72,8,0,0,0,0,0,45.0,8,118,True,0,3
0,0,4,0,66.8,3,0,16.9,19.8,90,12,0,0,0,0,0,82.0,1,118,True,1,3
1,0,15,0,46.6,1,0,9.4,30.8,90,14,0,0,0,0,0,17.0,5,118,False,0,3
0,0,11,1,55.9,0,0,18.0,21.6,81,20,0,0,0,0,0,102.0,3,118,False,0,3
0,0,4,1,30.2,0,0,8.3,13.4,88,13,0,0,0,0,0,39.0,3,118,True,0,3
0,0,24,0,35.8,3,1,13.3,44.2,88,10,0,0,0,0,0,53.0,7,118,True,0,3
0,3,54,0,30.7,2,2,18.0,86.6,90,6,0,0,0,0,0,63.0,15,118,False,0,3
1,0,18,0,43.2,1,0,9.6,9.0,90,19,0,0,0,0,0,44.0,5,118,False,0,3
0,0,4,0,30.0,2,0,9.9,7.4,90,5,0,0,0,0,0,62.0,2,118,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,118,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,117,True,0,3
0,0,5,0,5.3,2,0,1.8,8.6,90,17,0,0,0,0,0,4.0,2,117,False,0,3
0,0,23,1,51.2,0,1,21.4,66.0,90,8,0,1,0,0,0,97.0,5,118,True,1,3
0,0,9,0,27.3,1,0,11.3,14.0,90,13,0,0,0,0,0,72.0,2,118,False,0,3
0,0,12,0,20.3,1,0,6.0,13.2,80,5,0,0,0,0,0,26.0,2,118,True,0,3
1,0,14,0,35.1,2,0,8.6,13.8,90,6,0,0,0,0,0,37.0,5,117,False,0,3
0,0,17,0,29.6,1,0,5.0,16.4,90,10,0,0,0,0,0,4.0,2,116,True,0,3
1,3,39,1,27.8,0,1,10.8,58.4,74,16,0,0,0,0,0,22.0,14,115,True,0,3
2,2,33,0,47.8,2,0,9.3,44.8,81,11,0,0,0,0,0,0.0,10,115,False,0,3
0,0,10,0,45.7,1,0,7.5,17.0,90,19,0,0,0,0,0,12.0,2,115,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,115,False,0,3
1,0,21,0,36.3,1,0,9.4,15.2,90,1,0,0,0,0,0,42.0,5,115,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,115,False,0,3
0,0,19,1,83.4,0,0,13.8,25.6,90,20,0,0,0,0,0,29.0,3,115,False,0,3
0,0,10,1,9.7,0,0,3.8,8.4,90,18,0,0,0,0,0,20.0,3,114,True,0,3
1,0,22,0,45.9,1,0,8.2,13.8,90,11,0,0,0,0,0,22.0,5,105,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,105,False,0,3
0,0,0,0,4.2,1,0,2.7,2.2,35,17,0,0,0,0,0,21.0,1,103,True,0,3
1,0,22,1,50.2,0,0,12.6,31.0,60,4,0,0,0,0,0,45.0,5,102,False,1,3
