assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,2,0,1.2,0,0,1.8,4.2,23,1,0,0,0,0,0,13.0,1,55,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,55,False,0,3
0,0,3,0,1.0,0,0,0.2,0.0,16,17,0,0,0,0,0,2.0,1,55,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,54,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,54,False,0,3
0,0,6,0,10.2,0,0,3.0,8.4,17,4,0,0,0,0,0,11.0,1,54,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,54,False,0,3
0,0,9,1,22.0,0,0,4.3,6.2,82,12,0,0,0,0,0,15.0,3,54,True,0,3
0,0,9,0,39.4,1,0,5.3,11.0,84,6,0,0,0,0,0,3.0,2,54,False,0,3
0,0,8,0,15.7,1,0,7.2,10.2,89,20,0,0,0,0,0,46.0,2,54,True,0,3
0,0,7,0,15.2,1,0,8.2,17.4,76,19,0,0,0,0,0,49.0,2,54,False,0,3
1,0,15,0,31.2,1,0,7.7,16.0,89,3,0,0,0,0,0,30.0,5,54,True,0,3
0,0,4,0,2.0,2,0,4.3,12.0,90,2,0,0,0,0,0,29.0,2,54,False,0,3
0,0,11,0,1.8,1,0,1.9,10.4,79,11,0,0,0,0,0,7.0,2,54,True,0,3
0,0,20,1,11.5,0,1,6.5,34.6,80,15,0,0,0,0,0,19.0,8,54,False,0,3
0,0,13,0,13.3,1,0,4.8,17.6,90,16,0,0,0,0,0,17.0,2,54,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,54,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,54,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,54,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,54,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,54,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,54,False,0,3
1,0,16,1,25.2,0,0,5.0,19.6,90,6,0,0,0,0,0,5.0,6,54,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,54,False,0,3
0,0,12,1,12.8,0,0,9.7,23.6,78,14,0,0,0,0,0,61.0,3,54,True,0,3
0,0,13,0,33.1,4,0,6.3,10.4,90,1,0,0,0,0,0,19.0,2,54,False,0,3
0,0,13,0,30.9,1,0,7.2,15.6,90,7,0,0,0,0,0,25.0,2,54,False,0,3
0,0,3,0,0.5,0,0,1.1,3.4,12,5,0,0,0,0,0,7.0,1,54,True,0,3
0,2,33,1,25.3,0,1,10.9,48.8,90,16,0,0,0,0,0,35.0,10,54,False,0,3
0,2,33,1,16.3,0,1,8.2,41.0,78,15,0,0,0,0,0,25.0,10,54,True,0,3
0,0,15,0,12.5,1,0,5.0,12.0,90,2,0,0,0,0,0,25.0,2,54,True,0,3
3,3,42,1,33.4,0,0,10.5,54.6,61,3,0,0,0,0,0,17.0,15,54,False,0,3
0,0,6,0,12.1,2,0,3.3,10.6,68,19,0,0,0,0,0,10.0,2,55,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,55,False,0,3
0,0,7,0,15.7,2,0,5.2,13.6,90,18,0,0,0,0,0,23.0,2,54,False,0,3
0,0,13,0,38.5,3,0,10.6,24.2,90,17,0,0,0,0,0,43.0,2,54,True,0,3
0,0,7,1,1.8,0,0,1.6,8.6,73,4,0,0,0,0,0,6.0,3,53,False,0,3
0,0,1,0,0.8,1,0,0.0,0.0,45,10,0,0,0,0,0,0.0,1,52,True,0,3
