assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,16,0,11.4,3,0,2.8,12.6,73,4,0,0,0,0,0,4.0,1,55,True,0,2
0,0,10,0,0.3,1,0,3.3,32.4,90,17,0,0,0,0,0,0.0,2,55,False,0,2
0,0,3,0,0.5,0,0,0.2,1.0,1,7,0,0,0,0,0,0.0,1,55,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,55,False,0,2
0,0,6,0,0.0,0,0,0.9,9.0,1,1,0,0,0,0,0,0.0,1,55,True,0,2
0,0,30,1,0.8,0,0,2.4,23.2,90,15,0,0,0,0,0,0.0,6,55,False,0,2
0,0,12,0,0.1,1,0,2.2,18.2,90,11,0,0,0,0,0,4.0,2,55,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,55,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,55,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,55,False,0,2
0,1,29,1,0.3,0,0,2.6,20.0,90,12,0,0,0,0,0,6.0,7,55,True,0,2
0,0,28,1,0.6,0,0,1.5,14.6,90,19,0,0,0,0,0,0.0,6,54,False,0,2
0,0,20,0,0.4,1,0,3.5,30.8,90,10,0,0,0,0,0,4.0,2,54,False,0,2
0,0,25,1,0.3,0,0,1.0,9.6,90,16,0,0,0,0,0,0.0,6,54,True,0,2
0,0,12,0,4.5,1,0,3.0,11.4,79,13,0,0,0,0,0,14.0,2,55,True,0,2
0,0,21,0,2.3,1,0,4.7,27.0,90,20,0,0,0,0,0,18.0,2,55,False,0,2
0,0,27,1,2.3,0,0,2.6,23.6,79,8,0,0,0,0,0,0.0,6,55,False,0,2
0,2,27,1,0.8,0,0,1.6,15.4,90,14,0,0,0,0,0,0.0,8,56,True,0,2
0,0,25,1,0.6,0,0,1.2,7.0,90,7,0,0,0,0,0,4.0,6,56,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,57,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,57,True,0,2
0,0,18,0,0.3,2,0,2.0,19.8,90,1,0,0,0,0,0,0.0,1,56,False,0,2
