assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,17,0,32.8,1,0,10.2,23.2,90,19,0,0,0,0,0,46.0,2,65,True,0,3
0,0,11,0,44.3,1,0,7.3,18.0,90,17,0,0,0,0,0,11.0,1,65,False,1,3
0,0,9,0,26.4,1,0,7.0,14.6,90,2,0,0,0,0,0,29.0,2,65,True,0,3
0,0,15,0,21.6,1,0,6.4,19.8,76,12,0,0,0,0,0,23.0,2,64,False,0,3
1,3,42,1,38.3,0,1,12.0,53.4,84,14,0,0,0,0,0,28.0,14,64,True,0,3
0,0,3,0,11.3,2,0,2.0,0.0,90,15,0,0,0,0,0,11.0,2,63,False,0,3
0,0,7,0,8.0,1,0,4.1,5.4,90,6,0,0,0,0,0,28.0,1,63,False,1,3
0,0,11,0,45.0,1,0,8.0,16.2,90,20,0,0,0,0,0,19.0,2,63,True,0,3
0,0,11,0,41.6,2,0,7.6,11.0,71,8,0,0,0,0,0,23.0,2,63,False,0,3
0,0,2,0,1.2,1,0,0.3,1.6,25,9,0,0,0,0,0,0.0,1,62,True,0,3
1,1,29,0,35.2,3,0,6.8,16.0,90,3,0,0,0,0,0,17.0,6,61,False,0,3
0,0,8,0,1.3,1,0,0.5,3.6,45,10,0,0,0,0,0,0.0,1,61,True,0,3
0,0,-2,0,4.3,4,0,1.4,0.0,39,16,0,0,0,0,0,10.0,0,61,False,1,3
0,0,9,1,14.3,0,0,1.8,2.8,79,13,0,0,0,0,0,1.0,3,60,True,0,3
0,0,5,0,28.3,1,0,3.9,10.2,45,7,0,0,0,0,0,0.0,1,60,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,60,True,0,3
0,0,5,0,0.0,0,0,0.2,1.0,14,4,0,0,0,0,0,1.0,1,59,True,0,3
1,3,33,0,27.9,1,0,6.3,33.2,73,18,0,0,0,0,0,2.0,8,59,False,0,3
0,0,11,0,16.8,2,0,4.4,12.4,70,1,0,0,0,0,0,15.0,2,59,False,0,3
0,0,4,0,0.8,1,0,0.2,0.8,52,16,0,0,0,0,0,0.0,1,59,True,0,3
0,0,11,0,20.1,1,0,2.9,8.8,69,20,0,0,0,0,0,0.0,2,59,False,0,3
0,0,3,0,0.8,0,0,0.4,1.4,3,6,0,0,0,0,0,2.0,1,59,True,0,3
1,0,20,0,15.5,0,0,4.8,28.0,15,2,0,0,0,0,0,4.0,3,59,False,1,3
0,0,12,0,21.6,0,0,5.3,14.4,45,15,0,0,0,0,0,17.0,1,59,True,0,3
0,0,6,0,25.5,1,0,4.6,15.8,90,14,0,0,0,0,0,5.0,2,58,False,0,3
0,0,8,1,35.5,0,0,4.8,4.6,90,12,0,0,0,0,0,8.0,3,58,True,0,3
0,3,28,1,3.4,0,1,13.7,47.6,90,19,0,0,0,0,0,86.0,11,58,False,0,3
0,0,21,1,28.8,0,0,4.9,18.4,86,18,0,0,0,0,0,2.0,3,58,True,0,3
0,0,5,0,15.5,1,0,3.0,10.4,59,4,0,0,0,0,0,4.0,1,58,False,0,3
1,3,34,0,62.2,3,0,13.1,39.0,90,13,0,0,0,0,0,30.0,8,58,False,0,3
1,3,45,1,53.9,0,1,14.7,50.0,90,1,0,0,0,0,0,43.0,14,58,True,0,3
1,0,21,0,58.6,2,0,12.0,32.6,90,8,0,0,0,0,0,29.0,5,58,True,0,3
0,0,13,0,5.3,1,0,2.2,12.8,90,9,0,0,0,0,0,4.0,2,58,False,0,3
0,0,8,0,32.6,1,0,3.9,3.6,90,17,0,0,0,0,0,3.0,2,58,True,0,3
0,0,16,0,58.3,2,0,8.1,16.8,90,3,0,0,0,0,0,6.0,2,58,True,0,3
0,0,4,0,15.3,2,0,1.9,3.4,56,10,0,0,0,0,0,0.0,1,58,False,0,3
0,0,7,1,0.1,0,0,0.6,1.6,74,7,0,0,0,0,0,4.0,3,58,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,57,False,0,3
0,0,13,0,16.3,1,0,2.7,8.2,45,8,0,0,0,0,0,2.0,1,60,True,0,3
0,0,2,0,5.2,1,0,1.3,7.8,90,10,0,0,0,0,0,0.0,2,60,False,0,3
0,0,8,0,34.4,2,0,5.9,8.2,90,16,0,0,0,0,0,16.0,2,59,True,0,3
0,0,25,0,59.8,1,0,12.7,25.8,90,4,0,0,0,0,0,41.0,2,59,False,0,3
0,0,6,0,5.4,1,0,2.4,6.4,90,14,0,0,0,0,0,12.0,2,58,True,0,3
0,0,19,0,6.2,5,0,2.7,11.0,90,11,0,0,0,0,0,10.0,2,58,False,0,3
0,0,16,0,12.3,4,0,3.8,17.4,90,12,0,0,0,0,0,8.0,2,57,False,0,3
0,0,8,0,19.8,1,0,4.6,9.2,90,5,0,0,0,0,0,17.0,2,57,True,0,3
0,0,18,0,68.6,1,0,9.8,18.6,90,13,0,0,0,0,0,11.0,2,57,False,0,3
1,1,24,0,21.6,2,0,3.2,8.0,90,20,0,0,0,0,0,2.0,6,57,True,0,3
0,0,5,0,23.9,1,0,8.0,8.6,90,17,0,0,0,0,0,47.0,1,57,False,1,3
0,0,11,0,25.6,2,0,5.0,8.2,90,7,0,0,0,0,0,16.0,2,57,True,0,3
1,1,25,0,32.2,1,0,6.7,28.8,90,15,0,0,0,0,0,6.0,6,57,True,0,3
0,0,10,1,27.9,0,0,4.3,13.4,90,3,0,0,0,0,0,2.0,3,57,False,0,3
0,0,14,1,72.9,0,0,10.6,10.4,86,19,0,0,0,0,0,23.0,3,57,False,0,3
0,0,11,0,30.3,2,0,9.5,13.8,77,2,0,0,0,0,0,51.0,2,57,True,0,3
0,0,4,0,1.7,1,0,0.9,3.4,66,18,0,0,0,0,0,4.0,2,57,True,0,3
