assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,13,0,4.5,2,0,1.0,5.4,67,7,0,0,0,0,0,0.0,2,50,False,0,3
0,0,5,0,2.3,0,0,1.8,5.6,38,1,0,0,0,0,0,10.0,1,50,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,50,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,49,False,0,3
0,0,3,0,0.5,0,0,0.0,0.0,12,3,0,0,0,0,0,0.0,1,49,True,0,3
0,0,1,0,1.6,0,0,2.4,5.2,45,11,0,0,0,0,0,17.0,1,48,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,48,True,0,3
0,0,3,0,1.3,1,0,0.7,1.2,17,4,0,0,0,0,0,4.0,1,48,False,0,3
0,0,12,0,28.0,1,0,4.9,13.2,86,5,0,0,0,0,0,8.0,2,48,True,0,3
0,0,6,0,11.8,1,0,2.4,8.0,90,17,0,0,0,0,0,4.0,2,48,False,0,3
0,0,18,0,2.3,2,0,3.5,14.8,90,19,0,0,0,0,0,18.0,2,48,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,48,False,0,3
0,0,10,0,13.6,2,0,2.9,5.6,90,12,0,0,0,0,0,10.0,2,48,True,0,3
0,0,18,0,3.4,2,0,3.1,18.2,90,15,0,0,0,0,0,9.0,2,48,False,0,3
0,1,28,0,1.8,2,1,6.1,52.4,90,10,0,0,0,0,0,7.0,8,48,True,0,3
0,0,0,0,2.9,1,0,1.0,0.6,90,2,0,0,0,0,0,6.0,1,48,False,1,3
0,0,7,0,15.0,2,0,3.5,16.2,90,14,0,0,0,0,0,4.0,1,48,False,1,3
0,0,9,0,1.7,1,0,1.2,2.4,63,6,0,0,0,0,0,8.0,2,48,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,48,True,0,3
0,0,27,1,16.7,0,0,8.9,29.4,90,12,0,0,0,0,0,43.0,3,48,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,48,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,48,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,48,False,0,3
0,0,2,0,0.3,1,0,0.2,0.0,45,11,0,0,0,0,0,2.0,1,47,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,47,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,47,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,47,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,47,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,47,True,0,3
0,0,2,0,1.9,0,0,1.7,1.8,9,15,0,0,0,0,0,13.0,1,47,True,0,3
0,0,15,0,2.6,4,0,2.9,24.0,90,6,0,0,0,0,0,2.0,1,47,False,1,3
0,0,2,0,2.3,1,0,0.7,4.4,63,5,0,0,0,0,0,0.0,1,47,False,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,47,False,0,3
0,0,3,0,0.2,0,0,0.0,0.2,10,19,0,0,0,0,0,0.0,1,47,False,0,3
0,0,4,0,0.6,0,0,0.8,7.8,24,18,0,0,0,0,0,0.0,1,47,True,0,3
0,0,15,0,2.5,2,0,2.7,22.2,67,10,0,0,0,0,0,2.0,2,47,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,47,True,0,3
0,0,14,0,4.9,1,0,2.5,19.8,90,2,0,0,0,0,0,0.0,2,47,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,45,True,0,3
0,0,6,0,10.7,2,0,1.8,5.0,30,12,0,0,0,0,0,2.0,1,45,False,0,3
0,0,2,0,6.2,1,0,1.5,2.8,45,5,0,0,0,0,0,6.0,1,44,True,0,3
1,1,24,0,2.1,1,0,1.7,10.4,90,8,0,0,0,0,0,4.0,6,44,False,0,3
0,0,8,0,15.5,3,0,2.6,10.6,90,10,0,0,0,0,0,0.0,2,44,True,0,3
0,0,3,0,0.8,0,0,2.2,3.2,45,2,0,0,0,0,0,18.0,1,44,False,0,3
0,0,3,0,0.0,0,0,0.0,0.2,1,19,0,0,0,0,0,0.0,1,45,True,0,3
0,0,2,0,1.8,0,0,0.6,1.2,22,16,0,0,0,0,0,3.0,1,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,44,True,0,3
0,0,5,0,1.0,1,0,0.5,3.0,24,15,0,0,0,0,0,1.0,1,44,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,44,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,43,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,43,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,43,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,43,False,0,3
0,0,24,0,1.0,1,1,7.9,44.8,90,14,0,0,0,0,0,33.0,7,43,False,0,3
0,0,3,0,0.6,1,0,2.1,0.4,13,6,0,0,0,0,0,20.0,1,43,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,43,True,0,3
0,0,3,0,3.0,2,0,0.7,3.6,83,18,0,0,0,0,0,0.0,1,42,False,1,3
