assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,5,0,5.2,0,0,0.9,2.0,13,11,0,0,0,0,0,2.0,1,60,True,0,3
0,0,5,0,1.0,0,0,1.3,11.8,28,9,0,0,0,0,0,0.0,1,60,False,0,3
0,0,8,1,36.2,0,0,8.6,8.6,80,18,0,0,0,0,0,41.0,3,59,False,0,3
0,0,13,0,27.4,1,0,6.0,18.0,90,19,0,0,0,0,0,15.0,2,59,True,0,3
0,0,9,0,10.1,2,0,1.4,1.0,76,2,0,0,0,0,0,3.0,2,59,False,0,3
0,0,10,1,18.2,0,0,2.6,5.0,80,13,0,0,0,0,0,3.0,2,58,True,1,3
0,0,1,0,4.6,0,0,0.6,1.0,14,1,0,0,0,0,0,0.0,1,58,False,0,3
0,2,34,0,23.5,1,1,14.3,46.4,90,7,0,0,0,0,0,73.0,8,57,True,1,3
0,0,19,1,21.7,0,0,3.3,9.2,83,20,0,0,0,0,0,2.0,3,57,False,0,3
0,0,12,0,35.2,1,0,6.2,15.2,90,14,0,0,0,0,0,12.0,2,57,True,0,3
1,3,32,1,33.0,0,0,7.2,37.4,90,16,0,0,0,0,0,2.0,9,57,False,0,3
0,0,9,0,9.8,2,0,1.9,7.2,83,15,0,0,0,0,0,2.0,2,57,True,0,3
0,0,12,0,10.8,1,0,3.6,7.8,90,12,0,0,0,0,0,17.0,2,57,False,0,3
0,0,21,1,40.7,0,0,6.9,24.2,90,6,0,0,0,0,0,4.0,3,57,True,0,3
0,0,12,0,6.8,3,0,1.3,4.0,69,10,0,0,0,0,0,2.0,2,57,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,57,False,0,3
0,0,7,0,31.8,2,0,6.0,10.2,90,17,0,0,0,0,0,18.0,1,57,False,1,3
0,0,2,1,23.5,0,0,3.2,0.6,82,4,0,0,0,0,0,8.0,3,57,True,0,3
0,0,7,1,25.3,0,0,6.1,10.2,90,18,0,0,0,0,0,25.0,3,56,True,0,3
0,0,2,0,0.3,0,0,0.0,0.0,8,5,0,0,0,0,0,0.0,1,56,False,0,3
0,0,8,1,10.8,0,0,3.9,5.0,90,13,0,0,0,0,0,23.0,2,56,False,1,3
0,0,28,0,14.6,2,1,17.0,53.6,90,2,0,0,0,0,0,102.0,7,56,True,0,3
0,0,14,0,17.9,2,0,5.8,5.8,90,19,0,0,0,0,0,34.0,2,56,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,56,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,55,False,0,3
0,0,11,0,7.9,1,0,4.0,1.8,77,20,0,0,0,0,0,30.0,2,55,True,0,3
0,0,4,0,1.5,0,0,0.9,7.4,4,15,0,0,0,0,0,0.0,1,55,False,0,3
0,1,25,1,3.0,0,1,6.5,38.8,78,16,0,0,0,0,0,23.0,9,55,True,0,3
0,0,8,0,16.1,1,0,4.9,12.4,76,1,0,0,0,0,0,20.0,2,55,True,0,3
0,0,-5,0,12.2,2,0,1.0,0.0,79,7,0,0,0,1,0,1.0,-1,55,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,55,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,55,True,0,3
0,0,4,0,18.9,0,0,2.4,4.8,45,6,0,0,0,0,0,0.0,1,55,False,0,3
0,0,16,0,16.4,1,0,3.8,12.2,90,17,0,0,0,0,0,9.0,2,55,True,0,3
0,0,12,1,24.4,0,0,4.4,5.2,90,4,0,0,0,0,0,14.0,3,55,False,0,3
0,0,13,1,23.8,0,0,8.0,20.0,90,12,0,0,0,0,0,36.0,3,55,True,0,3
0,0,10,0,22.8,3,0,3.5,6.8,90,11,0,0,0,0,0,5.0,2,55,False,0,3
0,0,15,0,1.8,4,0,1.6,10.4,90,10,0,0,0,0,0,4.0,2,55,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,55,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,55,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,55,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,54,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,54,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,54,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,54,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,54,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,54,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,54,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,54,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,54,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,54,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,54,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,54,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,54,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,54,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,54,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,54,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,54,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,54,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,54,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,54,True,0,3
