assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,5.3,3,0,1.5,1.4,90,17,0,0,0,0,0,8.0,2,55,False,0,3
0,0,3,0,11.1,2,0,5.5,0.4,74,3,0,0,0,0,0,43.0,2,55,True,0,3
0,0,20,0,0.5,0,1,11.2,37.0,13,8,0,0,0,0,0,74.0,6,55,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,55,False,0,3
0,0,10,1,37.2,0,0,6.5,16.6,90,19,0,0,0,0,0,11.0,3,55,True,0,3
1,0,21,0,30.1,3,0,7.5,35.6,85,1,0,0,0,0,0,9.0,5,55,False,0,3
0,0,21,0,2.0,1,1,6.8,36.2,69,5,0,0,0,0,0,30.0,7,55,True,0,3
2,0,29,1,36.0,0,0,14.4,47.2,63,14,0,0,0,0,0,61.0,9,55,False,0,3
0,0,1,0,3.3,1,0,3.7,0.0,75,4,0,0,0,0,0,36.0,2,55,True,0,3
0,0,3,0,0.3,0,0,0.0,0.0,6,11,0,0,0,0,0,0.0,1,55,False,0,3
0,0,15,0,26.2,2,0,6.6,23.0,90,10,0,0,0,0,0,17.0,1,55,True,1,3
0,0,12,0,31.1,2,0,5.6,12.2,90,20,0,0,0,0,0,13.0,2,55,False,0,3
0,0,23,1,24.5,0,1,10.3,41.0,90,13,0,0,0,0,0,37.0,8,55,True,0,3
1,0,15,0,14.0,0,0,3.3,19.0,17,12,0,0,0,0,0,0.0,4,55,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,55,False,0,3
0,0,4,0,31.3,4,0,7.2,4.0,90,9,0,0,0,0,0,37.0,2,55,True,0,3
0,0,8,0,30.8,2,0,4.6,7.4,79,15,0,0,0,0,0,8.0,2,55,False,0,3
0,0,1,0,28.9,3,0,7.1,6.8,67,16,0,0,0,0,0,35.0,1,55,True,1,3
0,0,8,1,5.2,0,0,1.9,7.4,90,14,0,0,0,0,0,6.0,3,55,True,0,3
0,0,1,0,5.1,2,0,3.5,1.4,45,18,0,0,0,0,0,28.0,1,55,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,55,False,0,3
0,0,14,0,3.8,6,1,8.2,29.4,90,11,0,0,0,0,0,49.0,6,55,True,1,3
0,0,4,0,6.8,1,0,1.8,3.6,90,4,0,0,0,0,0,8.0,2,55,False,0,3
0,0,5,0,42.8,1,0,5.5,3.8,90,18,0,0,0,0,0,8.0,2,55,True,0,3
0,0,3,0,24.7,2,0,3.3,3.8,57,3,0,0,0,0,0,4.0,1,55,False,0,3
1,0,9,0,14.6,2,0,8.4,7.2,69,17,0,0,0,0,0,62.0,5,55,True,0,3
0,0,5,0,5.6,1,0,1.1,3.2,27,16,0,0,0,0,0,2.0,1,55,False,0,3
0,0,5,0,0.4,2,0,0.4,3.2,27,9,0,0,0,0,0,0.0,1,55,False,0,3
0,0,6,1,2.3,0,0,1.7,3.0,68,15,0,0,0,0,0,12.0,3,55,True,0,3
0,0,7,0,15.6,2,0,2.8,5.8,69,6,0,0,0,0,0,7.0,2,55,True,0,3
0,0,11,0,25.6,1,0,5.3,8.6,69,13,0,0,0,0,0,19.0,2,55,False,0,3
