assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,45,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,45,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,45,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,45,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,44,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,44,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,44,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,44,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,44,True,0,4
0,0,3,0,11.3,0,0,2.2,1.0,31,11,0,0,0,0,0,10.0,1,44,False,0,4
0,1,29,0,0.3,0,1,5.1,33.2,5,5,0,0,0,0,0,17.0,6,44,True,0,4
0,0,2,0,2.3,1,0,0.8,0.0,45,19,0,0,0,0,0,8.0,1,44,False,0,4
0,0,2,0,10.6,0,0,5.2,3.2,11,10,0,0,0,0,0,38.0,1,44,True,0,4
0,0,-2,0,22.4,2,0,7.0,10.2,90,14,0,0,0,0,0,37.0,1,44,False,1,4
0,0,2,0,10.8,1,0,2.3,0.0,36,2,0,0,0,0,0,13.0,1,44,True,0,4
0,0,0,0,0.1,0,0,0.5,0.0,15,20,0,0,0,0,0,6.0,1,44,False,0,4
0,0,24,0,2.0,2,1,7.3,31.6,79,17,0,0,0,0,0,39.0,5,44,False,1,4
0,0,2,1,2.8,0,0,1.5,0.8,65,12,0,0,0,0,0,11.0,2,44,True,0,4
1,2,39,0,27.3,1,1,11.8,53.0,84,15,0,0,0,0,0,38.0,11,44,True,0,4
0,0,5,0,0.1,2,0,0.5,0.0,68,10,0,0,0,0,0,5.0,2,45,False,0,4
0,0,7,1,3.2,0,0,1.4,6.4,90,13,0,0,0,0,0,4.0,2,45,True,0,4
1,0,9,0,0.1,2,0,9.9,16.0,90,1,0,0,0,0,0,83.0,4,45,False,1,4
0,0,4,1,33.3,0,0,6.6,0.4,78,8,0,0,0,0,0,32.0,2,45,True,0,4
0,2,29,0,0.7,2,1,10.7,46.4,90,18,0,0,0,0,0,60.0,8,45,False,0,4
0,0,3,0,1.8,1,0,1.8,2.2,90,4,0,0,0,0,0,14.0,2,45,True,0,4
0,0,-11,0,0.7,1,0,0.9,0.0,90,7,0,0,0,1,0,14.0,-1,45,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,45,False,0,4
0,2,26,0,2.3,2,1,7.4,29.8,90,9,0,0,0,0,0,42.0,8,45,False,0,4
0,0,-1,1,14.9,0,0,4.0,4.4,64,15,0,0,0,0,0,21.0,2,45,False,0,4
0,0,2,0,37.0,2,0,11.0,13.8,90,17,0,0,0,0,0,59.0,1,45,True,1,4
