assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,4,0,0.1,0,0,0.1,1.0,14,18,0,0,0,0,0,0.0,1,45,False,0,3
0,0,9,0,1.4,1,0,1.2,10.2,90,4,0,0,0,0,0,0.0,1,45,True,1,3
0,0,9,0,21.8,1,0,3.4,12.0,84,7,0,0,0,0,0,0.0,1,45,False,1,3
0,0,2,0,0.1,1,0,0.0,0.2,11,16,0,0,0,0,0,0.0,1,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,45,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,45,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,45,False,0,3
0,0,3,0,0.4,0,0,0.1,0.4,5,6,0,0,0,0,0,0.0,1,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,45,True,0,3
0,0,14,1,12.2,0,0,2.1,8.6,90,5,0,0,0,0,0,0.0,3,45,False,0,3
0,0,9,0,2.9,2,0,0.6,2.6,90,19,0,0,0,0,0,0.0,2,45,True,0,3
0,0,11,0,3.3,2,0,0.9,4.8,90,2,0,0,0,0,0,1.0,2,45,False,0,3
0,0,7,0,22.1,2,0,3.4,11.0,77,20,0,0,0,0,0,1.0,1,45,True,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,45,True,0,3
0,0,4,0,10.3,0,0,1.4,3.6,9,17,0,0,0,0,0,0.0,1,45,False,0,3
0,0,3,0,0.1,0,0,0.1,1.2,8,6,0,0,0,0,0,0.0,1,45,True,0,3
0,0,3,0,0.0,0,0,0.0,0.0,3,10,0,0,0,0,0,0.0,1,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,45,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,44,True,0,3
0,0,3,0,0.1,0,0,0.0,0.2,6,11,0,0,0,0,0,0.0,1,44,False,0,3
0,0,5,0,0.6,0,0,0.4,3.6,14,13,0,0,0,0,0,0.0,1,44,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,44,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,44,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,44,True,0,3
0,0,5,0,0.1,1,0,0.2,2.2,15,2,0,0,0,0,0,0.0,1,44,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,44,False,0,3
0,0,3,0,0.0,0,0,0.0,0.0,1,18,0,0,0,0,0,0.0,1,44,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,44,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,44,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,43,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,43,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,43,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,43,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,43,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,43,True,0,3
0,0,10,0,13.2,1,0,1.7,4.0,69,13,0,0,0,0,0,0.0,2,43,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,43,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,43,False,0,3
0,0,16,0,16.4,1,0,5.0,13.4,90,14,0,0,0,0,0,20.0,2,43,True,0,3
0,0,8,0,3.4,1,0,1.6,4.8,90,7,0,0,0,0,0,8.0,1,43,True,1,3
0,0,11,1,3.3,0,0,2.3,11.8,90,20,0,0,0,0,0,8.0,2,43,False,1,3
0,0,12,0,3.8,1,0,1.4,9.6,90,19,0,0,0,0,0,1.0,2,43,False,0,3
0,0,14,0,20.8,1,0,6.9,23.0,90,18,0,0,0,0,0,25.0,2,43,False,0,3
0,0,10,0,1.8,1,0,2.1,18.8,90,9,0,0,0,0,0,0.0,2,43,True,0,3
0,0,14,0,12.4,2,0,2.7,14.4,90,5,0,0,0,0,0,0.0,2,43,True,0,3
0,0,18,0,28.6,1,0,5.5,26.4,90,15,0,0,0,0,0,0.0,2,43,False,0,3
0,0,13,1,3.2,0,0,3.1,5.4,80,3,0,0,0,0,0,22.0,3,43,True,0,3
