assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,50,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,50,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,50,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,49,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,49,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,49,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,49,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,48,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,48,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,48,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,48,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,48,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,48,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,48,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,47,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,47,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,47,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,47,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,47,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,47,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,47,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,47,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,47,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,47,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,47,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,47,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,47,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,47,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,47,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,47,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,47,False,0,1
0,0,9,0,0.0,2,0,1.1,10.8,90,11,0,0,0,0,1,0.0,1,47,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,47,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,47,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,47,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,47,False,0,1
0,0,8,0,0.0,3,0,0.2,2.4,90,18,0,0,0,0,0,0.0,1,47,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,46,True,0,1
0,0,19,0,0.0,1,0,3.5,34.6,90,19,0,0,0,0,5,0.0,3,45,False,0,1
0,0,19,0,0.0,2,0,3.5,35.2,90,18,0,0,0,0,5,0.0,2,45,True,0,1
0,0,22,0,0.0,2,0,4.3,43.2,90,11,0,0,0,0,6,0.0,3,45,True,0,1
0,0,21,0,0.0,3,0,3.5,35.2,90,1,0,0,0,0,6,0.0,3,45,False,0,1
0,0,8,0,0.0,1,0,0.1,1.4,90,3,0,0,0,0,0,0.0,2,45,True,0,1
0,0,12,0,0.0,2,0,1.0,10.2,90,7,0,0,0,0,1,0.0,1,45,False,0,1
0,0,23,1,0.0,0,0,0.5,5.2,90,9,0,0,0,0,1,0.0,6,45,True,0,1
0,0,16,0,10.0,1,0,4.4,33.6,90,17,0,0,0,0,5,0.0,2,45,False,1,1
0,0,11,0,0.0,1,0,1.8,18.2,90,15,0,0,0,0,1,0.0,2,45,False,0,1
0,0,16,0,0.0,1,0,2.2,21.6,90,5,0,0,0,0,4,0.0,3,45,True,0,1
0,2,29,1,0.0,0,0,2.6,26.4,90,13,0,0,0,0,4,0.0,9,45,False,0,1
0,1,27,1,0.0,0,0,1.5,15.4,90,8,0,0,0,0,3,0.0,8,45,True,0,1
0,0,22,1,0.0,0,0,0.9,9.0,90,16,0,0,0,0,1,0.0,6,45,False,0,1
0,0,12,0,0.0,2,0,1.4,14.2,90,4,0,0,0,0,2,0.0,1,45,True,0,1
0,0,14,0,0.0,1,0,1.9,18.8,90,14,0,0,0,0,2,0.0,2,45,True,0,1
0,1,27,0,0.0,2,0,5.5,55.0,90,6,0,0,1,0,6,0.0,8,45,False,1,1
0,0,11,0,0.0,1,0,1.1,11.2,90,12,0,0,0,0,1,0.0,2,45,False,0,1
0,0,15,0,0.0,4,0,1.7,17.2,90,10,0,0,0,0,3,0.0,1,45,True,0,1
0,0,10,0,0.0,4,0,0.5,5.0,90,11,0,0,0,0,1,0.0,0,45,False,0,1
0,0,7,0,0.0,3,0,0.3,3.2,90,20,0,0,0,0,2,0.0,1,45,True,0,1
0,0,8,0,0.0,1,0,0.1,1.4,90,7,0,0,0,0,0,0.0,2,45,True,0,1
0,0,16,0,0.0,2,0,3.4,34.2,90,3,0,0,0,0,4,0.0,2,45,False,0,1
0,0,13,0,0.0,1,0,1.3,13.2,90,1,0,0,0,0,2,0.0,2,45,True,0,1
0,0,17,0,0.0,1,0,2.3,23.2,90,20,0,0,0,0,3,0.0,3,45,False,0,1
0,0,31,1,10.0,0,0,5.0,39.6,90,5,0,0,0,0,5,0.0,7,45,False,0,1
0,0,11,0,0.0,1,0,1.7,17.4,90,15,0,0,0,0,2,0.0,2,45,True,0,1
0,0,11,0,0.0,4,0,1.0,9.8,90,8,0,0,0,0,1,0.0,0,45,False,0,1
0,0,12,0,0.0,2,0,1.1,11.2,90,13,0,0,0,0,2,0.0,1,45,True,0,1
0,0,15,0,0.0,1,0,2.2,21.8,90,9,0,0,0,0,3,0.0,3,45,False,0,1
0,0,14,0,0.0,4,0,2.4,23.6,90,17,0,0,0,0,4,0.0,1,45,True,0,1
0,0,18,0,0.0,1,0,2.7,27.2,90,19,0,0,0,0,4,0.0,3,45,True,0,1
0,0,17,0,0.0,2,0,1.8,17.6,90,18,0,0,0,0,3,0.0,2,45,False,0,1
0,0,17,0,0.0,2,0,3.0,30.2,90,6,0,0,0,0,4,0.0,2,45,True,0,1
0,0,17,0,0.0,3,0,1.9,19.4,90,10,0,0,0,0,3,0.0,2,45,False,0,1
0,0,13,0,0.0,2,0,1.4,14.4,90,12,0,0,0,0,2,0.0,1,45,True,0,1
0,0,18,0,0.0,2,0,2.7,27.4,90,14,0,0,0,0,4,0.0,2,45,False,0,1
0,2,27,1,0.0,0,0,2.3,22.8,90,16,0,0,0,0,3,0.0,9,45,True,0,1
0,0,15,0,0.0,1,0,2.3,22.6,90,4,0,0,0,0,3,0.0,3,45,False,0,1
0,0,21,1,0.0,0,0,1.0,10.0,90,5,0,0,0,0,1,0.0,6,45,True,0,1
0,0,16,0,0.0,1,0,2.6,25.6,90,19,0,0,0,0,4,0.0,3,45,False,0,1
0,0,4,0,0.0,2,0,0.0,0.0,90,8,0,0,0,0,1,0.0,1,45,True,0,1
0,0,18,0,0.0,2,0,3.6,35.6,90,6,0,0,0,0,4,0.0,2,45,False,0,1
0,0,20,0,0.0,2,0,3.9,38.8,90,11,0,0,0,0,5,0.0,2,45,True,0,1
0,0,10,0,0.0,4,0,0.7,7.0,90,4,0,0,0,0,1,0.0,0,45,False,0,1
0,0,10,0,0.0,1,0,0.7,6.8,90,7,0,0,0,0,1,0.0,2,45,True,0,1
0,0,25,1,0.0,0,0,1.5,14.6,90,18,0,0,0,0,2,0.0,6,45,False,0,1
0,2,29,1,0.0,0,0,2.1,21.0,90,16,0,0,0,0,4,0.0,9,45,True,0,1
0,0,22,1,0.0,0,0,0.6,6.2,90,9,0,0,0,0,1,0.0,6,45,False,0,1
0,0,15,0,0.0,2,0,2.9,29.2,90,14,0,0,0,0,4,0.0,2,45,True,0,1
0,0,18,0,0.0,2,0,4.4,44.4,90,15,0,0,0,0,5,0.0,2,45,False,0,1
0,0,14,0,0.0,2,0,2.3,22.6,90,1,0,0,0,0,3,0.0,2,45,True,0,1
0,0,14,0,0.0,3,0,2.9,28.8,90,13,0,0,0,0,3,0.0,2,45,False,0,1
0,0,19,0,0.0,1,0,3.4,34.0,90,10,0,0,0,0,5,0.0,3,45,True,0,1
0,0,6,0,0.0,4,0,0.1,0.6,90,12,0,0,0,0,1,0.0,0,45,True,0,1
0,0,10,0,0.0,2,0,1.6,15.8,90,20,0,0,0,0,1,0.0,1,45,False,0,1
0,2,30,1,0.0,0,0,3.6,36.2,90,3,0,0,0,0,5,0.0,9,45,True,0,1
0,0,14,0,0.0,5,0,1.0,10.4,90,17,0,0,0,0,2,0.0,0,45,False,0,1
0,0,17,0,0.0,4,0,2.7,27.4,90,14,0,0,0,0,4,0.0,1,45,False,0,1
0,0,8,0,0.0,3,0,0.3,3.4,90,18,0,0,0,0,0,0.0,1,44,True,0,1
0,0,8,0,0.0,2,0,0.3,2.6,90,8,0,0,0,0,0,0.0,1,44,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,44,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,44,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,44,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,44,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,43,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,43,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,43,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,43,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,43,True,0,1
0,0,12,0,0.0,2,0,2.0,19.6,90,11,0,0,0,0,2,0.0,1,43,False,0,1
0,0,3,0,0.0,3,0,0.0,0.0,90,4,0,0,0,0,0,0.0,1,43,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,43,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,43,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,43,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,43,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,43,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,45,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,45,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,44,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,44,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,44,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,44,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,43,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,43,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,43,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,43,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,43,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,43,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,43,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,43,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,43,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,42,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,42,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,42,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,42,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,42,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,42,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,42,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,42,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,42,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,42,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,42,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,42,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,42,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,42,False,0,1
