assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,6,0,16.9,1,0,3.0,2.2,90,6,0,0,0,0,0,11.0,2,85,False,0,3
0,0,5,0,25.3,0,0,2.6,0.0,23,5,0,0,0,0,0,1.0,1,85,True,0,3
0,0,10,0,5.8,1,0,3.4,6.6,90,9,0,0,0,0,0,22.0,1,84,True,1,3
0,0,26,1,37.4,0,1,15.1,36.0,90,14,0,0,0,0,0,78.0,8,83,False,0,3
1,0,25,1,48.0,0,0,8.6,18.0,90,15,0,0,0,0,0,20.0,6,83,True,0,3
0,0,0,0,26.8,1,0,5.7,8.4,90,12,0,0,0,0,0,22.0,2,83,False,0,3
0,0,18,1,11.1,0,1,6.4,32.0,85,10,0,0,0,0,0,21.0,8,83,True,0,3
0,3,28,0,28.8,1,1,15.4,52.0,90,19,0,0,0,0,0,73.0,10,82,False,0,3
0,0,6,1,26.9,0,0,4.0,6.4,71,2,0,0,0,0,0,7.0,2,82,False,1,3
0,0,4,0,13.5,1,0,3.4,3.6,82,8,0,0,0,0,0,17.0,2,82,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,82,False,0,3
0,0,3,0,1.5,0,0,1.5,6.6,23,20,0,0,0,0,0,7.0,1,81,True,0,3
1,0,22,0,16.8,2,0,4.5,24.0,72,4,0,0,0,0,0,4.0,5,81,False,0,3
2,0,23,1,40.4,0,0,11.7,14.6,90,16,0,0,0,0,0,62.0,9,81,True,0,3
0,0,6,0,15.9,1,0,2.8,9.4,90,11,0,0,0,0,0,3.0,2,81,False,0,3
0,0,8,1,22.9,0,0,7.7,13.6,61,7,0,0,0,0,0,40.0,3,81,True,0,3
0,2,29,0,32.0,1,1,11.1,37.0,72,3,0,0,0,0,0,42.0,9,81,True,0,3
0,3,45,0,7.9,1,2,11.8,73.4,90,13,0,0,0,0,0,37.0,15,81,False,0,3
0,1,37,1,3.8,0,2,14.0,63.0,60,18,0,0,0,0,0,73.0,14,82,False,0,3
0,3,41,1,6.0,0,2,12.8,66.0,85,4,0,0,0,0,0,56.0,15,83,True,1,3
1,0,20,1,29.9,0,0,6.4,26.0,90,19,0,0,0,0,0,8.0,6,86,True,0,3
0,0,17,0,8.5,2,1,7.5,33.8,90,10,0,0,0,0,0,33.0,6,87,False,1,3
0,0,4,1,5.3,0,0,4.5,3.6,90,15,0,0,0,0,0,36.0,3,88,False,0,3
0,0,8,1,31.8,0,0,6.5,6.8,87,12,0,0,0,0,0,26.0,3,89,True,0,3
0,0,7,0,6.2,2,0,1.3,2.4,90,9,0,0,0,0,0,4.0,2,89,False,0,3
0,0,26,1,20.8,0,1,13.5,44.8,90,14,0,0,0,0,0,69.0,8,88,True,0,3
1,2,35,0,14.9,2,1,11.3,55.8,90,6,0,0,0,0,0,42.0,12,87,True,0,3
0,0,20,0,14.4,1,1,10.6,43.8,90,13,0,0,0,0,0,48.0,7,88,True,0,3
1,0,18,1,34.6,0,0,9.1,22.2,90,3,0,0,0,0,0,34.0,6,89,False,0,3
1,2,28,0,39.1,1,1,17.0,61.0,90,16,0,0,0,0,0,70.0,12,90,False,0,3
0,0,35,1,33.6,0,1,9.2,43.6,90,18,0,0,0,0,0,15.0,8,91,True,0,3
1,0,10,1,11.5,0,0,5.2,0.0,83,2,0,0,0,0,0,42.0,6,92,True,0,3
0,0,5,1,16.0,0,0,4.4,7.0,90,5,0,0,0,0,0,21.0,3,92,False,0,3
0,0,25,1,34.3,0,1,10.6,40.0,90,1,0,0,0,0,0,32.0,8,92,True,0,3
0,0,10,0,18.8,1,0,5.1,6.0,90,20,0,0,0,0,0,26.0,2,92,False,0,3
0,0,9,0,16.7,1,0,9.3,9.8,90,11,0,0,0,0,0,66.0,2,92,True,0,3
1,0,19,0,28.3,1,0,11.6,29.4,90,8,0,0,0,0,0,58.0,5,92,False,0,3
1,1,41,0,26.3,1,1,13.1,60.8,72,7,0,0,0,0,0,44.0,11,91,False,0,3
0,0,25,1,8.3,0,1,9.0,36.6,81,13,0,0,0,0,0,45.0,8,95,False,0,3
0,0,8,0,35.6,2,0,5.2,10.4,90,5,0,0,0,0,0,6.0,2,95,True,0,3
0,2,29,0,37.1,1,1,17.9,39.4,90,4,0,0,0,0,0,102.0,9,95,True,0,3
0,0,5,1,18.1,0,0,4.0,13.4,90,7,0,0,0,0,0,8.0,3,95,False,0,3
0,0,9,1,50.3,0,0,8.5,8.0,90,16,0,0,0,0,0,27.0,3,95,True,0,3
2,0,24,0,30.4,2,0,9.7,27.4,90,20,0,0,0,0,0,39.0,8,95,False,0,3
0,0,4,1,24.0,0,0,5.1,8.0,90,8,0,0,0,0,0,19.0,2,95,False,1,3
0,0,0,1,17.9,0,0,5.5,4.2,90,2,0,0,0,0,0,33.0,3,94,True,0,3
0,2,40,0,23.5,1,1,9.9,58.4,90,10,0,0,0,0,0,17.0,9,94,True,0,3
0,0,1,0,19.3,1,0,7.0,2.8,90,12,0,0,0,0,0,48.0,2,93,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,93,True,0,3
0,0,2,0,10.3,2,0,1.9,2.0,74,1,0,0,0,0,0,7.0,2,93,False,0,3
1,1,24,0,57.7,1,0,14.8,22.8,90,19,0,0,0,0,0,67.0,6,92,True,0,3
0,0,10,0,26.3,2,0,6.7,17.2,90,9,0,0,0,0,0,23.0,2,92,False,0,3
0,0,8,0,16.2,1,0,2.3,7.0,85,18,0,0,0,0,0,0.0,2,92,False,0,3
1,0,14,1,16.3,0,0,4.3,20.4,66,15,0,0,0,0,0,6.0,6,91,True,0,3
0,0,3,0,10.3,0,0,1.3,1.4,16,3,0,0,0,0,0,1.0,1,91,True,0,3
0,0,0,0,3.4,3,0,0.3,0.0,83,11,0,0,0,0,0,0.0,1,91,False,1,3
2,0,25,1,32.5,0,0,7.1,20.2,86,4,0,0,0,0,0,18.0,8,90,False,1,3
2,2,56,0,43.3,2,1,13.2,71.8,83,14,0,0,0,0,0,17.0,15,90,True,0,3
0,0,27,1,18.8,0,1,12.6,47.8,90,16,0,0,0,0,0,59.0,8,90,False,0,3
0,0,6,0,52.5,1,0,11.1,7.2,90,20,0,0,0,0,0,51.0,2,90,True,0,3
1,0,17,1,51.3,0,0,11.2,35.2,90,7,0,0,0,0,0,25.0,6,90,True,0,3
0,0,1,0,35.5,1,0,7.5,4.6,90,14,0,0,0,0,0,35.0,2,90,False,0,3
1,0,7,1,16.3,0,0,8.5,11.8,87,12,0,0,0,0,0,57.0,5,90,True,1,3
