assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,50,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,50,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,49,True,0,2
0,0,24,1,12.9,0,0,4.4,19.4,90,14,0,0,0,0,0,12.0,6,49,False,0,2
0,0,1,0,0.9,0,0,0.3,2.4,14,15,0,0,0,0,0,0.0,0,49,True,1,2
0,0,10,0,13.6,1,0,2.6,12.4,90,12,0,0,0,0,0,0.0,2,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,49,True,0,2
0,0,21,0,15.0,1,0,8.6,26.2,90,19,0,0,0,0,0,45.0,2,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,49,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,48,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,48,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,48,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,47,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,47,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,47,True,0,2
0,0,3,0,11.2,0,0,2.2,2.0,14,3,0,0,0,0,0,9.0,1,47,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,47,False,0,2
0,0,3,0,1.8,1,0,0.3,1.6,23,18,0,0,0,0,0,0.0,1,47,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,47,True,0,2
0,0,8,0,2.0,0,0,0.9,7.4,27,19,0,0,0,0,0,0.0,1,47,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,47,False,0,2
0,0,12,0,7.1,0,0,2.1,12.4,53,15,0,0,0,0,0,1.0,1,47,False,0,2
0,0,22,1,8.3,0,0,2.9,18.6,90,12,0,0,0,0,0,2.0,6,47,True,0,2
0,0,15,0,27.8,2,0,5.1,20.8,90,9,0,0,0,0,0,2.0,1,47,False,0,2
0,0,26,1,18.1,0,0,4.1,21.2,90,14,0,0,0,0,0,2.0,6,47,True,0,2
1,1,30,0,52.8,2,0,11.6,43.4,90,6,0,0,0,0,0,20.0,5,47,True,0,2
0,0,7,0,3.8,1,0,0.7,3.0,90,13,0,0,0,0,0,0.0,2,47,True,0,2
0,0,22,1,2.3,0,0,4.6,22.6,90,3,0,0,0,0,0,21.0,6,48,False,0,2
0,0,20,0,30.6,1,0,5.6,19.0,78,16,0,0,0,0,0,6.0,2,48,False,0,2
0,0,23,1,5.8,0,0,2.6,12.0,90,18,0,0,0,0,0,8.0,6,48,True,0,2
0,0,29,1,40.9,0,0,6.4,13.6,90,2,0,0,0,0,0,9.0,6,49,True,0,2
0,3,37,1,42.0,0,0,7.3,30.8,90,5,0,0,0,0,0,0.0,9,49,False,0,2
0,0,25,1,28.3,0,0,4.7,17.0,90,1,0,0,0,0,0,2.0,6,49,True,0,2
0,0,12,0,4.1,1,0,1.8,11.4,90,20,0,0,0,0,0,2.0,2,49,False,0,2
1,0,26,0,17.3,1,0,4.9,29.6,90,11,0,0,0,0,0,2.0,5,49,True,0,2
1,1,32,0,62.9,1,0,11.0,47.0,90,8,0,0,0,0,0,0.0,6,49,False,0,2
0,0,35,0,40.1,1,1,11.1,58.2,90,7,0,0,0,0,0,13.0,8,50,False,0,2
0,3,36,1,30.1,0,1,9.5,47.6,90,13,0,0,0,0,0,17.0,14,55,False,1,2
0,0,14,0,39.0,1,0,9.6,20.2,79,5,0,0,0,0,0,37.0,2,55,True,0,2
0,0,21,0,66.8,1,0,9.4,22.2,90,4,0,0,0,0,0,5.0,2,56,True,0,2
2,2,53,1,52.5,0,0,11.7,45.0,90,7,0,0,0,0,0,19.0,14,56,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,57,True,0,2
0,0,8,0,19.7,2,0,3.9,12.2,90,20,0,0,0,0,0,7.0,1,57,False,0,2
1,1,45,1,27.3,0,1,11.7,64.2,90,8,0,0,0,0,0,25.0,16,58,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,59,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,59,True,0,2
0,0,14,0,41.0,1,0,6.5,22.4,90,12,0,0,0,0,0,2.0,2,58,False,0,2
0,0,3,0,0.0,0,0,0.0,0.0,1,6,0,0,0,0,0,0.0,1,58,True,0,2
0,0,10,0,37.8,2,0,6.0,18.0,90,1,0,0,0,0,0,4.0,1,58,False,0,2
0,0,16,0,36.8,1,0,6.7,21.8,90,19,0,0,0,0,0,8.0,2,57,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,57,False,0,2
0,0,15,0,2.4,1,0,1.4,10.8,90,18,0,0,0,0,0,1.0,2,56,False,0,2
1,0,27,0,41.2,1,0,7.5,31.2,90,15,0,0,0,0,0,3.0,5,56,True,0,2
0,0,3,0,0.0,0,0,0.1,0.8,1,3,0,0,0,0,0,0.0,1,56,True,0,2
0,0,3,0,0.0,1,0,0.0,0.0,1,11,0,0,0,0,0,0.0,1,55,False,0,2
0,1,29,1,21.1,0,0,3.5,12.2,90,4,0,0,0,0,0,2.0,7,55,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,55,True,0,2
0,0,29,1,6.8,0,0,3.5,24.2,90,16,0,0,0,0,0,4.0,6,55,False,0,2
0,0,18,0,54.3,1,0,7.7,21.0,81,20,0,0,0,0,0,2.0,2,55,True,0,2
0,0,25,1,3.5,0,0,2.5,19.8,90,7,0,0,0,0,0,2.0,6,55,True,0,2
1,3,25,0,57.0,1,0,10.2,37.4,90,14,0,0,0,0,0,8.0,8,55,False,0,2
0,0,24,1,2.7,0,0,3.3,21.2,90,12,0,0,0,0,0,9.0,6,55,True,0,2
0,0,15,0,23.1,2,0,3.8,12.6,90,10,0,0,0,0,0,2.0,1,55,False,0,2
1,3,40,1,18.2,0,0,4.8,28.2,90,1,0,0,0,0,0,2.0,12,55,True,0,2
0,1,28,1,20.7,0,0,6.4,18.4,90,6,0,0,0,0,0,25.0,7,57,False,0,2
0,0,28,1,18.3,0,0,4.0,18.8,90,8,0,0,0,0,0,3.0,6,58,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,59,False,0,2
1,0,15,0,23.8,1,0,4.9,25.2,90,5,0,0,0,0,0,0.0,4,59,False,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,59,False,0,2
0,0,9,0,6.6,3,0,2.6,17.0,90,11,0,0,0,0,0,2.0,0,59,True,1,2
0,0,10,0,12.3,1,0,3.2,8.0,90,3,0,0,0,0,0,12.0,2,59,False,0,2
0,0,28,1,16.9,0,0,3.4,16.6,90,18,0,0,0,0,0,0.0,6,58,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,58,False,0,2
0,0,24,1,18.9,0,0,3.2,13.0,90,13,0,0,0,0,0,0.0,6,58,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,58,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,55,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,55,False,0,2
0,0,2,0,1.2,0,0,0.3,0.0,2,13,0,0,0,0,0,4.0,1,55,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,55,False,0,2
0,0,5,0,0.4,0,0,0.8,5.8,14,7,0,0,0,0,0,2.0,1,55,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,55,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,55,True,0,2
0,0,12,0,3.7,3,0,1.8,11.8,90,4,0,0,0,0,0,2.0,1,54,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,54,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,54,False,0,2
0,0,5,0,15.6,1,0,3.2,14.2,90,8,0,0,0,0,0,2.0,2,54,False,0,2
0,0,8,0,8.8,1,0,2.9,18.6,90,15,0,0,0,0,0,2.0,2,54,True,0,2
0,0,11,0,15.8,1,0,2.6,10.0,74,19,0,0,0,0,0,0.0,1,54,False,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,54,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,54,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,54,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,54,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,54,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,54,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,54,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,53,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,53,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,53,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,53,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,53,True,0,2
0,0,22,0,11.2,2,0,5.6,43.2,90,2,0,0,0,0,0,2.0,1,53,False,0,2
0,0,7,0,1.4,2,0,2.2,20.6,90,6,0,0,0,0,0,0.0,1,53,False,0,2
0,0,12,0,30.5,3,0,6.2,9.6,90,20,0,0,0,0,0,22.0,0,53,True,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,53,False,0,2
0,0,10,0,1.5,1,0,1.5,13.6,90,12,0,0,0,0,0,0.0,2,53,True,0,2
0,2,25,1,21.6,0,0,4.1,17.6,90,19,0,0,0,0,0,2.0,7,53,True,1,2
