assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,65,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,65,True,0,2
0,0,11,0,42.7,1,0,6.1,18.6,90,2,0,0,0,0,0,0.0,1,65,False,1,2
1,1,40,1,18.8,0,0,5.4,31.0,90,10,0,0,0,0,0,4.0,10,65,True,0,2
0,0,33,1,38.3,0,0,6.0,18.4,90,18,0,0,0,0,0,3.0,6,65,False,0,2
0,0,0,0,1.1,0,0,2.2,0.4,28,6,0,0,0,0,0,20.0,0,65,True,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,65,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,64,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,64,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,64,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,63,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,63,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,63,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,63,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,63,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,63,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,63,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,63,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,63,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,63,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,63,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,63,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,63,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,63,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,63,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,63,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,63,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,63,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,63,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,63,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,63,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,63,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,63,False,0,2
0,0,4,0,1.8,0,0,2.4,5.6,15,16,0,0,0,0,0,17.0,1,63,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,63,False,0,2
0,0,4,0,21.2,0,0,3.1,6.0,33,8,0,0,0,0,0,4.0,1,63,True,0,2
0,0,4,0,15.4,0,0,2.0,4.2,14,3,0,0,0,0,0,0.0,1,63,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,63,False,0,2
2,3,46,1,28.0,0,0,11.4,56.8,90,1,0,0,0,0,0,29.0,15,60,False,0,2
2,0,37,0,44.6,1,0,9.9,34.6,90,10,0,0,0,0,0,20.0,8,61,True,0,2
0,2,27,0,23.8,1,0,5.9,27.4,90,20,0,0,0,0,0,8.0,4,63,False,0,2
1,0,22,0,23.8,1,0,5.0,26.6,90,15,0,0,0,0,0,0.0,5,64,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,65,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,64,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,63,True,0,2
0,0,23,1,7.7,0,0,2.8,20.4,90,12,0,0,0,0,0,0.0,5,62,False,1,2
1,1,40,1,50.1,0,0,8.6,34.2,90,4,0,0,0,0,0,2.0,10,62,True,0,2
0,0,23,1,3.7,0,0,1.1,7.6,90,17,0,0,0,0,0,0.0,6,63,False,0,2
0,0,23,0,24.3,1,0,4.7,21.0,90,16,0,0,0,0,0,2.0,2,64,True,0,2
0,0,9,0,7.3,1,0,1.2,2.6,90,14,0,0,0,0,0,2.0,2,64,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,63,False,0,2
