assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,60,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,60,True,0,3
0,0,3,0,0.5,0,0,0.1,0.2,5,2,0,0,0,0,0,0.0,1,60,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,60,True,0,3
0,0,3,0,11.9,1,0,2.3,9.4,46,19,0,0,0,0,0,2.0,0,59,True,1,3
0,0,9,0,15.3,0,0,2.6,10.4,18,1,0,0,0,0,0,0.0,1,59,False,0,3
1,0,13,0,10.8,0,0,3.0,17.0,2,9,0,0,0,0,0,2.0,4,59,True,0,3
1,2,25,0,43.8,1,0,6.3,10.4,90,11,0,0,0,0,0,9.0,7,59,False,0,3
0,0,7,1,34.8,0,0,5.0,7.4,66,7,0,0,0,0,0,8.0,3,59,True,0,3
0,0,2,0,4.5,2,0,1.2,0.0,61,14,0,0,0,0,0,10.0,2,59,False,0,3
0,0,11,0,28.9,1,0,4.5,9.8,67,3,0,0,0,0,0,6.0,2,59,True,0,3
0,0,1,1,21.7,0,0,3.5,10.0,63,6,0,0,0,0,0,3.0,2,59,False,1,3
0,0,17,1,30.5,0,0,4.5,10.0,76,5,0,0,0,0,0,4.0,3,59,True,0,3
0,0,9,1,5.7,0,0,1.9,12.2,88,12,0,0,0,0,0,1.0,3,59,False,0,3
0,0,4,0,3.2,0,0,0.9,1.8,21,15,0,0,0,0,0,4.0,1,59,True,0,3
0,0,5,0,2.9,2,0,1.1,5.6,65,18,0,0,0,0,0,2.0,2,59,True,0,3
0,0,1,0,0.5,2,0,0.9,6.4,56,13,0,0,0,0,0,2.0,1,59,False,0,3
0,0,3,0,2.2,0,0,2.1,0.4,15,17,0,0,0,0,0,18.0,1,59,True,0,3
2,2,33,0,37.8,1,0,11.2,46.4,79,4,0,0,0,0,0,28.0,10,59,False,0,3
0,0,7,0,16.2,1,0,3.6,12.2,79,3,0,0,0,0,0,8.0,1,59,False,1,3
0,0,10,0,32.3,0,0,4.9,13.0,28,11,0,0,0,0,0,4.0,1,59,True,0,3
0,0,6,1,50.8,0,0,7.4,15.8,77,2,0,0,0,0,0,7.0,2,59,True,1,3
0,0,7,0,27.1,2,0,4.0,8.8,74,16,0,0,0,0,0,4.0,2,59,False,0,3
0,0,8,1,17.1,0,0,3.6,14.4,90,10,0,0,0,0,0,4.0,2,59,False,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,59,True,0,3
0,0,3,0,1.4,1,0,3.2,0.6,72,13,0,0,0,0,0,30.0,2,59,True,0,3
0,0,4,0,0.9,0,0,0.4,3.0,24,18,0,0,0,0,0,0.0,1,59,False,0,3
0,0,4,0,2.7,0,0,1.0,1.6,29,5,0,0,0,0,0,6.0,1,59,False,0,3
0,0,6,1,7.5,0,0,1.9,7.8,90,12,0,0,0,0,0,4.0,3,59,True,0,3
0,0,9,0,15.6,2,0,2.8,4.2,81,15,0,0,0,0,0,8.0,2,59,False,0,3
0,0,6,1,12.6,0,0,2.0,3.0,77,6,0,0,0,0,0,4.0,3,59,True,0,3
