assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,50,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,50,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,49,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,49,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,48,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,48,True,0,1
0,0,11,0,0.0,0,0,2.6,26.4,45,18,0,0,0,0,3,0.0,2,48,True,0,1
0,0,19,0,0.0,1,0,2.2,21.6,90,9,0,0,0,0,3,0.0,3,48,False,0,1
0,0,13,0,0.0,1,0,1.6,16.2,90,11,0,0,0,0,2,0.0,2,48,True,0,1
0,0,12,0,0.0,2,0,0.9,9.2,90,7,0,0,0,0,1,0.0,1,48,False,0,1
0,0,12,0,0.0,1,0,2.4,23.6,90,12,0,0,0,0,3,0.0,3,48,True,0,1
0,1,18,0,0.0,1,0,3.1,31.0,90,20,0,0,0,0,4,0.0,4,48,True,0,1
0,0,20,0,0.0,1,0,3.2,31.8,90,2,0,0,0,0,5,0.0,3,48,False,0,1
0,0,13,0,0.0,2,0,2.3,23.4,90,17,0,0,0,0,4,0.0,2,48,True,0,1
0,0,22,0,0.0,2,0,2.5,24.6,90,14,0,0,0,0,5,0.0,2,48,False,0,1
0,1,22,1,0.0,0,0,0.6,6.4,90,10,0,0,0,0,0,0.0,7,48,True,0,1
0,0,14,0,0.0,3,0,2.1,20.6,90,16,0,0,0,0,4,0.0,2,48,False,0,1
0,0,11,0,0.0,1,0,1.3,13.2,90,4,0,0,0,0,1,0.0,2,48,True,0,1
0,0,16,0,0.0,1,0,2.2,22.0,90,3,0,0,0,0,2,0.0,2,48,False,0,1
0,0,21,0,0.0,5,0,3.8,37.8,90,12,0,0,0,0,5,0.0,1,48,False,0,1
0,0,18,0,0.0,1,0,2.8,28.2,90,9,0,0,0,0,3,0.0,3,48,True,0,1
0,0,15,0,0.0,1,0,1.7,17.2,90,19,0,0,0,0,2,0.0,2,48,False,0,1
0,0,23,1,0.0,0,0,1.1,11.4,90,6,0,0,0,0,1,0.0,6,48,True,0,1
0,0,11,0,0.0,1,0,0.8,8.4,90,5,0,0,0,0,1,0.0,2,48,True,0,1
0,1,28,0,0.0,3,0,7.1,70.8,90,13,0,0,0,0,9,0.0,5,48,False,0,1
0,0,19,0,0.0,1,0,3.3,32.8,90,10,0,0,0,0,5,0.0,3,48,False,0,1
