assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,-1,0,10.8,3,0,1.5,0.0,66,11,0,0,0,0,0,9.0,2,65,True,0,4
0,0,2,1,1.8,0,0,1.9,3.2,74,20,0,0,0,0,0,14.0,2,65,False,0,4
0,0,-5,1,2.4,0,0,3.1,0.0,70,5,0,0,0,0,0,29.0,2,64,False,0,4
0,0,31,1,24.3,0,1,11.9,39.0,90,19,0,0,0,0,0,56.0,6,64,True,0,4
0,0,-2,0,0.3,2,0,1.0,0.0,45,10,0,0,0,0,0,11.0,1,64,False,0,4
0,0,-1,1,12.0,0,0,3.0,0.0,89,6,0,0,0,0,0,20.0,2,64,True,0,4
0,2,29,0,15.1,2,1,11.7,43.0,90,18,0,0,0,0,0,59.0,8,64,False,0,4
1,0,35,0,21.3,1,1,11.3,36.4,85,7,0,0,0,0,0,55.0,9,64,True,0,4
0,0,2,1,2.2,0,0,3.2,0.0,81,17,0,0,0,0,0,32.0,2,65,True,0,4
0,0,2,0,3.3,2,0,1.3,0.0,59,12,0,0,0,0,0,10.0,1,66,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,66,True,0,4
0,0,-2,1,3.8,0,0,0.9,0.0,68,14,0,0,0,0,0,8.0,2,65,False,0,4
0,0,23,0,1.6,2,1,5.7,28.2,62,1,0,0,0,0,0,27.0,6,64,False,0,4
0,0,31,0,11.6,3,1,8.0,39.2,90,9,0,0,0,0,0,29.0,6,64,True,0,4
0,0,-2,0,1.9,2,0,0.0,0.0,58,3,0,0,0,0,0,2.0,1,64,False,0,4
0,0,0,0,2.0,0,0,0.7,0.0,25,8,0,0,0,0,0,6.0,1,64,True,0,4
0,0,2,0,2.8,2,0,6.8,4.6,63,13,0,0,0,0,0,61.0,2,64,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,63,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,63,False,0,4
0,0,22,0,3.6,2,1,5.8,31.6,90,1,0,0,0,0,0,23.0,6,62,True,0,4
0,0,2,0,1.6,1,0,0.3,1.2,36,7,0,0,0,0,0,0.0,1,62,False,0,4
0,0,1,0,1.8,2,0,4.0,2.6,90,18,0,0,0,0,0,36.0,2,62,True,0,4
0,0,1,0,1.5,1,0,0.1,0.0,30,5,0,0,0,0,0,0.0,1,62,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,62,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,61,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,61,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,61,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,61,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,59,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,59,True,0,4
