assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,26,0,0.5,4,1,7.6,48.8,90,9,0,0,0,0,0,27.0,6,45,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,45,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,45,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,45,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,45,False,0,2
0,0,20,0,0.1,2,0,3.9,38.6,90,17,0,0,0,0,0,0.0,1,44,True,0,2
0,0,14,0,0.3,1,0,2.6,25.4,90,20,0,0,0,0,0,0.0,2,44,False,0,2
0,0,17,0,1.6,1,0,2.1,17.2,90,18,0,0,0,0,0,2.0,2,44,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,44,False,0,2
0,0,26,1,0.1,0,0,3.2,31.6,90,2,0,0,0,0,0,0.0,5,44,True,1,2
0,0,13,0,0.2,1,0,2.1,20.6,90,10,0,0,0,0,0,0.0,2,44,False,0,2
0,0,15,0,0.5,1,0,1.6,15.6,90,4,0,0,0,0,0,0.0,1,44,True,1,2
0,0,8,0,0.1,2,0,1.9,19.2,90,8,0,0,0,0,0,0.0,0,44,False,1,2
0,1,29,1,1.3,0,0,2.5,21.4,90,7,0,0,0,0,0,2.0,7,44,True,0,2
0,0,16,0,0.8,1,0,3.0,28.8,90,13,0,0,0,0,0,0.0,2,44,False,0,2
0,0,9,0,0.1,3,0,2.1,20.6,90,9,0,0,0,0,0,0.0,1,44,True,0,2
0,0,28,1,0.3,0,0,2.6,25.2,90,16,0,0,0,0,0,0.0,6,44,True,0,2
