assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,29.3,3,0,5.1,0.0,61,17,0,0,0,0,0,24.0,2,75,False,0,4
0,0,3,0,7.8,1,0,0.4,0.0,68,19,0,0,0,0,0,0.0,2,75,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,75,True,0,4
0,0,2,0,0.5,0,0,0.0,0.0,12,1,0,0,0,0,0,1.0,1,72,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,70,True,0,4
0,0,6,0,2.3,1,0,4.4,6.4,33,18,0,0,0,0,0,35.0,1,68,False,0,4
0,3,38,0,28.7,1,1,10.8,40.8,67,4,0,0,0,0,0,38.0,9,67,False,0,4
0,2,30,1,27.8,0,1,8.8,37.6,90,3,0,0,0,0,0,23.0,8,67,True,0,4
0,3,52,0,18.3,1,2,18.1,72.0,90,15,0,0,0,0,0,91.0,13,68,False,0,4
0,0,4,0,3.0,3,0,1.8,6.2,78,11,0,0,0,0,0,9.0,2,68,True,0,4
0,0,1,1,13.7,0,0,2.6,1.8,90,10,0,0,0,0,0,10.0,2,69,True,0,4
0,0,8,0,27.8,1,0,6.8,15.8,90,16,0,0,0,0,0,24.0,2,68,False,0,4
0,0,4,1,14.7,0,0,2.5,4.2,84,13,0,0,0,0,0,6.0,2,68,True,0,4
0,1,33,1,25.5,0,1,8.9,42.6,71,8,0,0,0,0,0,21.0,7,68,False,0,4
0,0,2,0,3.3,1,0,1.4,1.0,90,14,0,0,0,0,0,10.0,2,68,True,0,4
0,0,9,0,23.7,1,0,4.0,4.0,60,20,0,0,0,0,0,12.0,2,67,False,0,4
1,0,18,0,17.2,2,0,5.3,25.0,80,20,0,0,0,0,0,11.0,5,70,False,0,4
0,0,4,0,1.3,1,0,4.8,9.0,74,16,0,0,0,0,0,38.0,2,70,True,0,4
1,0,9,0,27.0,2,0,4.9,14.6,83,2,0,0,0,0,0,7.0,4,70,False,1,4
0,0,2,0,2.2,1,0,1.3,0.0,90,10,0,0,0,0,0,15.0,2,70,True,0,4
0,0,3,0,2.3,3,0,5.2,5.6,68,19,0,0,0,0,0,44.0,2,70,True,0,4
0,0,3,0,0.3,0,0,1.4,4.2,18,1,0,0,0,0,0,9.0,1,69,False,0,4
0,0,26,0,11.8,0,1,8.1,34.4,35,9,0,0,0,0,0,35.0,5,68,True,0,4
0,0,3,0,10.7,0,0,1.4,1.6,19,11,0,0,0,0,0,2.0,1,68,False,0,4
0,0,27,0,11.9,0,1,8.6,33.2,23,7,0,0,0,0,0,41.0,5,67,True,0,4
0,0,3,0,0.5,0,0,0.1,0.8,12,14,0,0,0,0,0,0.0,1,67,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,67,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,66,False,0,4
0,0,0,0,0.3,0,0,2.9,3.2,13,5,0,0,0,0,0,25.0,1,66,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,66,False,0,4
0,0,1,0,2.8,1,0,5.6,0.4,68,15,0,0,0,0,0,53.0,2,66,True,0,4
