assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,1,22,0,2.4,0,1,7.9,38.2,33,17,0,0,0,0,0,38.0,6,65,False,0,4
0,3,33,1,3.8,0,1,5.5,40.0,90,6,0,0,0,0,0,11.0,9,65,True,0,4
0,0,4,0,5.8,1,0,0.6,0.6,86,10,0,0,0,0,0,0.0,2,65,False,0,4
0,0,-6,1,6.4,0,0,5.2,1.4,90,8,0,0,0,0,0,44.0,2,66,True,0,4
0,0,5,1,13.6,0,0,5.2,13.8,90,7,0,0,0,0,0,25.0,2,66,False,0,4
0,2,24,0,23.7,1,1,10.8,36.8,90,20,0,0,0,0,0,47.0,7,66,True,1,4
0,0,2,0,0.1,0,0,0.0,0.2,19,11,0,0,0,0,0,0.0,1,66,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,65,True,0,4
0,0,5,1,5.8,0,0,1.2,2.4,64,14,0,0,0,0,0,4.0,2,65,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,65,True,0,4
0,0,2,0,0.0,1,0,0.0,0.0,12,1,0,0,0,0,0,0.0,1,64,True,0,4
0,2,27,0,25.8,1,1,10.9,37.6,89,2,0,0,0,0,0,46.0,8,64,False,0,4
0,0,2,0,14.6,1,0,2.4,0.0,73,9,0,0,0,0,0,10.0,2,64,False,0,4
0,0,2,1,6.2,0,0,5.1,13.0,90,18,0,0,0,0,0,32.0,2,64,True,0,4
0,0,1,1,14.9,0,0,2.4,0.6,81,15,0,0,0,0,0,8.0,2,64,True,0,4
0,0,0,1,4.1,0,0,4.6,5.4,80,3,0,0,0,0,0,36.0,2,64,False,0,4
0,0,3,0,1.3,1,0,0.1,0.0,34,17,0,0,0,0,0,0.0,1,64,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,64,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,64,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,63,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,63,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,63,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,63,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,62,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,62,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,62,True,0,4
0,0,24,0,6.0,0,1,11.8,34.6,45,7,0,0,0,0,0,77.0,5,62,True,0,4
1,3,60,0,22.3,0,2,17.5,85.2,29,20,0,0,0,0,0,67.0,15,62,False,0,4
0,3,30,1,4.4,0,1,9.9,32.4,76,19,0,0,0,0,0,62.0,9,62,False,0,4
0,0,5,0,3.1,1,0,4.6,7.4,90,18,0,0,0,0,0,35.0,2,63,False,0,4
0,3,31,0,15.8,1,1,10.7,45.4,74,9,0,0,0,0,0,46.0,9,63,True,0,4
0,0,3,0,1.5,2,0,0.7,0.0,71,5,0,0,0,0,0,6.0,2,63,True,0,4
0,0,3,0,5.8,1,0,5.1,6.6,90,15,0,0,0,0,0,39.0,2,63,False,0,4
0,0,5,1,3.8,0,0,4.3,1.2,65,3,0,0,0,0,0,38.0,2,64,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,63,False,0,4
0,3,27,1,12.3,0,1,7.3,39.2,60,2,0,0,0,0,0,21.0,9,62,True,0,4
0,0,-1,1,0.7,0,0,0.8,0.0,90,16,0,0,0,0,0,8.0,2,65,True,0,4
0,0,6,0,12.8,1,0,2.2,1.4,60,1,0,0,0,0,0,8.0,2,65,False,0,4
0,0,4,0,13.8,1,0,8.8,9.4,90,20,0,0,0,0,0,65.0,2,64,False,0,4
0,0,-4,0,13.2,3,0,2.9,0.0,90,10,1,0,0,0,0,17.0,0,63,True,0,4
