assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,75,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,74,False,0,4
0,0,-1,0,29.9,1,0,5.5,0.0,90,2,0,0,0,0,0,26.0,2,74,True,0,4
0,1,27,0,19.1,1,1,9.7,34.4,83,12,0,0,0,0,0,43.0,7,75,False,0,4
0,0,-1,0,18.0,1,0,2.6,0.0,90,14,0,0,0,0,0,8.0,2,75,True,0,4
0,1,29,0,13.2,2,1,12.8,33.8,90,15,0,0,0,0,0,81.0,7,76,False,0,4
0,0,22,0,3.3,1,1,10.9,31.0,90,6,0,0,0,0,0,75.0,5,76,False,1,4
0,0,-18,0,4.5,1,0,3.2,0.0,90,20,0,1,0,0,0,37.0,-1,77,True,1,4
0,0,5,0,41.7,3,0,12.6,9.8,90,8,0,0,0,0,0,74.0,2,77,False,0,4
0,0,1,0,5.7,4,0,7.5,8.6,90,9,0,0,0,0,0,61.0,2,77,True,0,4
0,0,26,0,24.6,3,1,14.7,44.6,90,3,0,0,0,0,0,78.0,6,76,False,0,4
0,0,1,0,1.6,1,0,4.1,0.0,80,10,0,0,0,0,0,44.0,2,76,True,0,4
1,1,43,0,35.2,5,1,14.2,54.4,90,16,0,0,0,0,0,52.0,10,75,False,0,4
0,3,45,1,5.8,0,2,15.6,67.8,90,13,0,0,0,0,0,82.0,12,75,True,1,4
0,0,27,0,2.8,3,1,6.6,34.0,90,7,0,0,0,0,0,29.0,6,76,False,0,4
0,0,4,0,25.3,2,0,3.5,0.0,90,11,0,0,0,0,0,10.0,2,77,True,0,4
0,0,1,0,4.6,1,0,3.0,2.0,90,4,0,0,0,0,0,23.0,2,77,True,0,4
0,0,-10,0,3.7,1,0,5.8,9.8,90,18,0,1,0,0,0,44.0,-1,77,False,1,4
0,0,0,0,0.8,2,0,3.6,4.4,76,1,0,0,0,0,0,31.0,2,77,False,0,4
0,0,1,0,14.8,1,0,2.1,2.0,45,16,0,0,0,0,0,4.0,1,76,True,0,4
0,0,7,0,26.9,3,0,4.2,8.8,90,20,0,0,0,0,0,6.0,2,74,False,0,4
0,0,0,0,2.0,1,0,2.5,1.4,90,6,0,0,0,0,0,22.0,2,74,True,0,4
0,1,24,1,7.3,0,1,11.8,31.2,90,2,0,0,0,0,0,79.0,6,73,False,1,4
0,0,-6,0,16.0,4,0,13.4,0.0,90,15,0,0,0,0,0,119.0,2,73,True,0,4
0,0,4,0,11.1,1,0,1.9,3.4,90,14,0,0,0,0,0,4.0,2,73,False,0,4
0,0,0,1,17.0,0,0,10.1,6.6,90,12,0,0,0,0,0,77.0,2,72,True,0,4
0,0,-5,1,16.0,0,0,4.5,0.0,90,19,0,0,0,0,0,32.0,1,71,False,1,4
0,0,-4,1,0.6,0,0,1.5,0.0,90,18,0,0,0,0,0,17.0,2,70,True,0,4
1,2,39,0,24.2,1,1,10.8,53.6,90,4,0,0,0,0,0,30.0,10,70,False,1,4
0,0,22,0,33.4,3,1,17.3,43.4,90,13,0,0,0,0,0,96.0,5,70,False,1,4
0,0,-6,1,14.6,0,0,8.1,0.0,90,1,0,0,0,0,0,67.0,2,71,True,0,4
0,0,26,0,11.6,2,1,18.1,50.6,90,8,0,0,0,0,0,119.0,6,72,True,0,4
0,3,47,0,25.3,1,2,16.9,67.2,87,9,0,0,0,0,0,76.0,12,73,False,1,4
0,0,2,0,1.0,1,0,4.0,0.0,80,17,0,0,0,0,0,39.0,2,73,True,0,4
0,0,-5,0,0.9,1,0,6.5,0.0,70,3,0,0,0,0,0,69.0,1,74,True,1,4
0,0,3,0,3.3,5,0,2.2,0.0,90,10,0,0,0,0,0,19.0,2,73,False,0,4
0,1,28,1,13.3,0,1,10.6,37.4,90,7,0,0,0,0,0,55.0,7,72,True,0,4
0,0,4,0,5.3,2,0,3.7,0.0,90,11,0,0,0,0,0,34.0,2,72,False,0,4
0,0,-2,0,3.2,3,0,3.8,0.0,90,8,0,0,0,0,0,35.0,2,80,True,0,4
0,0,-15,0,2.5,1,0,0.6,0.0,90,10,0,0,0,0,0,6.0,1,80,False,1,4
0,0,3,0,25.6,2,0,4.3,5.2,90,16,0,0,0,0,0,12.0,1,79,True,1,4
0,0,-4,0,6.3,1,0,4.3,0.0,90,4,0,0,0,0,0,37.0,1,78,False,1,4
0,0,1,0,12.3,1,0,5.2,2.4,90,14,0,0,0,0,0,37.0,2,78,True,0,4
0,0,6,0,13.5,3,0,3.1,11.2,71,11,0,0,0,0,0,6.0,2,77,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,77,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,76,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,76,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,76,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,76,False,0,4
0,0,-1,0,1.5,0,0,1.8,1.2,15,7,0,0,0,0,0,15.0,1,76,True,0,4
0,0,1,0,3.8,1,0,3.0,3.2,45,15,0,0,0,0,0,23.0,1,76,True,0,4
0,0,4,1,3.2,0,0,2.9,4.4,90,3,0,0,0,0,0,21.0,2,76,False,0,4
0,0,1,1,3.1,0,0,6.9,6.2,90,19,0,0,0,0,0,60.0,2,76,False,0,4
0,0,-12,0,25.8,2,0,9.4,1.2,90,2,0,1,0,0,0,67.0,-1,76,True,1,4
0,0,2,0,1.8,1,0,0.3,1.4,90,18,0,0,0,0,0,0.0,2,76,True,0,4
1,3,39,1,32.9,0,1,16.7,57.6,87,9,0,0,0,0,0,76.0,11,76,False,1,4
