assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,3,0,32.5,1,0,6.3,14.2,90,6,0,0,0,0,0,16.0,2,85,False,0,3
0,0,6,1,21.8,0,0,3.6,2.6,67,5,0,0,0,0,0,12.0,3,85,True,0,3
0,0,6,0,43.0,1,0,6.2,7.0,90,9,0,0,0,0,0,12.0,2,84,True,0,3
2,2,35,1,64.2,0,0,15.9,50.6,77,14,0,0,0,0,0,44.0,11,84,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,84,True,0,3
0,0,19,0,45.9,1,0,11.1,11.8,89,12,0,0,0,0,0,53.0,2,83,False,0,3
0,0,13,1,15.6,0,0,4.3,8.2,90,10,0,0,0,0,0,19.0,3,83,True,0,3
1,0,23,0,39.3,1,0,14.2,37.2,90,19,0,0,0,0,0,65.0,5,82,False,0,3
0,0,11,1,20.9,0,0,6.5,10.6,90,2,0,0,0,0,0,33.0,3,82,False,0,3
0,0,13,0,69.8,1,0,12.9,17.2,90,8,0,0,0,0,0,42.0,2,82,True,0,3
0,0,13,0,29.7,1,0,6.7,17.4,90,1,0,0,0,0,0,20.0,2,81,False,0,3
0,0,4,0,17.1,2,0,4.9,4.2,90,20,0,0,0,0,0,28.0,2,81,True,0,3
0,3,33,0,18.3,2,1,9.7,45.2,90,4,0,0,0,0,0,33.0,10,81,False,0,3
1,2,58,1,84.3,0,2,27.7,104.8,90,16,0,0,0,0,0,88.0,18,82,True,0,3
0,0,12,0,45.2,1,0,9.2,18.0,82,11,0,0,0,0,0,29.0,2,83,False,0,3
1,3,61,1,30.8,0,2,20.0,82.0,90,7,0,0,0,0,0,87.0,19,84,True,0,3
0,0,10,0,55.3,1,0,11.6,13.2,90,3,0,0,0,0,0,47.0,2,86,True,0,3
2,2,32,0,70.5,1,0,13.3,26.4,90,13,0,0,0,0,0,36.0,10,86,False,0,3
0,0,26,0,61.8,1,0,8.7,19.4,90,18,0,0,0,0,0,6.0,2,86,False,0,3
2,2,36,1,29.3,0,0,7.6,36.0,90,4,0,0,0,0,0,11.0,11,86,True,0,3
2,1,37,1,53.6,0,0,10.5,32.2,90,19,0,0,0,0,0,19.0,10,86,True,0,3
0,0,8,0,18.5,2,0,2.3,4.8,90,10,0,0,0,0,0,0.0,2,87,False,0,3
0,0,10,1,59.8,0,0,10.9,19.0,90,15,0,0,0,0,0,30.0,3,87,False,0,3
0,0,10,1,66.2,0,0,14.5,18.4,90,12,0,0,0,0,0,60.0,3,88,True,0,3
0,0,3,0,5.8,2,0,0.6,0.0,67,9,0,0,0,0,0,5.0,2,88,False,0,3
2,2,37,1,90.8,0,0,16.5,51.2,90,14,0,0,0,0,0,23.0,11,87,True,0,3
0,0,10,0,59.3,1,0,8.6,5.2,86,6,0,0,0,0,0,21.0,2,87,True,0,3
0,2,27,0,37.3,1,1,9.4,37.6,85,13,0,0,0,0,0,19.0,9,86,True,0,3
0,0,16,1,34.7,0,0,11.4,19.6,90,3,0,0,0,0,0,60.0,3,87,False,0,3
1,3,35,0,39.5,1,1,16.4,45.2,90,16,0,0,0,0,0,79.0,13,87,False,0,3
1,0,27,1,51.7,0,0,9.0,29.8,90,18,0,0,0,0,0,8.0,6,88,True,0,3
1,1,31,1,63.9,0,0,15.7,32.6,86,2,0,0,0,0,0,60.0,7,88,True,0,3
0,3,37,1,61.6,0,1,17.3,49.2,90,5,0,0,0,0,0,62.0,11,88,False,0,3
1,0,13,1,56.0,0,0,11.2,13.4,90,1,0,0,0,0,0,43.0,6,88,True,0,3
0,0,11,0,45.9,1,0,9.4,9.8,90,20,0,0,0,0,0,38.0,2,89,False,0,3
1,3,31,0,77.6,1,0,11.8,27.2,90,11,0,0,0,0,0,13.0,8,89,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,89,False,0,3
2,1,41,0,61.7,1,0,13.8,53.4,90,7,0,0,0,0,0,23.0,9,89,False,0,3
2,3,36,1,50.4,0,0,14.9,48.4,90,13,0,0,0,0,0,50.0,12,95,False,0,3
1,2,23,0,39.8,2,0,6.9,9.0,90,5,0,0,0,0,0,20.0,7,95,True,0,3
0,0,21,1,61.0,0,0,12.7,17.0,87,4,0,0,0,0,0,49.0,3,96,True,0,3
0,0,30,1,18.8,0,1,12.9,42.0,70,7,0,0,0,0,0,68.0,8,96,False,0,3
0,0,19,1,64.0,0,0,10.3,23.8,90,16,0,0,0,0,0,15.0,3,97,True,0,3
0,2,34,0,42.2,1,1,10.8,41.8,72,20,0,0,0,0,0,24.0,9,97,False,0,3
0,0,6,1,16.3,0,0,4.8,6.6,74,8,0,0,0,0,0,25.0,3,97,False,0,3
0,3,36,1,47.8,0,1,14.9,52.2,90,2,0,0,0,0,0,49.0,11,97,True,0,3
0,0,13,0,22.0,1,0,3.4,9.4,80,10,0,0,0,0,0,3.0,2,97,True,0,3
0,0,21,0,28.5,1,0,5.6,16.0,90,12,0,0,0,0,0,11.0,2,97,False,0,3
0,0,13,1,21.5,0,0,4.1,6.0,90,6,0,0,0,0,0,13.0,3,97,True,0,3
0,0,6,0,40.7,2,0,5.9,6.0,90,1,0,0,0,0,0,12.0,2,96,False,0,3
0,0,9,0,27.8,1,0,6.0,7.0,90,19,0,0,0,0,0,25.0,2,95,True,0,3
0,0,10,0,60.8,2,0,8.2,8.2,76,9,0,0,0,0,0,13.0,2,94,False,0,3
1,3,20,0,19.9,1,0,5.9,26.2,63,18,0,0,0,0,0,13.0,8,93,False,0,3
0,1,30,0,27.0,1,1,13.0,60.0,90,15,0,0,0,0,0,43.0,8,93,True,0,3
1,1,27,1,45.0,0,0,9.7,35.6,90,3,0,0,0,0,0,16.0,7,93,True,0,3
0,0,25,0,22.3,4,1,7.2,40.6,90,11,0,0,0,0,0,9.0,7,93,False,0,3
0,0,11,1,38.4,0,0,8.1,15.4,90,4,0,0,0,0,0,27.0,3,93,False,0,3
1,0,20,0,54.3,2,0,10.1,30.8,90,14,0,0,0,0,0,16.0,5,93,True,0,3
1,0,28,1,34.0,0,0,7.8,37.0,90,16,0,0,0,0,0,7.0,6,92,False,0,3
0,0,14,0,43.7,1,0,14.4,24.0,90,20,0,0,0,0,0,76.0,2,92,True,0,3
0,1,35,1,45.0,0,1,10.8,46.2,86,7,0,0,0,0,0,17.0,9,93,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,93,False,0,3
0,2,36,1,81.7,0,1,15.9,51.0,90,12,0,0,0,0,0,26.0,10,92,True,0,3
0,0,15,0,33.4,2,0,6.7,10.0,90,10,0,0,0,0,0,24.0,2,92,False,0,3
0,0,20,1,72.6,0,0,12.8,27.4,90,1,0,0,0,0,0,28.0,3,92,True,0,3
1,0,20,1,42.8,0,0,11.0,21.2,90,6,0,0,0,0,0,46.0,6,93,False,0,3
0,0,18,1,56.9,0,0,11.5,19.8,90,8,0,0,0,0,0,38.0,3,93,True,0,3
1,0,28,0,20.3,1,0,7.7,40.6,90,2,0,0,0,0,0,16.0,5,94,False,0,3
0,2,31,0,31.0,1,1,10.7,52.0,90,5,0,0,0,0,0,24.0,9,94,False,0,3
0,3,53,0,37.1,1,2,16.3,81.2,90,15,0,0,0,0,0,45.0,15,94,False,0,3
0,0,29,0,23.8,3,1,13.2,50.6,90,11,0,0,0,0,0,58.0,7,94,True,0,3
0,0,13,0,48.8,1,0,9.5,15.8,90,3,0,0,0,0,0,30.0,2,94,False,0,3
1,0,22,1,28.2,0,0,6.8,29.2,90,18,0,0,0,0,0,11.0,6,96,True,0,3
0,0,21,0,57.6,1,0,13.0,28.8,90,19,0,0,0,0,0,44.0,2,96,False,0,3
0,0,15,1,30.4,0,0,5.6,16.6,90,13,0,0,0,0,0,9.0,3,96,True,0,3
0,0,18,0,51.2,4,0,9.1,19.2,90,9,0,0,0,0,0,21.0,2,97,True,0,3
0,0,10,0,40.8,0,0,7.1,12.6,26,2,0,0,0,0,0,18.0,1,90,True,0,3
0,0,11,0,13.7,2,0,2.2,6.6,90,11,0,0,0,0,0,2.0,2,90,False,0,3
0,0,9,0,26.6,0,0,5.1,8.0,28,13,0,0,0,0,0,16.0,1,89,True,0,3
0,2,27,0,28.7,2,1,13.9,56.2,90,1,0,0,0,0,0,54.0,8,88,False,1,3
0,0,7,1,29.7,0,0,4.6,9.2,90,7,0,0,0,0,0,7.0,2,88,True,1,3
0,0,1,0,5.4,1,0,0.5,0.0,11,9,0,0,0,0,0,0.0,1,88,False,0,3
1,1,28,0,37.6,1,0,6.8,27.8,90,16,0,0,0,0,0,3.0,6,88,True,0,3
0,0,7,0,5.3,3,0,3.1,10.0,90,4,0,0,0,0,0,16.0,2,88,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,88,True,0,3
0,0,4,0,6.4,2,0,1.0,0.0,87,10,0,0,0,0,0,4.0,2,87,False,0,3
0,0,3,0,9.1,1,0,1.2,0.0,90,8,0,0,0,0,0,4.0,1,87,False,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,87,True,0,3
0,0,2,0,0.1,1,0,0.0,0.0,11,19,0,0,0,0,0,0.0,1,87,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,87,True,0,3
0,0,5,0,11.6,0,0,1.9,5.4,26,12,0,0,0,0,0,2.0,1,86,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,86,True,0,3
1,0,13,0,14.0,0,0,3.1,17.0,1,20,0,0,0,0,0,0.0,4,86,False,0,3
