assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,4,0,11.8,3,0,2.5,5.0,32,12,0,0,0,0,0,8.0,1,75,False,0,3
0,0,3,0,3.5,1,0,1.4,6.2,70,9,0,0,0,0,0,4.0,2,75,True,0,3
1,0,23,0,36.4,2,0,9.7,22.8,83,14,0,0,0,0,0,38.0,5,75,False,0,3
1,0,14,0,4.1,2,0,5.6,11.0,90,15,0,0,0,0,0,41.0,5,75,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,75,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,74,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,73,True,0,3
1,0,16,0,13.5,0,0,3.3,17.4,10,16,0,0,0,0,0,2.0,4,72,False,0,3
0,0,2,0,14.3,0,0,4.5,6.0,26,13,0,0,0,0,0,25.0,1,72,True,0,3
0,3,70,0,40.8,2,3,26.8,117.2,90,5,0,0,0,0,0,110.0,20,71,False,0,3
0,2,36,0,10.3,1,1,12.7,45.6,82,18,0,0,0,0,0,71.0,9,72,False,0,3
0,0,24,1,38.1,0,1,18.6,48.0,79,7,0,0,0,0,0,100.0,8,73,True,0,3
0,0,10,0,16.6,2,0,2.9,6.0,90,11,0,0,0,0,0,6.0,2,74,False,0,3
0,0,-1,0,29.3,1,0,7.7,2.6,90,19,0,0,0,0,0,45.0,2,75,True,0,3
0,0,12,0,24.6,1,0,13.2,13.8,85,2,0,0,0,0,0,94.0,2,75,True,0,3
0,0,-3,0,12.1,3,0,5.4,11.4,90,8,0,0,0,0,0,30.0,2,75,False,0,3
0,0,5,1,2.0,0,0,7.8,3.6,64,3,0,0,0,0,0,72.0,3,74,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,73,False,0,3
0,0,1,0,1.3,1,0,2.6,5.8,23,16,0,0,0,0,0,19.0,1,72,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,71,False,0,3
0,0,1,1,13.2,0,0,8.0,13.2,65,4,0,0,0,0,0,54.0,3,70,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,70,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,69,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,69,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,69,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,69,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,69,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,69,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,69,True,0,3
0,1,22,0,11.5,0,1,10.6,39.8,35,2,0,0,0,0,0,55.0,7,69,False,0,3
0,0,23,0,2.0,1,1,10.9,38.8,90,11,0,0,0,0,0,68.0,7,69,True,0,3
2,0,15,0,16.2,3,0,4.4,0.2,90,19,0,0,0,0,0,28.0,8,70,False,0,3
1,0,19,1,27.4,0,0,9.3,13.6,90,18,0,0,0,0,0,52.0,6,71,True,0,3
0,2,34,0,37.5,2,1,11.6,53.6,90,7,0,0,0,0,0,25.0,9,72,False,0,3
0,0,6,0,15.3,2,0,4.2,1.4,65,15,0,0,0,0,0,25.0,2,73,False,0,3
