assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,13,0,0.2,1,0,2.0,16.2,90,13,0,0,0,0,0,4.0,2,45,False,0,2
0,0,13,0,0.6,2,0,2.4,23.4,90,4,0,0,0,0,0,0.0,1,45,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,45,True,0,2
0,0,8,0,0.3,2,0,1.0,9.4,90,20,0,0,0,0,0,0.0,0,45,False,1,2
0,0,13,0,24.4,1,0,4.6,18.0,90,11,0,0,0,0,0,4.0,2,45,True,0,2
0,0,4,0,0.4,1,0,0.9,8.2,45,3,0,0,0,0,0,0.0,1,45,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,45,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,45,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,44,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,44,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,44,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,44,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,43,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,43,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,43,True,0,2
0,0,6,0,0.1,4,0,0.9,6.4,90,17,0,0,0,0,0,2.0,-1,43,True,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,43,True,0,2
0,0,2,0,0.0,0,0,0.1,1.2,6,2,0,0,0,0,0,0.0,1,43,False,0,2
0,0,9,0,0.3,1,0,2.0,15.8,90,1,0,0,0,0,0,4.0,2,43,False,0,2
0,0,6,0,2.5,1,0,1.0,7.2,90,3,0,0,0,0,0,0.0,1,43,True,1,2
0,0,15,0,0.8,2,0,0.8,7.2,82,11,0,0,0,0,0,0.0,1,43,False,0,2
0,0,3,0,4.0,1,0,0.9,5.0,39,20,0,0,0,0,0,0.0,1,43,True,0,2
