assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,18,1,20.0,0,0,4.6,18.0,90,5,0,0,0,0,0,8.0,5,50,False,1,2
0,0,11,0,1.0,2,0,3.4,15.8,90,6,0,0,0,0,0,17.0,1,50,True,0,2
0,0,19,1,5.3,0,0,2.1,3.2,90,12,0,0,0,0,0,12.0,6,50,True,0,2
0,0,12,0,25.5,1,0,4.5,17.6,90,2,0,0,0,0,0,2.0,2,50,False,0,2
0,0,11,0,0.3,2,0,3.1,30.8,90,20,0,0,0,0,0,0.0,0,50,True,1,2
0,0,10,0,4.9,1,0,3.0,24.8,90,14,0,0,0,0,0,0.0,1,50,False,1,2
0,1,22,0,19.4,1,0,4.7,25.2,90,15,0,0,0,0,0,2.0,3,50,False,0,2
0,0,10,0,1.8,1,0,2.4,14.0,90,17,0,0,0,0,0,8.0,2,49,True,0,2
0,0,8,0,15.3,2,0,3.6,18.6,90,9,0,0,0,0,0,2.0,1,49,False,0,2
0,0,8,0,1.1,4,0,1.1,10.2,90,10,0,0,0,0,0,0.0,-1,49,True,1,2
0,0,8,0,21.6,1,0,7.1,14.2,90,8,0,0,0,0,0,35.0,2,49,False,0,2
0,0,22,1,25.9,0,0,5.0,14.0,90,3,0,0,0,0,0,10.0,6,48,True,0,2
0,0,12,0,18.6,1,0,3.9,7.8,90,7,0,0,0,0,0,13.0,2,48,False,0,2
0,0,7,0,0.9,1,0,2.5,15.4,90,18,0,0,0,0,0,9.0,2,48,True,0,2
0,0,8,0,39.0,1,0,6.2,19.0,90,4,0,0,0,0,0,4.0,1,48,False,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,48,True,0,2
0,0,5,0,13.6,2,0,2.6,6.8,73,11,0,0,0,0,0,6.0,0,48,True,1,2
0,0,13,0,1.3,1,0,2.6,16.4,90,1,0,0,0,0,0,8.0,2,48,False,0,2
0,0,7,0,0.3,1,0,1.3,12.6,90,13,0,0,0,0,0,0.0,1,48,False,1,2
0,0,12,0,0.9,1,0,1.6,14.6,90,7,0,0,0,0,0,0.0,2,48,True,0,2
0,0,11,0,0.7,4,0,1.4,11.4,90,17,0,0,0,0,0,2.0,0,48,False,0,2
0,0,25,1,10.2,0,0,3.4,18.2,90,15,0,0,0,0,0,6.0,6,48,True,0,2
0,0,11,0,13.6,1,0,8.6,33.4,90,12,0,0,0,0,0,39.0,1,48,False,1,2
0,2,30,1,0.2,0,0,3.9,34.4,90,14,0,0,0,0,0,4.0,8,48,True,0,2
0,0,12,0,0.1,2,0,2.3,22.8,90,20,0,0,0,0,0,0.0,1,48,False,0,2
0,0,22,0,11.4,1,1,7.2,47.4,53,2,0,0,0,0,0,13.0,7,48,True,0,2
0,0,16,0,1.5,2,0,5.2,28.0,90,5,0,0,0,0,0,22.0,1,48,True,0,2
0,0,6,0,15.6,3,0,3.5,17.6,90,6,0,0,0,0,0,2.0,0,48,False,1,2
0,3,33,0,0.5,1,2,14.5,76.6,90,1,0,0,0,0,0,68.0,17,48,True,0,2
0,0,23,1,10.9,0,0,3.1,16.4,90,11,0,0,0,0,0,4.0,6,48,False,0,2
0,0,21,0,11.3,2,0,3.9,15.2,90,18,0,0,0,0,0,12.0,1,48,False,0,2
0,0,8,0,2.9,1,0,3.9,14.8,90,13,0,0,0,0,0,21.0,2,48,True,0,2
0,0,7,0,3.0,1,0,2.3,12.4,90,9,0,0,0,0,0,8.0,2,48,True,0,2
0,0,11,0,2.2,1,0,5.5,13.2,90,8,0,0,0,0,0,40.0,2,48,True,0,2
0,0,17,0,1.1,2,1,7.9,43.0,90,3,0,0,0,0,0,35.0,7,48,False,0,2
0,0,9,0,0.8,1,0,2.4,19.4,90,4,0,0,0,0,0,4.0,2,48,True,0,2
0,0,5,0,0.0,3,0,0.6,3.6,90,10,0,0,0,0,0,2.0,0,48,False,1,2
0,0,10,0,14.4,2,0,3.0,15.6,90,16,0,0,0,0,0,0.0,1,49,False,0,2
