assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,6,0,10.5,0,0,1.9,8.0,23,7,0,0,0,0,0,0.0,1,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,45,True,0,3
0,0,17,0,25.7,1,0,3.7,11.4,90,16,0,0,0,0,0,0.0,2,45,True,0,3
0,0,4,0,11.8,4,0,1.8,1.8,90,9,0,0,0,0,0,4.0,1,45,False,1,3
0,0,8,1,2.3,0,0,2.8,3.0,90,3,0,0,0,0,0,23.0,3,45,True,0,3
1,0,17,0,11.3,4,0,3.9,19.4,90,11,0,0,0,0,0,8.0,5,45,False,0,3
0,0,20,1,2.3,0,0,1.5,12.2,90,13,0,0,0,0,0,0.0,3,45,True,0,3
0,0,14,0,3.2,3,0,1.9,15.4,90,4,0,0,0,0,0,0.0,2,45,False,0,3
0,0,3,0,0.0,0,0,0.3,3.2,4,5,0,0,0,0,0,0.0,1,45,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,45,True,0,3
0,0,15,0,12.2,2,0,3.1,10.8,90,18,0,0,0,0,0,8.0,2,45,False,0,3
0,0,11,0,19.9,2,0,3.8,4.0,90,12,0,0,0,0,0,14.0,1,45,True,1,3
0,0,14,0,23.5,2,0,3.8,14.2,90,15,0,0,0,0,0,0.0,2,45,False,0,3
0,0,6,0,1.8,2,0,0.6,2.8,90,10,0,0,0,0,0,1.0,2,45,True,0,3
0,0,10,0,1.7,1,0,1.2,10.6,90,2,0,0,0,0,0,0.0,2,45,False,0,3
0,3,30,0,1.3,2,1,6.8,47.4,90,14,0,0,0,0,0,19.0,10,45,False,0,3
0,0,9,0,3.2,2,0,1.8,7.8,90,6,0,0,0,0,0,7.0,2,45,True,0,3
0,0,12,1,12.3,0,0,3.0,15.8,90,20,0,0,0,0,0,2.0,2,45,True,1,3
0,0,11,1,22.8,0,0,3.3,8.6,90,12,0,0,0,0,0,2.0,3,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,45,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,45,True,0,3
0,0,4,0,0.8,0,0,0.6,5.4,21,16,0,0,0,0,0,0.0,1,45,False,0,3
0,0,5,0,0.0,0,0,0.5,4.6,22,9,0,0,0,0,0,0.0,1,45,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,45,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,44,False,0,3
0,0,4,0,12.1,0,0,2.5,5.8,18,14,0,0,0,0,0,7.0,1,44,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,44,True,0,3
0,0,21,0,2.2,4,0,1.8,15.6,90,6,0,0,0,0,0,0.0,2,44,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,44,False,0,3
