assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,3,0,0.4,0,0,0.4,3.2,39,1,0,0,0,0,0,0.0,1,50,True,0,2
0,0,24,0,1.3,2,0,3.6,14.2,90,20,0,0,0,0,0,20.0,1,50,False,0,2
1,0,18,0,24.9,0,0,5.3,23.8,50,11,0,0,0,0,0,4.0,4,50,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,50,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,50,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,49,False,0,2
0,0,4,0,19.0,0,0,5.4,8.8,19,7,0,0,0,0,0,26.0,1,48,True,0,2
0,0,19,0,0.7,6,1,7.2,47.0,90,9,0,0,0,0,0,24.0,5,48,False,0,2
0,0,10,0,16.5,1,0,3.9,10.8,90,8,0,0,0,0,0,12.0,2,48,True,0,2
0,0,12,0,20.0,1,0,4.4,11.6,90,14,0,0,0,0,0,12.0,2,48,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,48,False,0,2
0,0,0,0,0.5,1,0,0.0,0.0,30,6,0,0,0,0,0,0.0,1,48,True,0,2
0,0,5,0,1.2,1,0,0.9,5.6,59,10,0,0,0,0,0,2.0,1,48,False,0,2
0,0,4,0,0.3,0,0,1.5,6.0,13,15,0,0,0,0,0,9.0,1,47,False,0,2
0,0,5,0,0.0,0,0,0.1,1.0,3,5,0,0,0,0,0,0.0,1,47,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,46,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,46,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,45,True,0,2
0,0,5,0,0.4,1,0,0.5,2.2,29,2,0,0,0,0,0,2.0,1,45,False,0,2
0,0,10,0,25.2,1,0,6.9,14.8,90,1,0,0,0,0,0,29.0,2,45,False,0,2
0,0,2,0,0.2,0,0,0.0,0.2,4,3,0,0,0,0,0,0.0,1,45,True,0,2
0,0,-2,0,1.4,1,0,0.6,0.0,45,11,0,0,0,0,0,5.0,1,45,False,0,2
0,0,4,0,0.3,0,0,1.2,12.0,51,20,0,0,0,0,0,0.0,0,45,True,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,45,True,0,2
0,0,18,1,17.3,0,0,3.2,4.8,62,5,0,0,0,0,0,10.0,6,45,False,0,2
0,0,9,0,19.3,0,0,3.9,11.2,49,15,0,0,0,0,0,8.0,1,45,True,0,2
0,0,7,0,4.6,0,0,1.8,11.4,43,19,0,0,0,0,0,2.0,1,45,True,0,2
0,0,9,0,0.8,4,0,1.5,11.2,90,17,0,0,0,0,0,3.0,0,45,False,0,2
0,0,21,1,15.3,0,0,3.8,13.8,90,16,0,0,0,0,0,9.0,6,45,True,0,2
0,0,14,0,7.3,2,0,5.2,14.2,90,7,0,0,0,0,0,30.0,1,45,False,0,2
0,0,7,0,4.4,1,0,2.1,7.8,90,9,0,0,0,0,0,9.0,2,45,True,0,2
0,0,17,0,16.0,3,0,3.8,17.6,90,8,0,0,0,0,0,4.0,1,45,False,0,2
0,0,15,0,22.3,1,0,4.7,12.2,90,6,0,0,0,0,0,12.0,1,45,False,1,2
0,0,16,0,2.2,4,1,6.4,39.4,90,4,0,0,0,0,0,22.0,6,45,False,0,2
0,0,5,0,0.5,3,0,0.5,4.6,38,10,0,0,0,0,0,0.0,0,45,True,0,2
0,0,4,0,0.3,0,0,0.2,1.4,17,10,0,0,0,0,0,0.0,1,50,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,50,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,49,True,0,2
0,0,21,0,4.4,0,1,5.6,44.2,28,14,0,0,0,0,0,7.0,7,49,False,0,2
0,0,9,0,10.6,6,0,3.6,25.0,90,11,0,0,0,0,0,0.0,-1,49,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,49,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,49,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,49,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,48,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,48,True,0,2
0,0,11,0,7.5,1,0,5.9,22.0,90,4,0,0,0,0,0,29.0,2,48,False,0,2
0,2,25,0,15.0,2,1,9.0,49.2,90,6,0,0,0,0,0,26.0,9,48,False,0,2
0,0,5,0,2.8,4,0,2.7,0.0,90,8,0,0,0,0,0,25.0,-1,48,True,1,2
0,0,9,0,2.5,1,0,1.9,16.8,90,3,0,0,0,0,0,0.0,2,48,False,0,2
0,0,16,0,2.7,1,0,2.3,20.2,90,9,0,0,0,0,0,0.0,2,48,True,0,2
0,0,19,0,17.2,2,0,3.4,15.0,90,16,0,0,0,0,0,2.0,1,48,True,0,2
0,0,17,0,0.6,3,0,1.8,16.4,90,11,0,0,0,0,0,1.0,1,48,False,0,2
1,1,29,0,44.6,2,0,10.0,30.4,90,14,0,0,0,0,0,25.0,5,48,True,0,2
0,0,13,0,1.1,1,0,1.5,13.4,80,9,0,0,0,0,0,0.0,2,48,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,48,False,0,2
0,0,26,0,22.4,1,1,10.9,46.2,90,5,0,0,0,0,0,40.0,8,48,True,0,2
0,0,16,0,7.3,2,0,2.9,17.6,90,20,0,0,0,0,0,4.0,1,48,False,0,2
0,0,23,1,6.3,0,0,4.1,17.8,90,7,0,0,0,0,0,17.0,5,48,True,1,2
0,0,15,1,1.6,0,0,5.2,15.8,90,19,0,0,0,0,0,35.0,6,48,True,0,2
0,0,10,0,11.3,3,0,2.0,5.0,79,1,0,0,0,0,0,4.0,1,48,False,0,2
0,0,3,0,0.2,1,0,0.1,1.2,9,10,0,0,0,0,0,0.0,1,48,False,0,2
0,0,15,0,14.1,2,0,4.6,20.4,90,2,0,0,0,0,0,11.0,1,48,True,0,2
0,0,11,0,16.0,2,0,4.9,8.4,75,4,0,0,0,0,0,25.0,1,48,True,0,2
0,0,11,0,1.8,1,0,2.2,20.0,90,8,0,0,0,0,0,0.0,1,48,False,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,48,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,48,False,0,2
0,0,10,0,1.4,1,0,0.8,7.0,90,13,0,0,0,0,0,0.0,2,48,True,0,2
0,0,24,0,38.9,1,0,7.3,31.6,90,12,0,0,0,0,0,2.0,2,48,False,0,2
0,1,25,1,6.3,0,0,4.3,15.2,90,3,0,0,0,0,0,21.0,7,50,True,0,2
0,0,10,0,6.7,1,0,2.6,16.8,90,4,0,0,0,0,0,2.0,1,50,False,1,2
1,3,26,0,34.3,1,0,7.8,38.2,90,7,0,0,0,0,0,5.0,7,50,True,1,2
0,0,21,0,43.8,1,0,7.6,30.2,90,17,0,0,0,0,0,2.0,2,50,True,0,2
0,0,9,0,0.6,2,0,0.8,7.6,71,14,0,0,0,0,0,0.0,1,50,True,0,2
0,0,14,0,1.8,1,0,2.0,17.8,90,9,0,0,0,0,0,0.0,2,50,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,50,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,50,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,49,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,49,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,49,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,49,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,49,True,0,2
0,0,12,0,14.7,1,0,3.7,20.2,90,15,0,0,0,0,0,2.0,2,49,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,49,True,0,2
0,0,7,0,0.8,2,0,1.3,10.8,90,17,0,0,0,0,0,1.0,1,49,False,0,2
0,0,26,1,29.4,0,0,6.5,34.0,90,3,0,0,0,0,0,2.0,6,49,False,0,2
0,0,20,1,5.3,0,0,2.5,17.8,90,8,0,0,0,0,0,2.0,6,49,True,0,2
0,0,12,0,6.0,1,0,2.2,12.2,90,5,0,0,0,0,0,4.0,2,49,False,0,2
0,0,18,0,2.4,5,0,5.0,29.0,90,12,0,0,0,0,0,19.0,0,49,False,0,2
0,0,15,0,1.6,1,0,1.3,11.6,90,11,0,0,0,0,0,0.0,2,49,True,0,2
0,0,11,0,1.2,3,0,2.3,21.4,90,13,0,0,0,0,0,0.0,1,49,False,0,2
0,0,5,0,11.6,1,0,4.0,4.4,54,14,0,0,0,0,0,24.0,1,49,False,0,2
0,0,4,0,15.0,0,0,2.7,7.8,45,9,0,0,0,0,0,4.0,0,49,True,1,2
0,0,15,0,18.4,1,0,5.2,23.4,90,1,0,0,0,0,0,10.0,2,49,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,49,False,0,2
1,2,24,0,12.3,1,0,6.0,27.8,90,16,0,0,0,0,0,20.0,7,49,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,49,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,49,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,45,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,45,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,44,True,0,2
0,0,11,0,3.0,1,0,2.9,16.0,90,13,0,0,0,0,0,10.0,2,44,False,0,2
0,0,3,0,5.2,0,0,0.9,2.4,12,1,0,0,0,0,0,1.0,1,44,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,44,False,0,2
0,0,5,0,18.4,2,0,2.7,8.4,90,20,1,0,0,0,0,0.0,-1,44,False,0,2
0,3,29,1,28.3,0,0,4.6,18.0,90,15,0,0,0,0,0,0.0,9,43,True,0,2
1,3,36,1,14.8,0,0,5.9,24.6,70,17,0,0,0,0,0,20.0,12,43,False,0,2
0,0,25,1,2.5,0,0,2.2,15.4,90,3,0,0,0,0,0,4.0,6,43,True,0,2
0,0,8,0,25.8,2,0,4.2,11.8,74,6,0,0,0,0,0,4.0,0,43,True,1,2
0,1,31,1,10.4,0,0,3.7,19.4,90,14,0,0,0,0,0,7.0,7,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,44,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,44,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,43,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,42,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,42,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,41,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,41,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,41,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,41,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,41,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,41,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,40,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,40,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,40,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,40,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,40,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,40,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,40,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,40,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,40,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,40,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,40,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,40,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,40,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,40,False,0,2
