assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,13,1,30.2,0,0,5.1,10.8,63,15,0,0,0,0,0,10.0,3,90,True,0,3
0,0,13,0,25.1,1,0,5.3,7.4,90,14,0,0,0,0,0,20.0,2,90,False,0,3
1,0,17,0,75.2,1,0,18.4,32.8,90,20,0,0,0,0,0,76.0,5,89,True,0,3
0,0,20,0,27.8,1,0,4.9,15.6,90,11,0,0,0,0,0,6.0,1,89,False,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,89,True,0,3
0,0,27,0,62.7,1,0,11.0,21.2,90,16,0,0,0,0,0,26.0,2,87,False,0,3
0,0,17,0,51.1,2,0,7.1,15.4,90,17,0,0,0,0,0,4.0,2,87,False,0,3
1,2,27,0,103.3,1,0,17.2,37.6,90,6,0,0,0,0,0,31.0,7,87,True,0,3
0,0,14,0,31.6,1,0,7.4,17.4,90,13,0,0,0,0,0,25.0,2,87,True,0,3
0,0,15,1,33.9,0,0,5.8,8.2,82,19,0,0,0,0,0,16.0,3,87,False,0,3
0,0,16,0,58.8,1,0,11.6,20.2,90,12,0,0,0,0,0,37.0,2,87,True,0,3
0,0,2,0,2.2,0,0,0.2,0.0,24,5,0,0,0,0,0,0.0,1,87,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,87,False,0,3
0,0,10,0,35.1,3,0,8.4,13.6,90,4,0,0,0,0,0,35.0,2,87,True,0,3
1,0,22,0,26.4,4,0,4.7,8.4,90,8,0,0,0,0,0,12.0,5,87,False,0,3
0,2,32,1,12.7,0,1,10.1,42.4,90,18,0,0,0,0,0,46.0,10,87,True,0,3
1,1,21,0,24.9,1,0,4.9,19.0,90,1,0,0,0,0,0,5.0,5,87,True,1,3
1,0,23,1,33.5,0,0,9.3,23.4,86,7,0,0,0,0,0,36.0,6,87,False,0,3
0,0,13,0,26.8,1,0,3.6,5.8,90,9,0,0,0,0,0,3.0,2,87,False,0,3
0,0,-1,0,4.4,1,0,0.8,0.0,45,3,0,0,0,0,0,4.0,0,87,True,1,3
0,0,9,0,54.7,4,0,8.5,16.0,90,6,0,0,0,0,0,14.0,1,87,False,1,3
0,0,18,0,30.8,2,0,6.1,21.4,89,17,0,0,0,0,0,9.0,2,87,True,0,3
0,2,34,1,38.7,0,1,12.2,41.0,79,20,0,0,0,0,0,42.0,10,86,False,0,3
0,2,28,0,55.5,1,0,13.1,21.4,90,16,0,0,0,0,0,54.0,4,86,True,0,3
0,0,13,1,37.1,0,0,8.6,21.4,90,2,0,0,0,0,0,27.0,3,86,False,0,3
1,0,23,1,49.0,0,0,10.6,31.4,90,15,0,0,0,0,0,26.0,6,86,False,0,3
0,0,3,0,25.0,0,0,4.6,7.4,34,14,0,0,0,0,0,14.0,1,86,True,0,3
0,0,16,0,48.2,1,0,7.8,11.8,90,9,0,0,0,0,0,18.0,1,86,True,1,3
1,0,24,0,44.7,2,0,10.1,28.6,88,1,0,0,0,0,0,28.0,5,86,False,0,3
1,1,25,0,91.6,2,0,13.6,21.0,90,4,0,0,0,0,0,23.0,6,86,False,0,3
0,0,17,1,48.4,0,0,9.4,14.2,72,7,0,0,0,0,0,31.0,3,86,True,0,3
1,0,21,1,53.8,0,0,10.5,19.6,80,13,0,0,0,0,0,32.0,6,86,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,86,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,86,False,0,3
0,1,33,1,35.2,0,1,12.6,45.8,67,5,0,0,0,0,0,45.0,9,86,True,0,3
0,1,30,0,71.6,1,1,15.4,49.0,90,8,0,0,0,0,0,33.0,7,86,True,1,3
0,0,14,1,26.2,0,0,4.2,5.2,61,19,0,0,0,0,0,11.0,3,86,True,0,3
0,0,12,1,12.2,0,0,3.1,16.8,90,18,0,0,0,0,0,2.0,3,86,False,0,3
1,2,30,1,77.1,0,0,11.9,35.8,90,3,0,0,0,0,0,6.0,8,80,False,0,3
0,0,12,0,52.5,1,0,9.5,18.8,90,7,0,0,0,0,0,24.0,2,80,True,0,3
1,2,25,0,44.6,1,0,8.2,30.4,90,2,0,0,0,0,0,7.0,6,81,False,1,3
0,0,11,1,13.9,0,0,2.5,6.8,90,10,0,0,0,0,0,4.0,3,81,True,0,3
2,2,42,1,64.7,0,0,19.0,53.4,77,18,0,0,0,0,0,72.0,11,82,False,0,3
2,2,39,1,95.2,0,0,17.1,55.4,90,6,0,0,0,0,0,20.0,11,83,True,0,3
0,0,11,1,17.1,0,0,7.2,8.6,75,5,0,0,0,0,0,46.0,3,84,False,0,3
