assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,was_home,yellow_cards
0,0,0,1,0,90,2,0,0,0,0,1,2,2,False,0
0,0,1,0,0,90,13,0,0,0,0,2,1,6,True,0
0,0,1,0,0,90,7,0,0,0,0,3,2,6,False,0
0,0,0,2,0,90,10,0,0,0,0,4,4,2,True,0
0,0,0,3,0,90,18,0,0,0,0,5,2,1,False,0
0,0,0,1,0,90,8,0,0,0,0,6,2,2,True,0
0,0,0,1,0,90,14,0,0,0,0,7,5,3,True,0
0,1,1,0,0,90,9,0,0,0,0,8,3,8,False,0
0,0,0,4,0,90,4,0,0,0,0,9,2,0,False,0
0,0,1,0,0,90,3,0,0,0,0,10,1,6,True,0
0,0,0,1,0,90,16,0,0,0,0,11,0,2,False,0
0,0,0,1,0,90,1,0,0,0,0,12,0,2,True,0
0,0,0,1,0,90,20,0,0,0,0,13,1,2,True,0
0,0,0,1,0,90,6,0,0,0,0,14,5,2,False,1
0,1,1,0,0,90,17,0,0,0,0,15,4,8,True,0
0,0,0,1,0,90,5,0,0,0,0,16,2,2,False,0
0,0,1,0,0,90,19,0,0,0,0,17,1,6,False,0
0,0,0,1,0,90,15,0,0,0,0,18,3,3,True,0
0,0,0,1,0,90,12,0,0,0,0,19,1,2,True,0
0,0,1,0,0,90,20,0,0,0,0,20,2,6,False,0
0,0,0,1,0,90,9,0,0,0,0,21,3,3,True,0
0,0,0,1,0,90,14,0,0,0,0,22,1,2,False,0
0,0,1,0,0,90,7,0,0,0,0,23,2,6,True,0
0,0,1,0,0,90,8,0,0,0,0,24,1,5,False,1
0,0,1,0,0,90,18,0,0,0,0,25,3,7,True,0
0,0,0,1,0,90,2,0,0,0,0,27,0,2,True,0
0,0,0,1,0,90,12,0,0,0,0,29,2,2,False,0
0,0,1,0,0,90,19,0,0,0,0,30,1,6,True,0
0,0,0,1,0,90,6,0,0,0,0,31,3,3,True,0
0,0,0,0,0,0,15,0,0,0,0,32,0,0,False,0
0,0,1,0,0,90,4,0,0,0,0,33,0,6,True,0
0,0,1,0,0,90,3,0,0,0,0,34,0,6,False,0
0,3,1,0,0,90,10,0,0,0,0,34,6,11,False,0
0,0,0,1,0,90,16,0,0,0,0,35,3,3,True,0
0,0,0,2,0,90,1,0,0,0,0,36,2,1,False,0
0,0,0,2,0,90,17,0,0,0,0,37,4,2,False,0
0,0,0,0,0,0,13,0,0,0,0,37,0,0,False,0
0,0,0,0,0,0,5,0,0,0,0,38,0,0,True,00,0,1,0,0,90,20,0,0,0,0,1,1,6,True,0
0,0,1,0,0,90,16,0,0,0,0,2,1,6,False,0
0,0,1,0,0,90,9,0,0,0,0,3,4,7,True,0
0,0,0,2,0,90,15,0,0,0,0,4,3,2,False,0
0,0,1,0,0,90,7,0,0,0,0,5,3,7,True,0
