assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,12,0,0.0,1,0,1.4,13.6,90,3,0,0,0,0,2,0.0,2,45,False,0,1
0,2,29,1,0.0,0,0,2.2,22.2,90,7,0,0,0,0,4,0.0,9,45,True,0,1
0,0,7,0,0.0,2,0,0.2,1.8,90,9,0,0,0,0,0,0.0,1,45,True,0,1
0,0,14,0,0.0,2,0,2.4,23.6,90,6,0,0,0,0,3,0.0,2,45,False,0,1
0,0,22,0,0.0,1,0,5.9,40.8,90,16,0,0,0,0,6,18.0,4,45,True,0,1
0,0,25,1,0.0,0,0,2.3,22.6,90,8,0,0,0,0,3,0.0,6,45,False,1,1
0,0,12,0,0.0,1,0,1.7,16.8,90,10,0,0,0,0,3,0.0,3,45,True,0,1
0,0,24,1,0.0,0,0,1.8,17.6,90,18,0,0,0,0,2,0.0,6,45,False,0,1
0,0,23,1,0.0,0,0,1.7,17.4,90,1,0,0,0,0,3,0.0,6,46,True,1,1
0,0,15,0,0.0,1,0,2.1,21.4,90,19,0,0,0,0,3,0.0,3,46,False,0,1
0,0,25,1,0.0,0,0,0.1,1.0,90,5,0,0,0,0,1,0.0,6,47,True,0,1
0,0,16,0,0.0,1,0,2.5,25.0,90,17,0,0,0,0,4,0.0,3,47,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,47,True,0,1
0,0,16,0,0.0,1,0,1.6,16.2,90,20,0,0,0,0,3,0.0,3,47,False,0,1
0,0,15,0,0.0,2,0,1.0,10.2,90,13,0,0,0,0,2,0.0,1,47,True,0,1
0,0,16,0,0.0,1,0,2.4,23.8,90,14,0,0,0,0,3,0.0,3,47,False,0,1
0,0,20,1,0.0,0,0,0.3,3.0,90,2,0,0,0,0,0,0.0,6,47,True,0,1
1,3,34,1,0.0,0,0,1.4,14.2,90,4,0,0,0,0,2,0.0,12,48,False,0,1
0,0,10,0,0.0,1,0,0.9,9.2,90,18,0,0,0,0,1,0.0,2,48,True,0,1
0,0,13,0,0.0,2,0,1.1,10.8,90,11,0,0,0,0,2,0.0,1,49,False,0,1
0,0,17,0,0.0,2,0,4.1,41.4,90,10,0,0,0,0,5,0.0,2,49,False,0,1
0,0,25,1,0.0,0,0,1.5,14.8,90,19,0,0,0,0,2,0.0,6,49,True,0,1
0,0,14,0,0.0,1,0,2.2,22.4,90,1,0,0,0,0,3,0.0,3,49,False,0,1
0,3,31,0,0.0,1,0,5.4,54.0,90,11,0,0,1,0,4,0.0,11,49,True,0,1
0,3,29,1,0.0,0,0,2.2,22.4,90,7,0,0,0,0,3,0.0,10,50,False,0,1
0,0,11,0,0.0,1,0,1.1,10.6,90,3,0,0,0,0,1,0.0,2,51,True,0,1
0,0,10,0,0.0,1,0,0.6,5.6,90,4,0,0,0,0,1,0.0,2,51,True,0,1
0,0,28,1,0.0,0,0,3.5,35.4,90,14,0,0,0,0,4,0.0,7,52,True,0,1
0,3,32,1,0.0,0,0,4.7,46.8,90,2,0,0,0,0,6,0.0,11,53,False,0,1
0,0,19,0,0.0,3,0,3.5,35.0,90,13,0,0,0,0,5,0.0,2,53,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,53,False,0,1
0,0,13,0,10.0,1,0,1.9,9.2,90,17,0,0,0,0,1,0.0,2,52,True,0,1
0,0,15,0,0.0,1,0,1.8,17.6,90,5,0,0,0,0,3,0.0,3,52,False,0,1
0,1,24,1,0.0,0,0,1.0,9.6,90,20,0,0,0,0,1,0.0,7,52,True,0,1
0,1,32,1,0.0,0,0,2.7,27.2,90,6,0,0,0,0,4,0.0,8,52,True,0,1
0,0,19,0,0.0,2,0,3.9,39.4,90,9,0,0,0,0,5,0.0,2,52,False,0,1
0,0,9,0,0.0,1,0,1.1,10.6,90,8,0,0,0,0,1,0.0,2,52,True,0,1
