assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,8,0,0.8,3,0,1.4,13.2,90,1,0,0,0,0,0,0.0,0,50,False,1,2
0,0,19,0,4.4,2,0,2.4,19.2,90,3,0,0,0,0,0,0.0,1,50,False,0,2
0,0,5,0,3.1,1,0,2.1,17.4,90,17,0,0,0,0,0,0.0,1,50,False,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,50,True,0,2
0,1,30,0,0.4,1,1,11.0,58.4,90,4,0,0,0,0,0,51.0,9,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,49,True,0,2
0,0,19,0,12.4,1,0,5.2,18.0,90,16,0,0,0,0,0,22.0,2,49,False,0,2
0,1,26,1,0.8,0,0,2.0,19.4,90,11,0,0,0,0,0,0.0,7,49,True,0,2
0,0,15,0,1.3,1,0,5.0,27.4,90,19,0,0,0,0,0,21.0,2,49,True,0,2
0,0,23,0,0.4,2,1,7.0,50.6,90,5,0,0,0,0,0,19.0,7,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,50,True,0,2
0,0,27,1,1.8,0,0,2.1,17.2,90,13,0,0,0,0,0,2.0,6,50,False,0,2
0,0,28,1,14.5,0,0,6.2,38.8,90,15,0,0,0,0,0,9.0,5,50,True,1,2
0,0,18,0,10.7,4,0,4.5,30.2,90,2,0,0,0,0,0,4.0,0,51,False,0,2
0,0,8,0,0.3,2,0,1.0,7.6,45,20,0,0,0,0,0,2.0,0,51,True,0,2
0,0,27,1,2.8,0,0,2.9,26.6,90,12,0,0,0,0,0,0.0,6,51,False,0,2
0,0,27,1,2.9,0,0,3.6,33.4,90,6,0,0,0,0,0,0.0,5,50,False,1,2
0,0,18,0,1.1,1,0,3.3,29.8,90,14,0,0,0,0,0,2.0,2,50,True,0,2
0,2,27,1,0.2,0,0,2.6,21.8,90,10,0,0,0,0,0,4.0,8,50,True,0,2
