assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,was_home,yellow_cards
1,0,0,2,0,67,7,0,0,0,0,1,0,5,False,0
0,0,0,0,0,0,1,0,0,0,0,2,0,0,True,0
0,0,0,0,0,0,16,0,0,0,0,3,0,0,True,0
0,0,0,0,0,0,9,0,0,0,0,4,0,0,False,0
0,0,0,0,0,6,3,0,0,0,0,5,0,1,True,0
0,0,0,0,1,45,11,0,0,0,0,6,0,6,False,0
0,0,0,0,0,25,13,0,0,0,0,7,0,1,True,0
0,0,0,0,0,0,4,0,0,0,0,8,0,0,False,0
0,0,0,1,0,10,5,0,0,0,0,9,0,1,True,0
0,0,0,0,0,0,17,0,0,0,0,10,0,0,False,0
0,0,0,1,0,24,19,0,0,0,0,11,0,1,True,0
0,0,0,0,0,23,18,0,0,0,0,12,0,0,False,1
0,0,0,0,0,15,12,0,0,0,0,13,0,1,True,0
1,0,0,1,0,18,15,0,0,0,0,14,0,4,False,0
0,0,0,1,0,3,10,0,0,0,0,15,0,1,True,0
0,0,0,0,0,0,2,0,0,0,0,16,0,0,False,0
1,0,0,0,0,19,14,0,0,0,0,17,0,4,False,0
0,0,0,1,0,64,6,0,0,0,0,18,0,2,True,0
0,0,1,0,0,79,20,0,0,0,0,19,0,3,True,0
0,0,0,0,0,17,12,0,0,0,0,20,0,1,False,0
0,0,0,0,0,20,4,0,0,0,0,21,0,1,True,0
0,0,0,3,0,90,13,0,0,0,0,22,0,2,False,0
0,0,1,0,0,66,3,0,0,0,0,23,0,3,False,0
0,0,0,1,0,45,11,0,0,0,0,24,0,1,True,0
0,0,0,2,0,90,16,0,0,0,0,25,0,2,False,0
0,0,0,0,0,11,9,0,0,0,0,26,0,1,True,0
0,0,0,0,0,21,7,0,0,0,0,27,0,1,True,0
0,0,0,0,0,0,20,0,0,0,0,29,0,0,False,0
0,0,1,0,0,86,14,0,0,0,0,30,0,3,True,0
0,0,1,0,0,61,15,0,0,0,0,31,0,3,True,0
1,0,0,4,0,60,6,0,0,0,0,32,0,5,False,0
0,0,0,0,0,16,5,0,0,0,0,33,0,1,False,0
0,0,0,0,0,1,1,0,0,0,0,34,0,1,False,0
0,0,0,0,0,0,19,0,0,0,0,35,0,0,False,0
0,0,0,0,0,13,18,0,0,0,0,36,0,1,True,0
0,0,0,0,0,11,10,0,0,0,0,37,0,1,False,0
0,0,0,3,0,25,17,0,0,0,0,37,0,0,True,1
0,0,0,0,0,18,2,0,0,0,0,38,0,1,True,00,0,0,0,0,2,1,0,0,0,0,1,0,1,False,0
0,0,0,0,0,1,3,0,0,0,0,2,0,1,True,0
0,0,0,2,0,30,12,0,0,0,0,3,0,1,False,0
0,0,0,1,0,45,5,0,0,0,0,4,0,1,True,0
0,0,0,0,0,25,8,0,0,0,0,5,0,1,False,0
1,0,0,1,0,29,10,0,0,0,0,6,0,4,True,0
0,0,1,0,0,90,2,0,0,0,0,7,0,3,False,0
0,0,0,0,0,0,19,0,0,0,0,8,0,0,True,0
0,0,0,0,0,3,16,0,0,0,0,9,0,1,False,0
0,2,1,0,1,90,7,0,0,0,0,10,0,10,True,0
