assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
1,0,15,0,9.8,2,0,1.9,4.2,90,8,0,0,0,0,0,5.0,5,65,True,0,4
0,0,1,0,11.3,2,0,2.2,2.8,45,11,0,0,0,0,0,8.0,1,65,False,0,4
0,0,8,0,28.0,1,0,8.0,13.0,90,13,0,0,0,0,0,39.0,2,63,True,0,4
0,0,5,1,4.4,0,0,1.1,0.4,61,19,0,0,0,0,0,6.0,3,63,False,0,4
0,0,12,1,40.1,0,0,9.5,8.4,87,4,0,0,0,0,0,46.0,2,62,True,1,4
0,0,8,0,6.3,1,0,3.0,6.6,86,14,0,0,0,0,0,17.0,2,62,False,0,4
0,0,0,1,3.3,0,0,0.6,0.6,76,16,0,0,0,0,0,2.0,2,61,True,1,4
0,0,11,1,24.8,0,0,3.7,7.8,86,7,0,0,0,0,0,4.0,3,61,False,0,4
0,0,-3,0,11.8,2,0,3.3,5.4,90,18,0,0,0,0,0,16.0,1,60,True,1,4
0,0,4,0,1.8,0,0,4.2,6.8,29,3,0,0,0,0,0,33.0,1,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,59,True,0,4
0,0,-4,0,0.5,1,0,2.8,0.0,29,1,0,0,0,0,0,28.0,1,59,False,0,4
0,0,2,0,1.8,0,0,2.2,3.6,15,10,0,0,0,0,0,17.0,1,59,True,0,4
0,0,6,0,21.8,1,0,3.0,8.2,24,5,0,0,0,0,0,0.0,1,59,False,0,4
0,1,26,0,2.2,1,1,7.4,37.2,87,6,0,0,0,0,0,35.0,8,59,True,0,4
1,2,29,0,13.3,1,1,11.4,40.4,90,15,0,0,0,0,0,60.0,11,59,False,1,4
1,0,17,0,10.0,0,0,3.2,16.2,45,2,0,0,0,0,0,6.0,4,59,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,59,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,59,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,59,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,59,True,0,4
0,0,3,0,1.0,2,0,0.1,0.4,58,13,0,0,0,0,0,0.0,1,59,False,0,4
0,3,53,0,12.3,3,3,20.1,108.8,90,11,0,0,0,0,0,80.0,19,59,True,1,4
1,0,25,1,38.3,0,0,10.6,35.2,88,19,0,0,0,0,0,32.0,6,60,True,0,4
1,0,12,0,13.1,1,0,5.4,1.6,76,8,0,0,0,0,0,39.0,5,60,False,0,4
0,0,3,0,17.2,1,0,4.4,4.6,68,15,0,0,0,0,0,22.0,1,60,True,1,4
0,0,4,0,4.2,1,0,2.0,1.8,65,2,0,0,0,0,0,14.0,1,61,False,1,4
0,0,5,1,13.8,0,0,4.6,6.2,65,10,0,0,0,0,0,26.0,3,61,False,0,4
1,2,40,0,12.0,0,1,10.9,56.4,46,5,0,0,0,0,0,41.0,11,61,True,0,4
1,1,19,1,14.8,0,0,3.7,22.4,81,6,0,0,0,0,0,0.0,6,61,False,1,4
0,0,11,0,17.4,2,0,5.1,9.6,90,4,0,0,0,0,0,24.0,2,61,False,0,4
0,1,22,0,2.3,1,1,5.9,39.4,72,14,0,0,0,0,0,17.0,8,61,True,0,4
0,0,6,0,2.6,3,0,3.0,1.0,86,16,0,0,0,0,0,26.0,2,61,False,0,4
0,0,-3,1,7.1,0,0,6.9,0.0,90,3,0,0,0,0,0,63.0,3,62,True,0,4
0,0,25,1,1.8,0,1,6.8,43.6,77,1,0,0,0,0,0,23.0,8,62,True,0,4
1,3,35,0,18.2,1,1,13.6,55.0,90,18,0,0,0,0,0,63.0,12,62,False,1,4
0,0,-3,1,12.8,0,0,7.8,4.8,90,9,0,0,0,0,0,60.0,2,63,True,1,4
0,0,-8,0,22.4,2,0,6.6,7.2,90,12,0,0,0,0,0,36.0,1,63,False,1,4
0,0,4,1,12.3,0,0,3.9,1.6,75,9,0,0,0,0,0,25.0,2,65,False,0,4
0,0,-2,0,13.3,1,0,2.8,3.0,85,12,0,0,0,0,0,12.0,2,65,True,0,4
0,0,10,0,14.5,1,0,8.3,8.4,90,5,0,0,0,0,0,60.0,2,65,True,0,4
0,0,2,0,0.8,1,0,0.1,0.6,22,8,0,0,0,0,0,0.0,1,64,False,0,4
0,0,7,0,4.8,5,0,3.6,7.4,90,6,0,0,0,0,0,24.0,2,63,True,0,4
0,3,25,0,18.0,1,1,13.7,45.2,90,7,0,0,0,0,0,74.0,9,62,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,62,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,62,False,0,4
0,0,4,0,11.2,0,0,2.4,4.4,28,16,0,0,0,0,0,8.0,1,61,True,0,4
0,0,5,0,5.5,1,0,6.0,14.0,69,13,0,0,0,0,0,40.0,2,61,False,0,4
0,0,6,0,48.3,1,0,13.4,10.2,90,1,0,0,0,0,0,75.0,1,61,False,1,4
0,0,-9,1,8.0,0,0,11.5,11.6,82,2,0,0,0,0,0,95.0,1,61,True,1,4
1,0,21,0,41.6,1,0,8.7,18.8,88,3,0,0,0,0,0,27.0,5,61,False,0,4
0,0,5,0,10.0,1,0,3.4,1.6,90,15,0,0,0,0,0,22.0,2,61,True,0,4
0,0,7,1,18.5,0,0,7.0,13.4,71,19,0,0,0,0,0,38.0,1,61,True,1,4
0,3,48,0,5.8,2,2,16.9,68.0,76,4,0,0,0,0,0,95.0,13,61,False,0,4
0,0,12,0,25.7,2,0,8.4,5.0,90,17,0,0,0,0,0,53.0,2,61,True,0,4
0,0,8,0,5.7,1,0,2.7,3.2,76,14,0,0,0,0,0,18.0,2,61,False,0,4
0,0,2,0,14.5,2,0,5.3,4.4,78,11,0,0,0,0,0,34.0,2,61,True,0,4
0,0,6,0,0.9,1,0,2.5,7.2,71,10,0,0,0,0,0,17.0,2,61,False,0,4
