assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,3,0,10.0,2,0,2.2,11.6,8,17,0,0,0,0,0,0.0,1,45,False,0,3
0,2,33,0,13.6,2,1,7.5,46.0,90,3,0,0,0,0,0,15.0,9,45,True,0,3
0,0,6,1,0.6,0,0,1.1,10.6,90,8,0,0,0,0,0,0.0,3,45,True,0,3
0,0,7,1,1.4,0,0,1.0,7.2,70,7,0,0,0,0,0,1.0,2,46,False,1,3
0,0,7,0,14.9,0,0,1.9,4.2,9,19,0,0,0,0,0,0.0,1,46,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,46,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,46,True,0,3
0,0,20,0,0.6,1,1,4.0,32.6,12,14,0,0,0,0,0,7.0,6,45,False,0,3
0,0,2,0,1.9,0,0,1.3,2.0,14,4,0,0,0,0,0,9.0,1,45,True,0,3
0,0,13,0,4.9,3,0,3.3,8.2,90,11,0,0,0,0,0,20.0,2,45,False,0,3
0,0,8,1,3.3,0,0,1.2,8.4,72,10,0,0,0,0,0,0.0,3,45,True,0,3
0,0,15,0,3.4,2,0,2.7,8.2,90,20,0,0,0,0,0,15.0,2,45,False,0,3
0,0,11,1,3.8,0,0,5.5,10.6,90,13,0,0,0,0,0,41.0,3,45,True,0,3
0,0,20,0,0.8,2,0,1.4,10.8,90,12,0,0,0,0,0,2.0,2,45,False,0,3
0,0,6,0,4.2,0,0,7.0,13.2,32,6,0,0,0,0,0,53.0,1,45,False,0,3
0,0,2,0,1.6,4,0,2.5,2.4,90,9,0,0,0,0,0,21.0,2,45,True,0,3
0,0,3,0,1.2,1,0,0.6,4.6,24,15,0,0,0,0,0,0.0,1,45,False,0,3
0,0,11,0,21.8,3,0,4.6,4.0,90,16,0,0,0,0,0,20.0,2,44,True,0,3
0,0,8,1,4.2,0,0,2.1,12.2,90,14,0,0,0,0,0,5.0,2,44,True,1,3
0,0,12,0,17.7,3,0,4.9,19.2,90,18,0,0,0,0,0,12.0,2,44,False,0,3
1,2,27,0,26.7,1,0,10.4,36.2,90,5,0,0,0,0,0,41.0,7,44,False,0,3
0,0,7,0,2.1,5,0,1.0,5.8,64,11,0,0,0,0,0,2.0,2,44,True,0,3
1,0,14,0,11.0,0,0,4.0,22.0,22,4,0,0,0,0,0,7.0,4,44,False,0,3
0,1,18,0,2.4,0,1,7.6,41.0,34,18,0,0,0,0,0,33.0,6,44,True,1,3
0,0,10,0,24.6,2,0,4.7,20.8,90,3,0,0,0,0,0,2.0,1,44,False,1,3
0,0,16,0,16.6,3,0,6.5,18.2,90,17,0,0,0,0,0,30.0,2,44,True,0,3
0,0,9,0,4.7,2,0,1.9,12.0,90,16,0,0,0,0,0,2.0,2,44,False,0,3
0,0,7,0,4.1,4,0,0.8,3.8,90,9,0,0,0,0,0,0.0,2,44,False,0,3
0,0,7,1,3.4,0,0,1.3,9.6,90,15,0,0,0,0,0,0.0,2,44,True,1,3
0,0,15,0,16.5,2,0,4.0,23.6,90,6,0,0,0,0,0,0.0,2,44,True,0,3
0,0,6,0,5.6,1,0,2.4,18.6,90,13,0,0,0,0,0,0.0,1,44,False,1,3
0,0,13,0,2.9,1,0,1.3,9.0,90,20,0,0,0,0,0,1.0,2,44,True,0,3
0,0,11,0,12.4,2,0,4.3,14.0,90,10,0,0,0,0,0,17.0,2,43,False,0,3
