assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,3,0,0.3,2,0,2.3,1.2,75,17,0,0,0,0,0,21.0,2,65,True,0,4
0,0,1,0,1.5,1,0,2.0,0.0,51,8,0,0,0,0,0,18.0,1,65,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,64,True,0,4
0,0,-1,0,0.0,0,0,0.0,0.0,12,16,0,0,0,0,0,0.0,0,63,False,1,4
0,0,2,0,10.3,0,0,1.3,1.0,12,15,0,0,0,0,0,2.0,1,63,True,0,4
0,0,3,0,0.3,0,0,2.2,3.0,19,3,0,0,0,0,0,19.0,1,62,False,0,4
0,0,-2,0,1.0,0,0,0.0,0.0,11,10,0,0,0,0,0,0.0,1,62,True,0,4
0,0,3,0,16.8,1,0,4.1,2.2,22,14,0,0,0,0,0,22.0,1,61,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,61,True,0,4
0,0,3,0,1.3,0,0,2.1,3.0,7,4,0,0,0,0,0,17.0,1,61,False,0,4
0,0,7,0,47.3,1,0,11.3,9.2,90,2,0,0,0,0,0,56.0,2,61,True,0,4
0,1,28,0,7.0,4,1,6.1,32.6,76,12,0,0,0,0,0,21.0,7,61,False,0,4
0,0,4,0,7.5,3,0,1.8,2.8,90,18,0,0,0,0,0,8.0,2,61,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,61,False,0,4
0,0,29,0,15.1,3,1,7.1,38.4,90,5,0,0,0,0,0,17.0,6,61,False,0,4
1,3,48,0,12.9,3,1,10.3,53.8,90,9,0,0,0,0,0,36.0,12,61,True,0,4
0,0,6,0,2.4,1,0,4.4,6.6,90,7,0,0,0,0,0,35.0,2,61,True,0,4
0,0,5,0,10.5,0,0,1.8,3.2,23,1,0,0,0,0,0,4.0,1,61,False,0,4
0,0,5,0,14.4,2,0,3.2,1.4,75,20,0,0,0,0,0,16.0,2,61,False,0,4
0,0,-4,0,0.3,0,0,0.9,0.0,28,11,0,0,0,0,0,12.0,0,61,True,1,4
0,0,4,1,15.3,0,0,7.7,8.2,90,3,0,0,0,0,0,53.0,2,61,True,0,4
0,0,3,0,10.3,0,0,1.3,2.2,26,15,0,0,0,0,0,0.0,1,61,False,0,4
0,0,1,0,12.0,1,0,4.4,6.6,63,16,0,0,0,0,0,25.0,2,61,True,0,4
0,0,-1,0,0.7,1,0,0.5,0.0,14,11,0,0,0,0,0,6.0,1,61,False,0,4
0,0,3,0,0.0,0,0,0.1,1.0,5,4,0,0,0,0,0,0.0,1,61,True,0,4
0,0,5,0,8.7,1,0,3.3,4.8,90,6,0,0,0,0,0,19.0,2,61,False,0,4
1,0,21,1,21.5,0,0,6.4,31.4,79,12,0,0,0,0,0,11.0,5,61,True,0,4
0,3,51,1,25.3,0,2,21.4,73.6,77,2,0,0,0,0,0,115.0,13,61,False,0,4
0,0,3,0,3.5,2,0,1.1,0.2,65,10,0,0,0,0,0,7.0,2,61,False,0,4
1,0,15,1,15.1,0,0,4.7,21.0,68,14,0,0,0,0,0,11.0,5,61,True,0,4
0,0,-3,1,25.6,0,0,7.9,0.2,74,8,0,0,0,0,0,53.0,2,61,True,0,4
0,0,-4,1,2.5,0,0,1.8,0.0,69,9,0,0,0,0,0,18.0,1,61,False,1,4
0,0,2,0,2.6,1,0,0.9,0.4,62,1,0,0,0,0,0,6.0,2,61,True,0,4
0,0,0,0,1.8,0,0,1.0,0.0,27,7,0,0,0,0,0,10.0,1,61,False,0,4
0,0,0,0,3.1,1,0,5.3,2.0,64,19,0,0,0,0,0,48.0,2,61,True,0,4
0,0,2,0,12.8,2,0,4.5,0.0,90,18,0,0,0,0,0,33.0,2,61,False,0,4
0,0,2,0,0.7,1,0,5.3,3.0,75,17,0,0,0,0,0,49.0,2,61,False,0,4
0,1,32,0,23.2,0,1,10.2,39.0,47,5,0,0,0,0,0,40.0,6,61,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,50,True,0,4
0,0,3,0,0.0,0,0,0.0,0.0,5,6,0,0,0,0,0,0.0,1,50,False,0,4
0,0,2,0,0.1,0,0,0.0,0.0,1,20,0,0,0,0,0,0.0,1,50,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,50,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,50,True,0,4
0,0,5,0,0.0,0,0,0.2,2.0,18,2,0,0,0,0,0,0.0,1,50,False,0,4
0,0,2,0,0.3,1,0,0.2,2.0,21,11,0,0,0,0,0,0.0,1,50,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,50,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,50,True,0,4
0,0,0,0,0.4,0,0,0.6,0.0,19,5,0,0,0,0,0,7.0,1,50,False,0,4
0,0,3,0,0.0,0,0,0.0,0.0,13,7,0,0,0,0,0,0.0,1,50,True,0,4
0,0,-1,0,0.8,4,0,0.7,0.0,58,12,0,0,0,0,0,6.0,1,50,False,0,4
0,0,2,0,1.6,0,0,0.4,0.0,16,8,0,0,0,0,0,2.0,1,50,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,50,True,0,4
1,0,16,0,25.2,1,0,5.2,25.2,27,20,0,0,0,0,0,2.0,4,50,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,50,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,50,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,50,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,50,False,0,4
0,0,5,0,0.5,0,0,0.3,2.0,19,7,0,0,0,0,0,0.0,1,50,False,0,4
0,0,0,1,14.9,0,0,6.8,6.4,90,5,0,0,0,0,0,47.0,1,50,True,1,4
0,0,-5,1,0.8,0,0,9.6,6.6,90,16,0,0,0,0,0,89.0,2,50,False,0,4
