assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,3,0,0.0,0,0,0.0,0.0,1,2,0,0,0,0,0,0.0,1,45,True,0,3
0,0,15,1,5.3,0,0,2.1,15.8,83,16,0,0,0,0,0,0.0,3,60,True,0,3
1,0,18,0,26.8,2,0,6.3,7.6,90,1,0,0,0,0,0,29.0,5,60,False,0,3
1,0,17,1,30.4,0,0,7.2,21.2,85,20,0,0,0,0,0,20.0,6,60,False,0,3
0,0,10,0,19.3,3,0,3.7,4.8,90,10,0,0,0,0,0,13.0,2,60,True,0,3
0,0,4,0,6.3,1,0,1.8,7.6,90,4,0,0,0,0,0,4.0,2,60,False,0,3
1,0,26,1,35.0,0,0,6.6,25.2,78,14,0,0,0,0,0,6.0,6,60,True,0,3
0,0,6,0,30.2,2,0,4.9,11.2,90,2,0,0,0,0,0,8.0,2,60,False,0,3
0,0,15,1,2.3,0,0,1.9,12.6,90,8,0,0,0,0,0,4.0,3,60,True,0,3
1,0,18,0,17.2,2,0,6.8,25.0,90,9,0,0,0,0,0,26.0,5,60,False,0,3
0,1,29,0,26.3,4,1,10.5,50.0,90,6,0,0,0,0,0,29.0,8,60,True,0,3
0,0,-3,0,1.3,3,0,0.1,0.0,58,15,0,0,0,0,0,0.0,1,60,False,0,3
1,0,27,1,66.0,0,0,11.2,38.8,90,19,0,0,0,0,0,7.0,6,60,True,0,3
0,0,7,1,25.8,0,0,2.9,3.2,90,18,0,0,0,0,0,0.0,3,60,False,0,3
0,0,8,0,33.9,2,0,8.6,16.2,90,7,0,0,0,0,0,36.0,1,60,True,1,3
0,0,8,0,0.3,3,0,3.6,11.0,74,11,0,0,0,0,0,25.0,2,60,True,0,3
0,0,21,0,35.0,5,0,5.5,20.0,90,17,0,0,0,0,0,0.0,2,60,False,0,3
0,0,19,1,32.8,0,0,6.2,22.6,90,13,0,0,0,0,0,7.0,3,60,True,0,3
0,0,1,1,4.8,0,0,0.6,1.0,81,3,0,0,0,0,0,0.0,2,60,False,1,3
0,0,10,0,43.3,1,0,5.4,10.4,90,8,0,0,0,0,0,0.0,2,60,False,0,3
0,0,4,0,11.6,2,0,2.5,7.4,90,12,0,0,0,0,0,6.0,1,60,True,1,3
0,0,17,0,30.9,2,0,4.2,9.6,90,2,0,0,0,0,0,1.0,2,60,True,0,3
0,0,13,0,15.7,3,0,4.2,16.0,90,6,0,0,0,0,0,10.0,1,60,False,1,3
0,0,9,0,20.0,1,0,3.9,7.4,90,9,0,0,0,0,0,12.0,2,60,True,0,3
0,0,10,1,1.8,0,0,1.7,13.8,90,12,0,0,0,0,0,1.0,3,60,False,0,3
0,0,22,1,68.8,0,0,10.8,21.8,90,1,0,0,0,0,0,17.0,3,60,True,0,3
0,0,13,0,26.1,1,0,4.8,19.6,90,16,0,0,0,0,0,2.0,2,60,False,0,3
1,3,44,1,40.0,0,1,12.8,71.2,90,3,0,0,0,0,0,17.0,14,60,True,0,3
0,0,1,1,19.3,0,0,2.8,8.8,90,13,0,0,0,0,0,0.0,3,60,False,0,3
0,2,21,0,37.1,1,0,9.0,24.0,90,17,0,0,0,0,0,29.0,4,60,True,0,3
0,0,4,0,0.8,5,0,1.0,8.2,90,11,0,0,0,0,0,1.0,2,61,False,0,3
1,0,21,1,35.3,0,0,6.7,28.4,90,18,0,0,0,0,0,3.0,5,61,True,1,3
0,0,12,1,3.4,0,0,6.4,12.4,90,7,0,0,0,0,0,48.0,3,61,False,0,3
0,0,7,0,10.5,1,0,2.5,8.0,90,15,0,0,0,0,0,6.0,2,61,True,0,3
0,0,17,1,33.3,0,0,5.3,18.0,90,19,0,0,0,0,0,2.0,3,61,False,0,3
0,0,12,0,10.8,1,0,5.1,20.4,90,10,0,0,0,0,0,20.0,2,60,False,0,3
0,0,7,0,7.1,1,0,1.8,2.6,90,20,0,0,0,0,0,8.0,2,60,True,0,3
0,0,18,1,45.6,0,0,9.7,21.6,90,14,0,0,0,0,0,30.0,3,60,False,0,3
0,0,21,0,71.0,2,0,9.5,20.8,90,4,0,0,0,0,0,3.0,2,60,True,0,3
