assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,24,1,0.0,0,0,1.5,14.8,90,3,0,0,0,0,2,0.0,6,55,False,0,1
0,0,8,0,0.0,1,0,0.8,8.2,90,7,0,0,0,0,1,0.0,2,55,True,0,1
0,0,12,0,0.0,1,0,1.4,14.0,90,2,0,0,0,0,2,0.0,2,55,False,0,1
0,0,11,0,0.0,0,0,2.2,22.4,45,10,0,0,0,0,3,0.0,2,55,True,0,1
0,0,23,1,0.0,0,0,1.2,12.2,90,18,0,0,0,0,1,0.0,6,55,False,0,1
0,0,21,1,0.0,0,0,0.2,1.8,90,6,0,0,0,0,0,0.0,6,55,True,0,1
0,2,28,1,0.0,0,0,2.1,21.4,90,5,0,0,0,0,2,0.0,8,55,False,0,1
0,0,7,0,0.0,2,0,0.3,3.4,90,15,0,0,0,0,0,0.0,1,55,True,0,1
0,0,23,1,0.0,0,0,0.4,4.4,90,4,0,0,0,0,0,0.0,6,55,True,0,1
0,0,17,0,0.0,2,0,2.1,21.4,90,19,0,0,0,0,2,0.0,1,55,False,0,1
0,0,12,0,0.0,1,0,1.6,15.8,90,1,0,0,0,0,2,0.0,2,55,True,0,1
0,0,22,1,0.0,0,0,0.5,5.0,90,9,0,0,0,0,1,0.0,6,55,False,0,1
0,0,9,0,0.0,1,0,0.4,3.6,90,8,0,0,0,0,0,0.0,2,55,False,0,1
0,0,12,0,0.0,1,0,1.0,10.4,90,14,0,0,0,0,1,0.0,2,55,True,0,1
0,0,15,0,0.0,1,0,1.9,19.4,90,20,0,0,0,0,3,0.0,3,55,True,0,1
0,0,17,0,0.0,1,0,3.2,31.8,90,12,0,0,0,0,4,0.0,3,55,False,0,1
0,0,31,1,10.0,0,0,3.3,22.8,90,16,0,0,0,0,3,0.0,7,55,False,0,1
0,0,12,0,0.0,1,0,0.7,7.2,90,17,0,0,0,0,1,0.0,2,55,True,0,1
0,0,21,1,0.0,0,0,1.2,11.6,90,2,0,0,0,0,1,0.0,6,55,True,0,1
0,0,23,1,0.0,0,0,1.0,9.8,90,13,0,0,0,0,1,0.0,6,55,False,0,1
0,3,39,1,0.0,0,0,3.3,33.2,90,6,0,0,1,0,1,0.0,14,55,False,0,1
0,0,19,0,0.0,1,0,2.8,28.4,90,18,0,0,0,0,3,0.0,3,55,True,0,1
0,0,18,0,0.0,4,0,1.8,18.0,90,10,0,0,0,0,3,0.0,1,55,False,0,1
0,0,14,0,0.0,1,0,2.4,24.4,90,13,0,0,0,0,3,0.0,3,55,True,0,1
0,0,22,1,0.0,0,0,1.2,11.6,90,19,0,0,0,0,1,0.0,6,56,True,0,1
0,0,13,0,0.0,1,0,2.1,20.6,90,4,0,0,0,0,2,0.0,2,56,False,0,1
0,0,10,0,0.0,1,0,1.3,12.8,90,9,0,0,0,0,1,0.0,2,56,True,0,1
0,3,46,1,0.0,0,0,5.4,53.6,90,1,0,0,1,0,5,0.0,15,56,False,0,1
0,0,21,1,0.0,0,0,0.3,3.4,90,5,0,0,0,0,0,0.0,6,56,True,0,1
0,1,28,1,0.0,0,0,0.9,8.6,90,15,0,0,0,0,1,0.0,7,56,False,0,1
0,0,10,0,0.0,1,0,1.3,12.6,90,7,0,0,0,0,1,0.0,2,56,False,0,1
0,0,11,0,0.0,3,0,0.8,8.0,90,12,0,0,0,0,1,0.0,1,56,True,0,1
0,0,15,0,0.0,1,0,1.8,17.8,90,17,0,0,0,0,2,0.0,2,56,False,0,1
0,0,21,1,0.0,0,0,0.8,7.6,90,16,0,0,0,0,1,0.0,6,56,True,0,1
0,0,7,0,0.0,1,0,0.5,5.2,90,20,0,0,0,0,0,0.0,2,57,False,0,1
0,1,27,1,0.0,0,0,1.9,19.0,90,8,0,0,0,0,3,0.0,8,57,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,57,True,0,1
0,0,-3,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,-1,57,False,1,1
0,1,27,1,0.0,0,0,2.1,21.4,90,1,0,0,0,0,3,0.0,8,55,False,0,1
1,0,18,0,10.0,1,0,3.0,19.8,90,10,0,0,0,0,0,0.0,5,55,True,0,1
0,0,9,0,0.0,1,0,1.2,12.0,90,20,0,0,0,0,1,0.0,2,56,False,0,1
0,0,11,0,0.0,1,0,1.1,10.6,90,15,0,0,0,0,1,0.0,2,56,True,0,1
0,0,26,1,10.0,0,0,2.7,17.4,90,9,0,0,0,0,3,0.0,7,56,True,0,1
0,0,25,1,0.0,0,0,1.6,16.4,90,5,0,0,0,0,2,0.0,6,56,False,0,1
0,0,21,1,0.0,0,0,1.0,10.0,90,3,0,0,0,0,1,0.0,6,57,True,0,1
0,1,28,1,0.0,0,0,2.0,20.4,90,12,0,0,0,0,2,0.0,7,57,False,0,1
0,0,24,1,0.0,0,0,0.7,6.6,90,4,0,0,0,0,0,0.0,6,57,True,0,1
0,2,26,1,0.0,0,0,1.3,12.8,90,17,0,0,0,0,1,0.0,8,57,False,0,1
0,0,13,0,0.0,1,0,2.7,27.0,90,16,0,0,0,0,5,0.0,3,58,True,0,1
0,0,4,0,0.0,1,0,0.0,0.0,90,14,0,0,0,0,0,0.0,2,58,True,0,1
