assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,45,True,0,2
0,0,10,0,1.4,3,0,1.6,10.6,90,14,0,0,0,0,0,4.0,1,45,False,0,2
0,0,22,1,0.8,0,0,1.8,17.0,90,17,0,0,0,0,0,0.0,6,45,False,0,2
0,0,12,0,1.4,1,0,0.6,2.4,77,18,0,0,0,0,0,2.0,2,45,True,0,2
0,0,8,0,4.3,2,0,3.7,10.6,66,10,0,0,0,0,0,22.0,1,45,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,45,True,0,2
0,0,12,0,1.4,5,0,1.5,11.8,90,9,0,0,0,0,0,2.0,0,45,False,0,2
0,0,2,0,0.0,0,0,0.0,0.0,1,12,0,0,0,0,0,0.0,1,45,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,45,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,45,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,45,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,44,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,44,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,44,True,0,2
0,0,6,0,0.5,0,0,0.8,7.2,2,15,0,0,0,0,0,0.0,1,44,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,44,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,44,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,43,True,0,2
0,0,4,0,0.0,0,0,0.5,5.0,2,12,0,0,0,0,0,0.0,1,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,43,True,0,2
0,0,4,0,0.3,1,0,0.2,1.6,45,9,0,0,0,0,0,0.0,1,43,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,43,False,0,2
0,0,24,1,0.8,0,0,1.3,10.4,70,6,0,0,0,0,0,2.0,6,43,True,0,2
0,0,3,0,1.2,0,0,0.2,0.6,28,8,0,0,0,0,0,0.0,1,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,43,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,43,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,43,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,43,True,0,2
0,0,7,0,1.2,1,0,1.9,16.0,90,3,0,0,0,0,0,2.0,2,43,False,0,2
1,2,23,0,13.3,2,0,4.6,28.2,90,19,0,0,0,0,0,4.0,6,43,True,0,2
0,0,10,0,0.3,4,0,2.1,20.6,83,11,0,0,0,0,0,0.0,0,43,False,0,2
0,0,2,0,0.2,1,0,0.0,0.0,11,18,0,0,0,0,0,1.0,1,43,False,0,2
0,0,16,0,1.2,3,0,1.7,16.2,90,17,0,0,0,0,0,0.0,1,43,True,0,2
0,0,22,1,0.5,0,0,2.7,26.2,90,4,0,0,0,0,0,0.0,6,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,43,True,0,2
