assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,8,0,1.0,1,0,1.4,13.4,55,6,0,0,0,0,0,0.0,1,55,False,0,3
0,0,8,1,21.7,0,0,5.3,11.2,90,5,0,0,0,0,0,20.0,2,55,True,1,3
0,0,13,0,16.9,1,0,3.8,20.8,90,9,0,0,0,0,0,0.0,2,55,True,0,3
0,0,10,1,5.8,0,0,2.5,9.2,90,14,0,0,0,0,0,10.0,3,54,False,0,3
0,0,11,1,4.6,0,0,1.3,1.0,76,15,0,0,0,0,0,7.0,3,54,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,53,False,0,3
0,0,3,0,0.3,0,0,0.1,0.4,19,10,0,0,0,0,0,0.0,1,53,True,0,3
0,0,4,0,0.3,1,0,0.7,6.8,31,19,0,0,0,0,0,0.0,1,52,False,0,3
0,0,14,1,0.4,0,0,2.2,15.6,90,2,0,0,0,0,0,6.0,3,52,False,0,3
0,0,16,0,0.5,1,0,1.8,13.2,90,8,0,0,0,0,0,4.0,2,52,True,0,3
0,0,10,0,0.8,1,0,2.2,20.8,90,1,0,0,0,0,0,0.0,1,51,False,1,3
0,0,19,0,1.2,2,0,4.6,27.4,90,20,0,0,0,0,0,17.0,2,51,True,0,3
0,0,9,0,0.3,2,0,3.3,10.8,90,4,0,0,0,0,0,22.0,2,51,False,0,3
0,0,22,1,21.2,0,0,5.7,33.8,90,16,0,0,0,0,0,2.0,3,51,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,51,False,0,3
0,0,14,1,11.8,0,0,2.8,12.2,90,7,0,0,0,0,0,4.0,3,51,True,0,3
0,0,21,0,0.7,1,0,4.7,46.0,90,3,0,0,0,0,0,0.0,2,51,True,0,3
0,0,16,0,1.0,1,0,2.3,21.6,90,13,0,0,0,0,0,0.0,2,51,False,0,3
0,0,12,0,4.9,1,0,2.3,14.8,90,18,0,0,0,0,0,3.0,2,50,False,0,3
0,0,15,1,1.2,0,0,2.1,18.0,90,4,0,0,0,0,0,2.0,3,50,True,0,3
0,0,13,1,1.9,0,0,2.5,22.8,90,19,0,0,0,0,0,0.0,3,50,True,0,3
0,0,2,0,1.6,2,0,1.7,5.4,90,10,0,0,0,0,0,10.0,1,50,False,1,3
0,0,14,1,0.1,0,0,5.6,11.8,90,15,0,0,0,0,0,44.0,3,50,False,0,3
0,0,13,1,1.1,0,0,2.1,16.2,90,12,0,0,0,0,0,4.0,3,50,True,0,3
0,0,7,0,0.4,2,0,1.2,11.6,90,9,0,0,0,0,0,0.0,1,50,False,1,3
0,0,12,1,11.8,0,0,3.2,16.0,90,14,0,0,0,0,0,4.0,3,50,True,0,3
0,0,14,0,5.8,2,0,2.9,23.2,90,6,0,0,0,0,0,0.0,2,50,True,0,3
0,0,14,0,11.2,1,0,3.6,20.8,90,13,0,0,0,0,0,4.0,1,50,True,1,3
0,3,39,1,11.8,0,1,9.2,61.0,90,3,0,0,0,0,0,19.0,11,50,False,0,3
0,0,18,0,14.8,1,0,3.0,15.0,90,16,0,0,0,0,0,0.0,1,50,False,1,3
0,1,37,1,3.8,0,1,7.6,55.0,90,18,0,0,0,0,0,17.0,9,50,True,0,3
0,0,15,1,3.7,0,0,3.3,11.2,90,2,0,0,0,0,0,18.0,3,50,True,0,3
0,0,14,1,8.3,0,0,4.3,18.4,90,5,0,0,0,0,0,16.0,3,50,False,0,3
0,0,12,1,11.8,0,0,2.6,10.0,90,1,0,0,0,0,0,4.0,3,50,True,0,3
0,0,8,0,12.6,1,0,6.1,9.2,90,20,0,0,0,0,0,39.0,2,50,False,0,3
0,0,15,0,14.1,1,0,3.0,15.4,90,11,0,0,0,0,0,0.0,2,50,True,0,3
0,0,16,0,0.1,1,0,5.2,31.6,90,8,0,0,0,0,0,20.0,2,50,False,0,3
0,0,17,0,14.3,1,0,4.5,12.0,72,7,0,0,0,0,0,19.0,2,50,False,0,3
0,0,13,1,7.3,0,0,3.5,19.4,90,13,0,0,0,0,0,8.0,3,50,False,0,3
0,0,8,0,14.3,1,0,2.9,12.4,67,5,0,0,0,0,0,2.0,1,50,True,1,3
0,0,14,0,14.6,1,0,4.1,14.0,90,4,0,0,0,0,0,12.0,2,50,True,0,3
0,0,18,1,3.9,0,0,1.5,10.8,90,7,0,0,0,0,0,0.0,3,50,False,0,3
0,0,13,1,10.7,0,0,3.4,13.8,90,16,0,0,0,0,0,9.0,3,50,True,0,3
0,0,7,0,12.3,2,0,3.2,11.8,90,20,0,0,0,0,0,8.0,1,50,False,1,3
0,0,16,1,2.3,0,0,3.2,19.4,90,8,0,0,0,0,0,10.0,3,50,False,0,3
0,0,15,1,19.6,0,0,5.5,15.6,90,2,0,0,0,0,0,20.0,3,49,True,0,3
