assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,45,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,45,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,45,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,44,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,44,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,44,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,44,True,0,2
0,0,4,0,0.3,1,0,0.7,6.2,15,14,0,0,0,0,0,0.0,1,44,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,44,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,43,True,0,2
0,0,14,0,10.3,2,0,2.4,13.8,90,20,0,0,0,0,0,0.0,1,43,False,0,2
0,0,24,1,1.3,0,0,4.6,27.4,90,13,0,0,0,0,0,17.0,6,43,True,0,2
0,0,8,0,0.1,2,0,0.8,8.2,90,12,0,0,0,0,0,0.0,1,43,False,0,2
0,0,14,0,0.1,2,0,4.7,46.6,90,6,0,0,0,0,0,0.0,1,43,False,0,2
1,0,20,0,10.1,4,0,5.9,44.8,90,9,0,0,0,0,0,4.0,3,43,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,43,True,0,2
0,0,24,1,0.4,0,0,2.7,6.8,90,14,0,0,0,0,0,20.0,6,43,True,0,2
0,0,10,0,0.7,3,0,3.3,12.2,90,18,0,0,0,0,0,20.0,1,43,False,0,2
0,0,15,0,20.6,1,0,4.2,17.2,90,5,0,0,0,0,0,4.0,2,43,False,0,2
0,0,17,0,0.3,6,0,1.5,14.2,90,11,0,0,0,0,0,0.0,-1,43,True,0,2
0,0,13,0,0.7,1,0,2.9,8.8,90,4,0,0,0,0,0,19.0,2,43,False,0,2
1,1,18,0,12.8,1,0,6.5,29.0,90,18,0,0,0,0,0,23.0,6,43,True,0,2
0,0,4,0,0.1,2,0,0.3,1.0,45,3,0,0,0,0,0,2.0,0,43,False,0,2
0,0,12,0,0.6,3,0,1.4,11.8,90,17,0,0,0,0,0,2.0,1,43,True,0,2
0,0,1,0,0.1,1,0,1.4,11.4,58,16,0,0,0,0,0,2.0,0,43,False,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,43,False,0,2
0,0,25,1,5.4,0,0,1.4,9.0,75,15,0,0,0,0,0,0.0,6,43,True,0,2
0,0,6,0,0.8,2,0,1.6,15.4,90,6,0,0,0,0,0,0.0,0,43,True,1,2
0,1,16,0,37.0,1,0,4.8,9.2,76,13,0,0,0,0,0,2.0,3,43,False,0,2
0,0,4,0,15.1,0,0,2.2,6.8,59,20,0,0,0,0,0,0.0,1,43,True,0,2
0,0,7,0,0.9,2,0,0.9,4.2,90,10,0,0,0,0,0,4.0,1,43,False,0,2
0,0,5,0,22.9,3,0,3.0,6.6,90,12,0,0,0,0,0,0.0,0,43,True,1,2
0,0,17,1,0.3,0,0,4.1,7.4,90,7,0,0,0,0,0,33.0,6,43,True,0,2
