assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,50,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,50,False,0,2
0,0,3,0,0.1,1,0,2.6,25.4,78,6,0,0,0,0,0,0.0,1,49,True,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,48,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,48,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,48,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,47,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,47,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,47,False,0,2
0,0,7,0,0.6,0,0,1.5,10.0,45,18,0,0,0,0,0,4.0,0,47,True,1,2
0,0,12,0,10.9,1,0,4.8,33.2,90,2,0,0,0,0,0,4.0,1,46,True,1,2
0,0,20,0,14.3,1,0,4.1,25.0,90,4,0,0,0,0,0,2.0,2,46,False,0,2
0,0,14,0,1.2,3,0,2.1,18.2,90,19,0,0,0,0,0,2.0,0,46,True,1,2
0,0,16,0,0.1,1,0,7.8,56.6,90,8,0,0,0,0,0,21.0,1,46,False,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,46,True,0,2
0,0,24,1,0.0,0,0,4.9,28.0,90,10,0,0,0,0,0,21.0,6,46,False,0,2
0,0,24,1,1.8,0,0,2.3,17.6,90,9,0,0,0,0,0,4.0,6,46,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,46,False,0,2
0,0,3,0,0.0,1,0,2.0,17.6,45,18,0,0,0,0,0,2.0,0,46,False,1,2
0,0,12,0,30.3,2,0,4.8,15.6,80,14,0,0,0,0,0,2.0,1,46,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,46,False,0,2
0,3,50,1,0.2,0,2,13.2,77.8,90,5,0,0,0,0,0,54.0,21,46,True,0,2
0,0,3,0,0.2,1,0,2.3,23.0,90,13,0,0,0,0,0,0.0,1,46,True,1,2
0,0,16,0,0.1,1,0,4.8,46.2,90,17,0,0,0,0,0,2.0,2,46,False,0,2
1,0,15,0,10.8,1,0,4.5,33.2,90,20,0,0,0,0,0,1.0,4,46,False,1,2
0,0,25,1,12.4,0,0,5.7,15.6,90,10,0,0,0,0,0,29.0,6,46,True,0,2
0,3,38,1,14.2,0,1,7.8,56.0,90,4,0,0,0,0,0,8.0,15,47,True,0,2
0,0,7,0,1.4,2,0,3.0,2.6,64,19,0,0,0,0,0,26.0,0,47,False,1,2
0,0,11,0,13.9,2,0,2.9,12.2,90,8,0,0,0,0,0,3.0,0,48,True,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,47,False,0,2
