assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,16,0,0.0,4,0,3.8,21.4,90,12,0,0,0,0,0,17.0,-1,45,False,1,2
0,0,12,0,0.8,2,0,2.6,18.8,90,2,0,0,0,0,0,6.0,1,45,True,0,2
0,0,11,0,0.4,3,0,2.3,20.2,90,1,0,0,0,0,0,2.0,1,45,False,0,2
0,0,25,0,0.4,1,0,4.6,41.4,90,20,0,0,0,0,0,4.0,2,45,True,0,2
0,0,14,0,0.1,1,0,2.1,20.8,90,8,0,0,0,0,0,0.0,2,44,False,0,2
0,2,30,1,10.3,0,0,3.4,23.6,90,6,0,0,0,0,0,0.0,8,44,True,0,2
0,0,15,0,0.1,1,0,3.0,23.8,90,14,0,0,0,0,0,6.0,2,44,True,0,2
0,0,10,0,10.8,1,0,7.6,20.2,90,3,0,0,0,0,0,45.0,2,44,False,0,2
0,0,14,0,10.8,1,0,3.6,11.0,90,17,0,0,0,0,0,14.0,2,44,True,0,2
0,1,25,0,0.3,1,1,10.7,69.4,90,11,0,0,0,0,0,37.0,9,44,False,0,2
0,0,9,0,0.9,2,0,1.9,9.6,90,4,0,0,0,0,0,8.0,1,44,True,0,2
0,0,17,0,0.1,1,0,2.6,26.0,90,10,0,0,0,0,0,0.0,2,44,False,0,2
0,0,10,0,0.4,4,0,1.5,10.4,90,13,0,0,0,0,0,4.0,0,44,True,0,2
0,0,29,1,0.1,0,0,3.3,32.6,90,15,0,0,0,0,0,0.0,6,44,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,44,True,0,2
0,0,12,0,0.5,2,0,3.8,17.4,90,7,0,0,0,0,0,20.0,1,44,True,0,2
0,0,25,1,0.1,0,0,3.2,28.0,90,9,0,0,0,0,0,4.0,6,44,False,0,2
0,0,-2,0,0.0,1,0,0.7,7.0,33,18,0,0,0,0,0,0.0,0,44,True,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,45,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,44,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,44,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,43,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,43,False,0,2
