assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,22,1,0.1,0,0,3.4,26.8,90,3,0,0,0,0,0,7.0,5,45,False,1,2
0,0,13,0,2.1,2,0,2.9,19.8,90,7,0,0,0,0,0,7.0,1,45,True,0,2
0,0,10,0,0.3,2,0,1.5,12.4,90,8,0,0,0,0,0,2.0,0,45,False,1,2
0,0,13,0,0.2,2,0,3.3,32.6,90,4,0,0,0,0,0,0.0,0,45,True,1,2
0,0,12,0,1.7,1,0,2.0,17.8,90,13,0,0,0,0,0,0.0,2,45,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,45,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,44,True,0,2
0,0,14,0,0.9,3,0,4.1,23.4,90,1,0,0,0,0,0,17.0,1,44,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,44,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,44,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,43,True,0,2
0,0,14,0,0.3,1,0,2.9,26.4,90,6,0,0,0,0,0,2.0,2,43,False,0,2
0,0,18,0,0.6,4,0,2.9,28.2,90,5,0,0,0,0,0,0.0,0,43,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,43,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,42,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,42,True,0,2
0,0,15,0,0.7,1,0,3.8,31.2,90,5,0,0,0,0,0,6.0,2,42,False,0,2
0,0,13,0,0.5,4,0,1.9,14.0,90,1,0,0,0,0,0,4.0,0,42,True,0,2
