assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,10,0,26.8,3,0,4.4,15.2,61,12,0,0,0,0,0,2.0,2,70,False,0,3
0,0,9,0,25.2,2,0,4.5,15.4,90,2,0,0,0,0,0,4.0,1,70,True,1,3
1,0,21,0,38.6,3,0,10.5,33.4,90,1,0,0,0,0,0,33.0,5,69,False,0,3
0,0,9,0,28.8,1,0,5.2,14.2,90,20,0,0,0,0,0,9.0,2,69,True,0,3
0,0,17,0,43.2,1,0,7.2,22.2,90,8,0,0,0,0,0,7.0,2,69,False,0,3
0,0,5,1,11.8,0,0,3.3,10.8,73,6,0,0,0,0,0,10.0,2,69,True,1,3
0,3,32,0,54.1,1,1,14.4,57.2,90,14,0,0,0,0,0,33.0,10,68,True,0,3
0,0,22,0,87.8,1,0,11.4,19.6,90,3,0,0,0,0,0,7.0,2,68,False,0,3
0,0,3,0,3.0,1,0,1.9,4.2,56,17,0,0,0,0,0,12.0,1,68,True,0,3
0,0,9,1,16.5,0,0,5.1,15.4,80,11,0,0,0,0,0,19.0,3,68,False,0,3
0,2,44,0,29.1,2,2,17.5,80.6,90,4,0,0,0,0,0,65.0,13,68,True,1,3
0,2,25,0,9.3,1,1,8.3,36.6,90,10,0,0,0,0,0,37.0,9,69,False,0,3
0,0,4,0,4.1,3,0,0.6,1.4,67,13,0,0,0,0,0,0.0,2,69,True,0,3
0,2,35,1,19.8,0,1,10.5,49.4,90,15,0,0,0,0,0,36.0,10,70,False,0,3
0,0,16,0,47.3,1,0,8.4,14.8,90,5,0,0,0,0,0,22.0,2,71,True,0,3
1,2,38,0,4.3,2,1,8.9,42.8,83,7,0,0,0,0,0,42.0,12,72,True,0,3
1,0,25,1,25.6,0,0,9.0,35.0,90,9,0,0,0,0,0,29.0,6,73,False,0,3
0,0,18,0,42.9,2,0,8.1,18.4,90,18,0,0,0,0,0,20.0,2,74,True,0,3
0,3,51,0,33.3,1,2,18.5,89.0,90,16,0,0,0,0,0,63.0,15,73,False,0,3
0,0,2,0,32.2,2,0,5.8,4.8,90,4,0,0,0,0,0,21.0,2,73,False,0,3
0,0,11,0,14.9,2,0,6.3,11.0,90,3,0,0,0,0,0,37.0,2,74,True,0,3
0,0,18,1,56.3,0,0,9.3,18.6,90,1,0,0,0,0,0,18.0,3,74,True,0,3
0,0,6,0,25.9,2,0,4.7,11.0,90,2,0,0,0,0,0,10.0,2,73,False,0,3
0,0,3,0,5.7,3,0,1.3,6.2,90,20,0,0,0,0,0,1.0,2,72,False,0,3
1,3,32,0,48.8,1,0,10.2,37.6,90,12,0,0,0,0,0,16.0,8,71,True,0,3
0,0,17,0,30.8,1,0,6.1,26.2,90,7,0,0,0,0,0,4.0,2,71,False,0,3
0,0,9,0,40.6,1,0,6.3,8.8,75,9,0,0,0,0,0,14.0,2,72,True,0,3
0,0,0,0,5.1,1,0,0.3,0.0,75,13,0,0,0,0,0,0.0,2,72,False,0,3
0,0,16,1,11.0,0,0,2.6,12.6,90,15,0,0,0,0,0,2.0,3,72,True,0,3
0,0,7,0,4.1,1,0,1.3,8.4,45,5,0,0,0,0,0,0.0,1,72,False,0,3
1,0,23,0,51.6,3,0,10.8,36.0,90,10,0,0,0,0,0,20.0,5,72,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,71,True,0,3
0,0,9,0,25.1,2,0,6.8,15.8,90,6,0,0,0,0,0,27.0,2,70,False,0,3
0,1,23,0,21.9,2,1,16.2,40.8,90,14,0,0,0,0,0,99.0,8,70,False,0,3
0,0,16,0,35.6,2,0,7.3,23.8,90,11,0,0,0,0,0,14.0,2,69,True,0,3
0,0,11,1,23.9,0,0,8.8,18.4,90,17,0,0,0,0,0,46.0,3,69,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,69,True,0,3
1,0,23,0,57.4,1,0,10.4,26.6,90,18,0,0,0,0,0,20.0,5,68,False,0,3
0,0,0,0,1.6,2,0,0.5,3.8,65,11,0,0,0,0,0,0.0,1,70,True,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,70,False,0,3
1,0,28,0,40.3,1,0,13.3,29.8,77,18,0,0,0,0,0,63.0,5,69,False,0,3
0,0,21,1,37.3,0,0,9.9,25.2,87,14,0,0,0,0,0,36.0,3,69,True,0,3
0,0,18,1,33.9,0,0,7.0,17.6,68,2,0,0,0,0,0,18.0,3,69,False,0,3
1,0,25,1,27.0,0,0,8.2,33.6,69,12,0,0,0,0,0,21.0,6,69,True,0,3
1,0,24,0,27.8,2,0,12.5,37.2,90,3,0,0,0,0,0,60.0,5,69,False,0,3
0,0,10,0,16.4,2,0,6.1,21.6,90,7,0,0,0,0,0,23.0,2,69,True,0,3
0,0,2,0,4.3,1,0,0.9,5.0,45,8,0,0,0,0,0,0.0,1,69,False,0,3
0,0,8,1,8.3,0,0,3.9,8.8,65,15,0,0,0,0,0,22.0,3,69,True,0,3
0,0,22,0,53.8,3,0,11.1,25.4,90,13,0,0,0,0,0,32.0,2,69,True,0,3
0,0,3,0,9.6,3,0,1.7,5.2,55,5,0,0,0,0,0,2.0,1,68,False,0,3
0,0,3,0,1.1,2,0,1.3,9.4,45,17,0,0,0,0,0,2.0,1,68,True,0,3
0,0,9,1,6.6,0,0,2.0,9.8,70,6,0,0,0,0,0,4.0,3,67,False,0,3
0,0,22,0,38.7,2,0,7.1,28.0,90,20,0,0,0,0,0,4.0,2,67,False,0,3
0,0,12,0,15.1,3,0,3.7,6.0,69,1,0,0,0,0,0,16.0,2,67,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,67,False,0,3
0,0,6,0,3.4,1,0,1.0,7.0,15,7,0,0,0,0,0,0.0,1,66,False,0,3
1,1,30,0,38.9,2,0,7.9,37.6,90,9,0,0,0,0,0,2.0,6,66,True,0,3
0,0,25,1,2.9,0,1,7.9,41.2,67,3,0,0,0,0,0,35.0,8,66,True,0,3
0,0,14,0,29.4,1,0,5.0,12.2,90,15,0,0,0,0,0,8.0,2,66,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,66,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,66,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,66,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,66,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,66,False,0,3
0,0,3,0,4.8,1,0,1.6,6.8,64,10,0,0,0,0,0,4.0,2,66,False,0,3
0,0,2,0,0.0,0,0,0.0,0.0,1,16,0,0,0,0,0,0.0,1,66,True,0,3
0,0,3,0,0.0,0,0,0.0,0.2,3,1,0,0,0,0,0,0.0,1,66,False,0,3
0,0,3,1,2.3,0,0,0.2,0.0,66,20,0,0,0,0,0,0.0,3,66,True,0,3
0,0,3,0,11.2,1,0,2.0,5.8,19,17,0,0,0,0,0,3.0,1,66,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,66,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,66,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,66,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,66,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,66,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,66,False,0,3
