assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,50,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,50,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,50,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,50,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,50,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,50,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,50,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,50,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,50,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,50,True,0,4
0,0,1,0,0.2,0,0,0.2,2.0,13,8,0,0,0,0,0,0.0,1,50,False,0,4
0,0,1,0,0.3,1,0,0.3,2.6,27,5,0,0,0,0,0,0.0,1,50,False,0,4
0,0,3,0,0.3,0,0,0.1,0.4,8,11,0,0,0,0,0,0.0,1,50,True,0,4
0,1,28,0,2.0,1,1,9.7,32.0,78,10,0,0,0,0,0,63.0,7,50,False,0,4
0,1,23,0,0.1,1,1,6.2,37.0,55,7,0,0,0,0,0,25.0,6,50,True,0,4
0,0,2,0,0.8,1,0,0.0,0.0,62,4,0,0,0,0,0,0.0,2,50,False,0,4
0,0,-2,0,0.5,0,0,0.0,0.0,30,6,0,0,0,0,0,0.0,0,50,True,1,4
0,0,1,0,2.7,2,0,3.5,3.4,79,2,0,0,0,0,0,29.0,2,50,False,0,4
0,0,2,0,1.3,0,0,0.9,4.0,11,1,0,0,0,0,0,4.0,1,50,True,0,4
0,0,-3,1,2.6,0,0,8.9,4.2,73,8,0,0,0,0,0,82.0,2,50,True,0,4
0,0,0,0,0.1,0,0,1.9,0.4,8,19,0,0,0,0,0,18.0,1,50,False,0,4
0,0,0,0,0.3,0,0,0.8,0.0,24,12,0,0,0,0,0,13.0,1,50,True,0,4
0,0,1,0,0.6,0,0,0.6,3.4,30,14,0,0,0,0,0,2.0,1,50,False,0,4
0,0,6,0,14.8,1,0,3.0,5.2,13,9,0,0,0,0,0,10.0,1,50,False,0,4
0,0,-1,0,0.5,0,0,2.9,3.0,18,18,0,0,0,0,0,25.0,1,50,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,50,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,50,False,0,4
0,0,24,0,0.3,0,1,8.5,35.0,33,10,0,0,0,0,0,50.0,4,50,True,1,4
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,50,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,50,True,0,4
0,0,1,0,2.1,3,0,0.6,0.0,69,6,0,0,0,0,0,4.0,2,50,False,0,4
0,0,-2,0,16.6,2,0,2.4,3.4,57,2,0,0,0,0,0,4.0,0,50,True,1,4
0,0,-7,0,0.8,0,0,2.3,0.0,36,5,0,0,0,0,0,24.0,1,50,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,50,False,0,4
0,0,-1,1,0.3,0,0,1.2,7.2,63,17,0,0,0,0,0,4.0,1,50,False,1,4
0,0,-6,0,0.4,1,0,0.0,0.0,45,15,0,0,0,0,0,0.0,0,50,True,1,4
0,0,1,0,1.0,0,0,0.8,3.0,12,1,0,0,0,0,0,4.0,1,50,False,0,4
0,0,2,0,0.0,1,0,0.1,1.0,22,13,0,0,0,0,0,0.0,1,50,True,0,4
0,1,27,0,0.5,0,1,5.9,41.0,26,18,0,0,0,0,0,17.0,6,50,False,0,4
0,0,3,0,10.5,0,0,1.7,4.0,16,19,0,0,0,0,0,2.0,1,50,True,0,4
0,0,-10,0,0.3,2,0,0.0,0.0,29,16,0,0,0,1,0,2.0,-2,50,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,50,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,50,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,49,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,49,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,49,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,48,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,48,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,48,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,48,False,0,4
