assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,11,0,1.9,3,0,1.1,9.2,72,10,0,0,0,0,0,0.0,1,45,True,0,2
0,2,29,1,3.5,0,0,2.1,15.6,90,2,0,0,0,0,0,2.0,8,45,False,0,2
0,2,27,1,26.2,0,0,4.8,20.6,90,3,0,0,0,0,0,1.0,8,45,True,0,2
1,2,29,1,12.3,0,0,3.5,20.4,61,14,0,0,0,0,0,2.0,11,45,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,45,True,0,2
0,0,19,0,17.1,1,0,5.6,31.4,90,16,0,0,0,0,0,7.0,2,45,False,0,2
0,0,19,0,4.1,2,0,1.8,13.8,90,19,0,0,0,0,0,0.0,1,45,False,0,2
0,0,15,0,6.5,1,0,1.8,11.2,90,1,0,0,0,0,0,0.0,2,45,True,0,2
0,0,12,0,42.3,4,0,5.8,13.8,90,5,0,0,0,0,0,2.0,-1,45,False,1,2
0,0,18,0,19.6,1,0,3.6,14.2,90,15,0,0,0,0,0,2.0,1,45,True,1,2
0,0,19,0,8.0,3,0,2.5,13.6,90,7,0,0,0,0,0,3.0,1,45,False,0,2
0,1,31,1,35.0,0,0,5.7,11.8,85,20,0,0,0,0,0,10.0,7,45,True,0,2
0,2,28,1,2.3,0,0,1.4,12.0,90,13,0,0,0,0,0,0.0,8,45,False,0,2
0,0,26,0,41.7,4,0,7.8,30.6,90,12,0,0,0,0,0,6.0,0,45,True,0,2
0,0,12,0,13.5,1,0,3.0,14.0,90,17,0,0,0,0,0,2.0,2,46,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,46,False,0,2
0,0,3,0,0.0,2,0,0.2,2.0,6,6,0,0,0,0,0,0.0,0,46,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,46,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,45,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,45,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,45,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,44,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,44,True,0,2
