assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,45,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,45,True,0,2
0,0,18,1,1.1,0,0,1.1,6.6,90,8,0,0,0,0,0,3.0,5,44,True,1,2
0,0,5,0,15.6,1,0,3.6,11.6,90,7,0,0,0,0,0,9.0,1,44,False,1,2
0,0,21,1,11.3,0,0,5.2,23.8,84,19,0,0,0,0,0,17.0,6,44,True,0,2
0,0,8,0,15.8,3,0,2.9,13.6,90,1,0,0,0,0,0,0.0,1,44,False,0,2
1,0,16,0,16.1,2,0,4.6,29.6,90,5,0,0,0,0,0,0.0,4,44,True,0,2
0,0,7,0,11.9,1,0,2.8,16.4,90,14,0,0,0,0,0,0.0,1,44,False,1,2
1,0,25,0,16.8,1,0,5.4,35.0,90,4,0,0,0,0,0,2.0,5,44,True,0,2
0,0,12,0,15.7,3,0,4.2,26.6,90,11,0,0,0,0,0,0.0,1,44,False,0,2
0,0,21,1,0.5,0,0,1.0,9.8,68,10,0,0,0,0,0,0.0,6,44,True,0,2
0,0,7,0,1.5,2,0,2.3,21.6,90,20,0,0,0,0,0,0.0,0,44,False,1,2
0,2,34,1,7.4,0,0,3.5,25.4,90,13,0,0,0,0,0,2.0,8,44,True,0,2
0,0,17,0,14.5,2,0,3.8,23.2,90,12,0,0,0,0,0,0.0,0,44,False,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,44,False,0,2
0,0,2,0,0.3,0,0,0.1,0.2,12,9,0,0,0,0,0,0.0,1,44,True,0,2
0,0,14,0,1.6,2,0,2.8,26.2,90,15,0,0,0,0,0,0.0,1,44,False,0,2
0,0,15,0,5.4,3,0,4.1,28.2,90,16,0,0,0,0,0,7.0,1,44,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,44,True,0,2
0,0,3,0,11.2,2,0,2.0,8.6,24,18,0,0,0,0,0,0.0,0,44,False,0,2
0,0,15,0,4.9,1,0,2.5,19.8,90,5,0,0,0,0,0,0.0,2,44,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,44,True,0,2
0,0,9,0,2.0,1,0,2.7,24.6,90,4,0,0,0,0,0,0.0,2,44,False,0,2
0,0,16,0,17.7,1,0,3.4,16.0,90,18,0,0,0,0,0,0.0,2,44,True,0,2
0,0,11,0,19.1,2,0,3.3,7.6,90,3,0,0,0,0,0,6.0,1,44,False,0,2
0,0,10,0,19.9,3,0,3.8,16.2,90,17,0,0,0,0,0,2.0,0,44,True,1,2
0,0,3,0,14.5,2,0,3.4,19.8,90,16,0,0,0,0,0,0.0,0,44,False,1,2
0,0,13,0,0.8,4,0,2.9,21.4,90,9,0,0,0,0,0,7.0,0,44,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,44,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,44,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,44,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,44,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,44,False,0,2
