assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,2,0,0.5,0,0,0.2,1.0,6,13,0,0,0,0,0,0.0,1,45,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,45,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,45,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,45,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,45,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,45,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,45,False,0,4
0,0,-4,0,3.8,0,0,2.2,4.4,27,3,0,0,0,0,0,14.0,0,45,True,1,4
0,0,2,0,0.8,0,0,0.0,0.0,12,15,0,0,0,0,0,0.0,1,45,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,45,True,0,4
0,0,2,0,0.3,1,0,0.6,1.4,30,20,0,0,0,0,0,4.0,1,45,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,45,False,0,4
1,0,12,0,0.0,0,0,0.3,1.0,7,16,0,0,0,0,0,2.0,4,45,True,0,4
0,0,3,0,0.1,0,0,0.0,0.2,1,14,0,0,0,0,0,0.0,1,45,False,0,4
0,0,2,0,0.0,1,0,2.1,2.0,13,4,0,0,0,0,0,19.0,1,45,True,0,4
0,1,32,0,11.5,1,1,11.3,44.2,90,19,0,0,0,0,0,57.0,7,45,False,0,4
0,0,10,0,0.8,3,0,4.0,12.4,90,11,0,0,0,0,0,27.0,2,45,True,0,4
0,0,4,1,2.1,0,0,1.1,4.0,90,8,0,0,0,0,0,5.0,2,45,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,45,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,45,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,45,True,0,4
0,0,4,0,0.6,0,0,0.4,1.4,20,7,0,0,0,0,0,2.0,1,45,False,0,4
0,2,22,0,1.3,1,1,8.0,31.8,90,15,0,0,0,0,0,47.0,8,45,True,0,4
0,2,33,0,3.3,2,1,7.5,44.2,90,6,0,0,0,0,0,27.0,8,45,False,0,4
0,0,5,1,11.5,0,0,4.8,14.8,90,5,0,0,0,0,0,22.0,2,46,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,46,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,46,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,45,True,0,4
