assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,3,0,10.8,0,0,1.9,2.2,10,18,0,0,0,0,0,6.0,1,50,False,0,3
0,0,4,0,0.9,0,0,0.2,0.6,15,14,0,0,0,0,0,0.0,1,50,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,50,True,0,3
0,0,2,0,0.0,0,0,0.1,1.0,7,2,0,0,0,0,0,0.0,1,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,49,False,0,3
0,0,5,0,15.3,0,0,2.3,7.8,8,20,0,0,0,0,0,0.0,1,48,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,47,False,0,3
0,0,-1,0,2.0,1,0,1.4,0.2,20,12,0,0,0,0,0,12.0,1,47,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,47,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,47,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,46,True,0,3
0,0,4,0,5.0,0,0,1.2,5.2,1,3,0,0,0,0,0,2.0,1,46,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,46,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,46,False,0,3
0,0,3,0,0.3,0,0,0.1,0.2,1,9,0,0,0,0,0,0.0,1,46,True,0,3
