assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
1,0,23,0,24.1,3,0,5.6,22.4,87,1,0,0,0,0,0,9.0,5,80,False,0,3
0,0,15,0,42.3,2,0,6.4,13.6,90,3,0,0,0,0,0,8.0,2,80,False,0,3
0,0,8,0,14.6,1,0,4.4,10.6,90,17,0,0,0,0,0,19.0,2,79,False,0,3
1,0,26,0,36.8,1,0,7.7,29.8,75,8,0,0,0,0,0,10.0,5,79,True,0,3
0,0,17,0,9.9,1,0,4.5,18.2,89,4,0,0,0,0,0,17.0,2,78,False,0,3
0,0,10,0,12.8,1,0,7.2,15.8,90,7,0,0,0,0,0,43.0,2,78,True,0,3
0,0,14,0,37.4,1,0,5.7,9.4,84,16,0,0,0,0,0,10.0,2,77,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,76,True,0,3
0,0,6,0,10.6,1,0,1.4,0.4,12,19,0,0,0,0,0,3.0,1,76,True,0,3
0,0,3,0,1.7,0,0,0.1,0.0,15,5,0,0,0,0,0,0.0,1,76,False,0,3
0,0,20,0,23.3,1,1,7.9,36.4,28,18,0,0,0,0,0,19.0,5,76,True,1,3
0,0,19,1,32.6,0,0,6.3,15.2,90,13,0,0,0,0,0,15.0,3,75,False,0,3
0,0,15,1,7.7,0,0,4.2,7.8,90,15,0,0,0,0,0,26.0,3,75,True,0,3
0,0,16,0,8.0,4,0,1.9,9.4,90,2,0,0,0,0,0,2.0,2,75,False,0,3
0,0,10,0,20.7,2,0,8.6,3.0,90,20,0,0,0,0,0,62.0,2,75,True,0,3
0,0,14,1,17.6,0,0,2.9,7.0,86,12,0,0,0,0,0,4.0,3,75,False,0,3
0,0,13,1,9.7,0,0,2.1,6.0,90,6,0,0,0,0,0,5.0,3,75,False,0,3
0,0,8,0,27.8,1,0,5.5,9.0,90,14,0,0,0,0,0,18.0,2,75,True,0,3
0,3,36,1,3.2,0,1,6.6,40.4,90,10,0,0,0,0,0,22.0,11,75,True,0,3
0,0,9,0,19.5,1,0,3.5,6.8,72,15,0,0,0,0,0,9.0,2,75,False,0,3
0,0,11,0,2.2,1,0,4.9,6.0,90,11,0,0,0,0,0,41.0,1,75,False,1,3
1,0,21,0,27.6,3,0,5.2,22.2,90,16,0,0,0,0,0,2.0,5,75,True,0,3
0,3,33,0,17.0,1,1,9.3,49.8,90,4,0,0,0,0,0,26.0,10,75,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,75,False,0,3
1,1,24,1,18.1,0,0,5.0,24.2,90,17,0,0,0,0,0,8.0,7,75,True,0,3
0,0,16,0,13.8,3,0,5.2,14.4,90,8,0,0,0,0,0,24.0,2,75,False,0,3
0,1,30,0,17.1,1,1,9.2,40.6,90,1,0,0,0,0,0,34.0,8,75,True,0,3
0,0,21,0,5.8,1,1,7.8,34.2,90,3,0,0,0,0,0,38.0,7,75,True,0,3
0,0,15,0,15.1,1,0,3.5,14.2,90,10,0,0,0,0,0,6.0,2,75,False,0,3
0,0,14,0,18.0,1,0,3.0,7.6,90,6,0,0,0,0,0,4.0,2,75,True,0,3
1,0,20,0,19.5,2,0,7.0,19.6,90,2,0,0,0,0,0,31.0,5,75,True,0,3
1,0,16,0,16.3,1,0,3.2,14.6,90,14,0,0,0,0,0,1.0,5,75,False,0,3
0,0,15,1,18.8,0,0,4.1,13.8,90,19,0,0,0,0,0,8.0,3,75,False,0,3
0,1,21,0,38.3,2,0,7.4,15.8,90,5,0,0,0,0,0,20.0,3,75,True,0,3
0,0,14,1,14.5,0,0,3.6,11.2,90,18,0,0,0,0,0,10.0,3,75,False,0,3
0,0,13,1,17.1,0,0,2.7,2.0,86,13,0,0,0,0,0,8.0,3,75,True,0,3
2,2,35,1,25.2,0,0,8.8,36.8,90,20,0,0,0,0,0,26.0,11,75,False,0,3
1,3,49,1,49.8,0,1,16.1,60.2,90,12,0,0,0,0,0,51.0,14,75,True,0,3
0,0,9,0,14.4,3,0,4.4,8.0,90,18,0,0,0,0,0,22.0,2,70,False,0,3
0,0,7,1,2.4,0,0,3.8,6.8,70,6,0,0,0,0,0,29.0,3,70,True,0,3
0,0,23,1,25.2,0,0,4.5,12.6,90,1,0,0,0,0,0,7.0,3,70,True,0,3
0,0,3,0,1.2,3,0,0.4,3.2,57,11,0,0,0,0,0,0.0,1,69,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,69,True,0,3
0,0,6,0,2.3,2,0,3.2,6.2,90,9,0,0,0,0,0,23.0,2,68,False,0,3
0,0,11,0,4.7,1,0,3.2,4.8,90,13,0,0,0,0,0,22.0,2,68,False,0,3
0,0,13,1,16.5,0,0,6.4,17.0,90,12,0,0,0,0,0,30.0,3,68,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,67,False,0,3
0,0,30,1,17.2,0,1,8.2,40.2,90,8,0,0,0,0,0,25.0,8,67,True,0,3
0,0,14,0,2.6,1,0,1.1,8.4,90,20,0,0,0,0,0,0.0,2,67,False,0,3
1,0,24,1,35.0,0,0,10.3,32.6,90,14,0,0,0,0,0,35.0,6,67,True,0,3
0,0,2,0,1.7,1,0,3.2,4.8,24,5,0,0,0,0,0,25.0,1,67,True,0,3
0,0,6,1,8.4,0,0,3.6,12.4,90,15,0,0,0,0,0,15.0,2,67,False,1,3
0,0,14,0,13.8,1,0,2.8,14.0,90,3,0,0,0,0,0,0.0,2,67,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,67,True,0,3
0,0,6,1,5.0,0,0,4.7,4.2,75,19,0,0,0,0,0,38.0,3,67,True,0,3
0,0,14,1,4.5,0,0,1.4,7.4,90,2,0,0,0,0,0,2.0,3,67,False,0,3
0,0,5,0,10.3,0,0,1.4,3.2,10,1,0,0,0,0,0,0.0,1,67,False,0,3
0,0,22,1,15.8,0,0,3.0,14.6,90,16,0,0,0,0,0,0.0,3,67,True,0,3
0,0,3,0,0.5,0,0,0.3,0.0,7,9,0,0,0,0,0,2.0,1,67,True,0,3
0,0,14,0,1.2,1,0,2.5,8.2,90,4,0,0,0,0,0,16.0,2,67,False,0,3
